value,date,id
1.0,2010-04-23 00:00:00,HF0000005X
0.9465,2010-04-30 00:00:00,HF0000005X
0.9337,2010-05-31 00:00:00,HF0000005X
0.8002,2010-06-30 00:00:00,HF0000005X
0.8022,2010-07-30 00:00:00,HF0000005X
0.8624,2010-08-31 00:00:00,HF0000005X
0.9004,2010-09-10 00:00:00,HF0000005X
0.9136,2010-09-17 00:00:00,HF0000005X
0.8911,2010-09-21 00:00:00,HF0000005X
0.9206,2010-09-30 00:00:00,HF0000005X
0.8705,2010-10-15 00:00:00,HF0000005X
0.9081,2010-10-22 00:00:00,HF0000005X
0.9531,2010-10-29 00:00:00,HF0000005X
0.9623,2010-11-05 00:00:00,HF0000005X
0.9908,2010-11-12 00:00:00,HF0000005X
0.9624,2010-11-19 00:00:00,HF0000005X
1.0074,2010-11-30 00:00:00,HF0000005X
0.9917,2010-12-31 00:00:00,HF0000005X
0.9011,2011-01-31 00:00:00,HF0000005X
0.987,2011-02-25 00:00:00,HF0000005X
0.9639,2011-03-31 00:00:00,HF0000005X
0.8838,2011-04-29 00:00:00,HF0000005X
0.8699,2011-05-20 00:00:00,HF0000005X
0.8099,2011-05-27 00:00:00,HF0000005X
0.825,2011-06-03 00:00:00,HF0000005X
0.8279,2011-06-10 00:00:00,HF0000005X
0.8035,2011-06-17 00:00:00,HF0000005X
0.8203,2011-06-24 00:00:00,HF0000005X
0.8139,2011-07-01 00:00:00,HF0000005X
0.8503,2011-07-08 00:00:00,HF0000005X
0.8577,2011-07-15 00:00:00,HF0000005X
0.8597,2011-07-22 00:00:00,HF0000005X
0.8531,2011-07-29 00:00:00,HF0000005X
0.832,2011-08-05 00:00:00,HF0000005X
0.8126,2011-08-12 00:00:00,HF0000005X
0.7963,2011-08-19 00:00:00,HF0000005X
0.807,2011-08-26 00:00:00,HF0000005X
0.7914,2011-09-02 00:00:00,HF0000005X
0.7847,2011-09-09 00:00:00,HF0000005X
0.7811,2011-09-16 00:00:00,HF0000005X
0.7812,2011-09-23 00:00:00,HF0000005X
0.7666,2011-09-30 00:00:00,HF0000005X
0.7625,2011-10-14 00:00:00,HF0000005X
0.7527,2011-10-21 00:00:00,HF0000005X
0.7562,2011-10-28 00:00:00,HF0000005X
0.7586,2011-11-04 00:00:00,HF0000005X
0.7555,2011-11-11 00:00:00,HF0000005X
0.7398,2011-11-18 00:00:00,HF0000005X
0.7431,2011-11-25 00:00:00,HF0000005X
0.7393,2011-12-02 00:00:00,HF0000005X
0.74,2011-12-09 00:00:00,HF0000005X
0.7396,2011-12-16 00:00:00,HF0000005X
0.738,2011-12-23 00:00:00,HF0000005X
0.7413,2011-12-30 00:00:00,HF0000005X
0.7398,2012-01-06 00:00:00,HF0000005X
0.7381,2012-01-13 00:00:00,HF0000005X
0.742,2012-01-20 00:00:00,HF0000005X
0.7432,2012-02-03 00:00:00,HF0000005X
0.7437,2012-02-10 00:00:00,HF0000005X
0.7512,2012-02-17 00:00:00,HF0000005X
0.7729,2012-02-24 00:00:00,HF0000005X
0.7789,2012-03-02 00:00:00,HF0000005X
0.7906,2012-03-09 00:00:00,HF0000005X
0.7956,2012-03-16 00:00:00,HF0000005X
0.7657,2012-03-23 00:00:00,HF0000005X
0.7364,2012-04-06 00:00:00,HF0000005X
0.7394,2012-04-13 00:00:00,HF0000005X
0.746,2012-04-20 00:00:00,HF0000005X
0.7383,2012-04-27 00:00:00,HF0000005X
0.7537,2012-05-04 00:00:00,HF0000005X
0.7484,2012-05-11 00:00:00,HF0000005X
0.7496,2012-05-18 00:00:00,HF0000005X
0.7605,2012-05-25 00:00:00,HF0000005X
0.766,2012-05-31 00:00:00,HF0000005X
0.7591,2012-06-08 00:00:00,HF0000005X
0.782,2012-06-15 00:00:00,HF0000005X
