value,date,id
1.0,2010-07-28 00:00:00,HF0000009Y
1.0367,2010-08-27 00:00:00,HF0000009Y
1.0719,2010-09-30 00:00:00,HF0000009Y
1.1069,2010-10-29 00:00:00,HF0000009Y
1.1192,2010-11-26 00:00:00,HF0000009Y
1.0879,2010-12-10 00:00:00,HF0000009Y
1.0932,2010-12-31 00:00:00,HF0000009Y
1.0874,2011-01-07 00:00:00,HF0000009Y
1.0471,2011-01-14 00:00:00,HF0000009Y
1.0389,2011-01-21 00:00:00,HF0000009Y
1.0489,2011-01-28 00:00:00,HF0000009Y
1.07,2011-02-11 00:00:00,HF0000009Y
1.0859,2011-02-18 00:00:00,HF0000009Y
1.1051,2011-02-25 00:00:00,HF0000009Y
1.121,2011-02-28 00:00:00,HF0000009Y
1.1157,2011-03-04 00:00:00,HF0000009Y
1.1181,2011-03-11 00:00:00,HF0000009Y
1.1219,2011-03-18 00:00:00,HF0000009Y
1.1557,2011-03-25 00:00:00,HF0000009Y
1.1043,2011-03-31 00:00:00,HF0000009Y
1.1239,2011-04-01 00:00:00,HF0000009Y
1.1449,2011-04-08 00:00:00,HF0000009Y
1.1426,2011-04-15 00:00:00,HF0000009Y
1.1224,2011-04-22 00:00:00,HF0000009Y
1.0907,2011-04-29 00:00:00,HF0000009Y
1.0939,2011-05-06 00:00:00,HF0000009Y
1.1004,2011-05-13 00:00:00,HF0000009Y
1.0824,2011-05-20 00:00:00,HF0000009Y
1.0649,2011-05-27 00:00:00,HF0000009Y
1.0673,2011-05-31 00:00:00,HF0000009Y
1.0674,2011-06-03 00:00:00,HF0000009Y
1.0645,2011-06-10 00:00:00,HF0000009Y
1.0537,2011-06-17 00:00:00,HF0000009Y
1.0581,2011-06-24 00:00:00,HF0000009Y
1.0689,2011-06-30 00:00:00,HF0000009Y
1.0697,2011-07-01 00:00:00,HF0000009Y
1.0838,2011-07-08 00:00:00,HF0000009Y
1.0859,2011-07-15 00:00:00,HF0000009Y
1.0833,2011-07-22 00:00:00,HF0000009Y
1.0872,2011-07-29 00:00:00,HF0000009Y
1.0741,2011-08-05 00:00:00,HF0000009Y
1.1009,2011-08-12 00:00:00,HF0000009Y
1.0744,2011-08-19 00:00:00,HF0000009Y
1.0727,2011-08-26 00:00:00,HF0000009Y
1.0599,2011-08-31 00:00:00,HF0000009Y
1.0578,2011-09-02 00:00:00,HF0000009Y
1.0525,2011-09-09 00:00:00,HF0000009Y
1.0511,2011-09-16 00:00:00,HF0000009Y
1.0465,2011-09-23 00:00:00,HF0000009Y
1.046,2011-09-30 00:00:00,HF0000009Y
1.0547,2011-10-14 00:00:00,HF0000009Y
1.0507,2011-10-21 00:00:00,HF0000009Y
1.0735,2011-10-28 00:00:00,HF0000009Y
1.0722,2011-10-31 00:00:00,HF0000009Y
1.0751,2011-11-04 00:00:00,HF0000009Y
1.0627,2011-11-11 00:00:00,HF0000009Y
1.0368,2011-11-18 00:00:00,HF0000009Y
1.0372,2011-11-25 00:00:00,HF0000009Y
1.0247,2011-11-30 00:00:00,HF0000009Y
1.0223,2011-12-02 00:00:00,HF0000009Y
1.0085,2011-12-09 00:00:00,HF0000009Y
0.9981,2011-12-16 00:00:00,HF0000009Y
0.9788,2011-12-23 00:00:00,HF0000009Y
0.9761,2011-12-30 00:00:00,HF0000009Y
0.9369,2012-01-06 00:00:00,HF0000009Y
0.9435,2012-01-13 00:00:00,HF0000009Y
0.9467,2012-01-20 00:00:00,HF0000009Y
0.94,2012-01-31 00:00:00,HF0000009Y
0.9527,2012-02-03 00:00:00,HF0000009Y
0.9613,2012-02-10 00:00:00,HF0000009Y
0.958,2012-02-17 00:00:00,HF0000009Y
1.0046,2012-02-24 00:00:00,HF0000009Y
0.9904,2012-02-29 00:00:00,HF0000009Y
1.0205,2012-03-02 00:00:00,HF0000009Y
1.0252,2012-03-09 00:00:00,HF0000009Y
1.0066,2012-03-16 00:00:00,HF0000009Y
0.9807,2012-03-23 00:00:00,HF0000009Y
0.9605,2012-03-30 00:00:00,HF0000009Y
0.979,2012-04-06 00:00:00,HF0000009Y
