value,date,id
1.0,2009-02-06 00:00:00,HF000000AB
1.0101,2009-02-20 00:00:00,HF000000AB
1.0084,2009-03-20 00:00:00,HF000000AB
1.103,2009-04-20 00:00:00,HF000000AB
1.0841,2009-05-20 00:00:00,HF000000AB
1.1948,2009-06-19 00:00:00,HF000000AB
1.4114,2009-07-20 00:00:00,HF000000AB
1.2972,2009-08-20 00:00:00,HF000000AB
1.2574,2009-09-18 00:00:00,HF000000AB
1.2733,2009-10-20 00:00:00,HF000000AB
1.4559,2009-11-27 00:00:00,HF000000AB
1.5549,2009-12-31 00:00:00,HF000000AB
1.5841,2010-01-29 00:00:00,HF000000AB
1.7529,2010-02-26 00:00:00,HF000000AB
1.8192,2010-03-26 00:00:00,HF000000AB
1.8323,2010-04-30 00:00:00,HF000000AB
1.8281,2010-05-28 00:00:00,HF000000AB
1.7939,2010-06-25 00:00:00,HF000000AB
1.74,2010-07-30 00:00:00,HF000000AB
1.744,2010-08-27 00:00:00,HF000000AB
1.7801,2010-09-30 00:00:00,HF000000AB
1.8872,2010-10-29 00:00:00,HF000000AB
2.013,2010-11-26 00:00:00,HF000000AB
1.9632,2010-12-31 00:00:00,HF000000AB
1.8801,2011-01-28 00:00:00,HF000000AB
1.8914,2011-02-25 00:00:00,HF000000AB
1.9399,2011-03-04 00:00:00,HF000000AB
1.9335,2011-03-11 00:00:00,HF000000AB
1.9255,2011-03-18 00:00:00,HF000000AB
1.9561,2011-03-25 00:00:00,HF000000AB
1.8539,2011-04-01 00:00:00,HF000000AB
1.9027,2011-04-08 00:00:00,HF000000AB
1.9227,2011-04-15 00:00:00,HF000000AB
1.9413,2011-04-22 00:00:00,HF000000AB
1.849,2011-04-29 00:00:00,HF000000AB
1.817,2011-05-06 00:00:00,HF000000AB
1.8463,2011-05-13 00:00:00,HF000000AB
1.8616,2011-05-20 00:00:00,HF000000AB
1.7654,2011-05-27 00:00:00,HF000000AB
1.8629,2011-06-03 00:00:00,HF000000AB
1.8586,2011-06-10 00:00:00,HF000000AB
1.8501,2011-06-17 00:00:00,HF000000AB
1.9261,2011-06-24 00:00:00,HF000000AB
1.92,2011-07-01 00:00:00,HF000000AB
1.9941,2011-07-08 00:00:00,HF000000AB
2.0359,2011-07-15 00:00:00,HF000000AB
2.0353,2011-07-22 00:00:00,HF000000AB
1.9699,2011-07-29 00:00:00,HF000000AB
1.986,2011-08-05 00:00:00,HF000000AB
2.0799,2011-08-12 00:00:00,HF000000AB
2.041,2011-08-19 00:00:00,HF000000AB
2.0504,2011-08-26 00:00:00,HF000000AB
1.986,2011-09-02 00:00:00,HF000000AB
1.969,2011-09-09 00:00:00,HF000000AB
1.9464,2011-09-16 00:00:00,HF000000AB
1.8853,2011-09-23 00:00:00,HF000000AB
1.8195,2011-09-30 00:00:00,HF000000AB
1.8473,2011-10-14 00:00:00,HF000000AB
1.7772,2011-10-21 00:00:00,HF000000AB
1.8921,2011-10-28 00:00:00,HF000000AB
1.931,2011-11-04 00:00:00,HF000000AB
1.9196,2011-11-11 00:00:00,HF000000AB
1.8622,2011-11-18 00:00:00,HF000000AB
1.848,2011-11-25 00:00:00,HF000000AB
1.8337,2011-12-02 00:00:00,HF000000AB
1.7817,2011-12-09 00:00:00,HF000000AB
1.7702,2011-12-16 00:00:00,HF000000AB
1.7499,2011-12-23 00:00:00,HF000000AB
1.7293,2011-12-30 00:00:00,HF000000AB
1.6769,2012-01-06 00:00:00,HF000000AB
1.6786,2012-01-13 00:00:00,HF000000AB
1.678,2012-01-20 00:00:00,HF000000AB
1.7088,2012-02-03 00:00:00,HF000000AB
1.7228,2012-02-10 00:00:00,HF000000AB
1.7357,2012-02-17 00:00:00,HF000000AB
1.7496,2012-02-20 00:00:00,HF000000AB
1.8006,2012-02-24 00:00:00,HF000000AB
1.7822,2012-03-02 00:00:00,HF000000AB
1.7991,2012-03-09 00:00:00,HF000000AB
1.844,2012-03-16 00:00:00,HF000000AB
1.8216,2012-03-20 00:00:00,HF000000AB
1.7824,2012-03-23 00:00:00,HF000000AB
1.7304,2012-03-30 00:00:00,HF000000AB
1.7554,2012-04-06 00:00:00,HF000000AB
1.7677,2012-04-13 00:00:00,HF000000AB
1.7674,2012-04-20 00:00:00,HF000000AB
1.7713,2012-04-27 00:00:00,HF000000AB
1.8156,2012-05-04 00:00:00,HF000000AB
1.7951,2012-05-11 00:00:00,HF000000AB
1.7715,2012-05-18 00:00:00,HF000000AB
1.7625,2012-05-21 00:00:00,HF000000AB
1.7589,2012-05-25 00:00:00,HF000000AB
1.8078,2012-06-01 00:00:00,HF000000AB
1.7741,2012-06-08 00:00:00,HF000000AB
1.8689,2012-06-15 00:00:00,HF000000AB
1.8541,2012-06-22 00:00:00,HF000000AB
1.8634,2012-06-29 00:00:00,HF000000AB
1.888,2012-07-06 00:00:00,HF000000AB
1.8792,2012-07-13 00:00:00,HF000000AB
1.8552,2012-07-20 00:00:00,HF000000AB
1.8346,2012-07-27 00:00:00,HF000000AB
1.8447,2012-08-03 00:00:00,HF000000AB
1.8353,2012-08-10 00:00:00,HF000000AB
1.7996,2012-08-17 00:00:00,HF000000AB
1.7945,2012-08-20 00:00:00,HF000000AB
1.7851,2012-08-24 00:00:00,HF000000AB
1.7348,2012-08-31 00:00:00,HF000000AB
1.7838,2012-09-07 00:00:00,HF000000AB
1.7601,2012-09-14 00:00:00,HF000000AB
1.7112,2012-09-20 00:00:00,HF000000AB
1.7114,2012-09-21 00:00:00,HF000000AB
1.7261,2012-09-28 00:00:00,HF000000AB
1.7491,2012-10-12 00:00:00,HF000000AB
1.7413,2012-10-19 00:00:00,HF000000AB
1.7436,2012-10-22 00:00:00,HF000000AB
1.7135,2012-10-26 00:00:00,HF000000AB
1.7026,2012-11-02 00:00:00,HF000000AB
1.6897,2012-11-09 00:00:00,HF000000AB
1.6856,2012-11-16 00:00:00,HF000000AB
1.6861,2012-11-20 00:00:00,HF000000AB
1.6798,2012-11-23 00:00:00,HF000000AB
1.6616,2012-11-30 00:00:00,HF000000AB
1.6807,2012-12-07 00:00:00,HF000000AB
1.6978,2012-12-14 00:00:00,HF000000AB
1.6907,2012-12-20 00:00:00,HF000000AB
1.6873,2012-12-21 00:00:00,HF000000AB
1.7454,2012-12-28 00:00:00,HF000000AB
1.7592,2012-12-31 00:00:00,HF000000AB
1.7422,2013-01-04 00:00:00,HF000000AB
1.7515,2013-01-11 00:00:00,HF000000AB
1.835,2013-01-18 00:00:00,HF000000AB
1.8522,2013-01-21 00:00:00,HF000000AB
1.8567,2013-01-25 00:00:00,HF000000AB
1.9278,2013-02-01 00:00:00,HF000000AB
1.9636,2013-02-08 00:00:00,HF000000AB
1.9877,2013-02-20 00:00:00,HF000000AB
1.958,2013-02-22 00:00:00,HF000000AB
1.953,2013-03-01 00:00:00,HF000000AB
2.0009,2013-03-08 00:00:00,HF000000AB
1.9648,2013-03-15 00:00:00,HF000000AB
1.9842,2013-03-20 00:00:00,HF000000AB
1.9894,2013-03-22 00:00:00,HF000000AB
1.9446,2013-03-29 00:00:00,HF000000AB
1.9334,2013-04-03 00:00:00,HF000000AB
1.9166,2013-04-12 00:00:00,HF000000AB
1.9096,2013-04-19 00:00:00,HF000000AB
1.8229,2013-04-22 00:00:00,HF000000AB
1.8925,2013-04-26 00:00:00,HF000000AB
1.938,2013-05-03 00:00:00,HF000000AB
1.9594,2013-05-10 00:00:00,HF000000AB
1.9838,2013-05-17 00:00:00,HF000000AB
1.9856,2013-05-20 00:00:00,HF000000AB
1.9587,2013-05-24 00:00:00,HF000000AB
1.9524,2013-05-31 00:00:00,HF000000AB
1.9176,2013-06-07 00:00:00,HF000000AB
1.8903,2013-06-14 00:00:00,HF000000AB
1.8519,2013-06-20 00:00:00,HF000000AB
1.8638,2013-06-21 00:00:00,HF000000AB
1.8448,2013-06-28 00:00:00,HF000000AB
1.8523,2013-07-05 00:00:00,HF000000AB
1.8837,2013-07-12 00:00:00,HF000000AB
1.9103,2013-07-19 00:00:00,HF000000AB
1.9311,2013-07-22 00:00:00,HF000000AB
1.9315,2013-07-26 00:00:00,HF000000AB
1.9537,2013-08-02 00:00:00,HF000000AB
1.9778,2013-08-09 00:00:00,HF000000AB
1.946,2013-08-16 00:00:00,HF000000AB
1.9624,2013-08-20 00:00:00,HF000000AB
1.9727,2013-08-23 00:00:00,HF000000AB
1.9527,2013-08-30 00:00:00,HF000000AB
1.9714,2013-09-06 00:00:00,HF000000AB
1.9444,2013-09-13 00:00:00,HF000000AB
1.9251,2013-09-18 00:00:00,HF000000AB
1.9392,2013-09-23 00:00:00,HF000000AB
1.9024,2013-09-27 00:00:00,HF000000AB
1.9107,2013-09-30 00:00:00,HF000000AB
1.9206,2013-10-11 00:00:00,HF000000AB
1.9108,2013-10-18 00:00:00,HF000000AB
1.9299,2013-10-21 00:00:00,HF000000AB
1.89,2013-10-25 00:00:00,HF000000AB
1.9001,2013-11-01 00:00:00,HF000000AB
1.8733,2013-11-08 00:00:00,HF000000AB
1.8979,2013-11-15 00:00:00,HF000000AB
1.9399,2013-11-20 00:00:00,HF000000AB
1.901,2013-11-22 00:00:00,HF000000AB
1.9689,2013-11-29 00:00:00,HF000000AB
1.9435,2013-12-06 00:00:00,HF000000AB
1.9345,2013-12-13 00:00:00,HF000000AB
1.9195,2013-12-20 00:00:00,HF000000AB
