value,date,id
1.0,2009-03-04 00:00:00,HF000000BK
1.0229,2009-03-20 00:00:00,HF000000BK
1.0655,2009-04-20 00:00:00,HF000000BK
1.0713,2009-05-20 00:00:00,HF000000BK
1.1122,2009-06-19 00:00:00,HF000000BK
1.1581,2009-07-20 00:00:00,HF000000BK
1.1375,2009-08-20 00:00:00,HF000000BK
1.135,2009-09-18 00:00:00,HF000000BK
1.1463,2009-10-20 00:00:00,HF000000BK
1.1763,2009-11-20 00:00:00,HF000000BK
1.1697,2009-12-18 00:00:00,HF000000BK
1.1751,2010-01-20 00:00:00,HF000000BK
1.1639,2010-02-20 00:00:00,HF000000BK
1.1755,2010-03-19 00:00:00,HF000000BK
1.1868,2010-04-20 00:00:00,HF000000BK
1.1813,2010-05-20 00:00:00,HF000000BK
1.1821,2010-06-30 00:00:00,HF000000BK
1.1832,2010-07-30 00:00:00,HF000000BK
1.187,2010-08-31 00:00:00,HF000000BK
1.1896,2010-09-30 00:00:00,HF000000BK
1.2144,2010-10-29 00:00:00,HF000000BK
1.2225,2010-11-30 00:00:00,HF000000BK
1.2138,2010-12-31 00:00:00,HF000000BK
1.2116,2011-01-31 00:00:00,HF000000BK
1.2168,2011-02-28 00:00:00,HF000000BK
1.216,2011-03-31 00:00:00,HF000000BK
1.2128,2011-04-29 00:00:00,HF000000BK
1.2118,2011-05-31 00:00:00,HF000000BK
1.2146,2011-06-30 00:00:00,HF000000BK
1.2211,2011-07-29 00:00:00,HF000000BK
1.2264,2011-08-31 00:00:00,HF000000BK
1.2198,2011-09-30 00:00:00,HF000000BK
1.2316,2011-10-31 00:00:00,HF000000BK
1.2299,2011-11-30 00:00:00,HF000000BK
1.2161,2011-12-31 00:00:00,HF000000BK
1.1959,2012-01-31 00:00:00,HF000000BK
1.2144,2012-02-29 00:00:00,HF000000BK
1.1975,2012-03-31 00:00:00,HF000000BK
1.2034,2012-04-28 00:00:00,HF000000BK
1.2071,2012-05-31 00:00:00,HF000000BK
1.202,2012-06-29 00:00:00,HF000000BK
1.1944,2012-07-31 00:00:00,HF000000BK
1.2022,2012-08-31 00:00:00,HF000000BK
1.1981,2012-09-29 00:00:00,HF000000BK
1.1987,2012-10-31 00:00:00,HF000000BK
1.1892,2012-11-30 00:00:00,HF000000BK
1.2441,2012-12-31 00:00:00,HF000000BK
1.301,2013-01-31 00:00:00,HF000000BK
1.3116,2013-02-28 00:00:00,HF000000BK
1.2508,2013-03-29 00:00:00,HF000000BK
1.2446,2013-04-26 00:00:00,HF000000BK
1.2446,2013-04-28 00:00:00,HF000000BK
1.2979,2013-05-31 00:00:00,HF000000BK
1.2662,2013-06-28 00:00:00,HF000000BK
1.2776,2013-07-31 00:00:00,HF000000BK
1.292,2013-08-30 00:00:00,HF000000BK
1.3041,2013-09-30 00:00:00,HF000000BK
1.3068,2013-10-31 00:00:00,HF000000BK
1.3141,2013-11-29 00:00:00,HF000000BK
1.315,2013-12-31 00:00:00,HF000000BK
1.3374,2014-01-30 00:00:00,HF000000BK
1.3516,2014-02-28 00:00:00,HF000000BK
1.3499,2014-03-31 00:00:00,HF000000BK
1.3521,2014-04-30 00:00:00,HF000000BK
1.3558,2014-05-30 00:00:00,HF000000BK
1.3667,2014-06-30 00:00:00,HF000000BK
1.3706,2014-07-31 00:00:00,HF000000BK
1.3778,2014-08-29 00:00:00,HF000000BK
1.4188,2014-09-30 00:00:00,HF000000BK
1.4184,2014-10-31 00:00:00,HF000000BK
1.50071,2014-11-28 00:00:00,HF000000BK
1.665621,2014-12-31 00:00:00,HF000000BK
1.7015,2015-01-30 00:00:00,HF000000BK
1.8056,2015-02-28 00:00:00,HF000000BK
2.1186,2015-03-31 00:00:00,HF000000BK
2.3948,2015-04-30 00:00:00,HF000000BK
2.8241,2015-05-29 00:00:00,HF000000BK
2.5422,2015-06-30 00:00:00,HF000000BK
2.2909,2015-07-31 00:00:00,HF000000BK
