value,date,id
1.0,2009-04-08 00:00:00,HF000000CS
1.0044,2009-04-30 00:00:00,HF000000CS
1.0256,2009-05-27 00:00:00,HF000000CS
1.0797,2009-06-30 00:00:00,HF000000CS
1.2611,2009-07-31 00:00:00,HF000000CS
1.0485,2009-08-31 00:00:00,HF000000CS
1.0238,2009-09-30 00:00:00,HF000000CS
1.0693,2009-10-30 00:00:00,HF000000CS
1.1856,2009-11-30 00:00:00,HF000000CS
1.2124,2009-12-31 00:00:00,HF000000CS
1.2133,2010-01-29 00:00:00,HF000000CS
1.2523,2010-02-26 00:00:00,HF000000CS
1.2828,2010-03-31 00:00:00,HF000000CS
1.2364,2010-04-30 00:00:00,HF000000CS
1.1695,2010-05-31 00:00:00,HF000000CS
1.1467,2010-06-30 00:00:00,HF000000CS
1.1475,2010-07-30 00:00:00,HF000000CS
1.1729,2010-08-31 00:00:00,HF000000CS
1.2173,2010-09-30 00:00:00,HF000000CS
1.2904,2010-10-29 00:00:00,HF000000CS
1.3104,2010-11-30 00:00:00,HF000000CS
1.2783,2010-12-31 00:00:00,HF000000CS
1.1749,2011-01-31 00:00:00,HF000000CS
1.2421,2011-02-28 00:00:00,HF000000CS
1.1919,2011-03-31 00:00:00,HF000000CS
1.1819,2011-04-29 00:00:00,HF000000CS
1.126,2011-05-31 00:00:00,HF000000CS
1.1341,2011-06-30 00:00:00,HF000000CS
1.1356,2011-07-29 00:00:00,HF000000CS
1.1038,2011-08-31 00:00:00,HF000000CS
1.0516,2011-09-30 00:00:00,HF000000CS
1.0659,2011-10-31 00:00:00,HF000000CS
1.048,2011-11-30 00:00:00,HF000000CS
0.9992,2011-12-31 00:00:00,HF000000CS
0.9701,2012-01-31 00:00:00,HF000000CS
1.0139,2012-02-29 00:00:00,HF000000CS
0.9902,2012-03-31 00:00:00,HF000000CS
0.9852,2012-04-28 00:00:00,HF000000CS
0.9883,2012-05-31 00:00:00,HF000000CS
0.9801,2012-06-29 00:00:00,HF000000CS
0.9612,2012-07-31 00:00:00,HF000000CS
0.9816,2012-08-31 00:00:00,HF000000CS
1.0019,2012-09-29 00:00:00,HF000000CS
1.0078,2012-10-31 00:00:00,HF000000CS
0.9501,2012-11-30 00:00:00,HF000000CS
1.0861,2012-12-31 00:00:00,HF000000CS
1.1738,2013-01-31 00:00:00,HF000000CS
1.214,2013-02-28 00:00:00,HF000000CS
1.2726,2013-03-29 00:00:00,HF000000CS
1.2211,2013-04-28 00:00:00,HF000000CS
1.3811,2013-05-31 00:00:00,HF000000CS
1.2758,2013-06-28 00:00:00,HF000000CS
1.2478,2013-07-31 00:00:00,HF000000CS
1.2607,2013-08-30 00:00:00,HF000000CS
1.381,2013-09-30 00:00:00,HF000000CS
1.3325,2013-10-31 00:00:00,HF000000CS
1.3782,2013-11-29 00:00:00,HF000000CS
1.328,2013-12-31 00:00:00,HF000000CS
1.3283,2014-01-30 00:00:00,HF000000CS
1.2976,2014-02-28 00:00:00,HF000000CS
1.2028,2014-03-31 00:00:00,HF000000CS
1.2078,2014-04-30 00:00:00,HF000000CS
1.2268,2014-05-30 00:00:00,HF000000CS
1.2615,2014-06-30 00:00:00,HF000000CS
1.2893,2014-07-31 00:00:00,HF000000CS
1.3401,2014-08-29 00:00:00,HF000000CS
1.4789,2014-09-30 00:00:00,HF000000CS
1.4842,2014-10-31 00:00:00,HF000000CS
1.50522,2014-11-28 00:00:00,HF000000CS
1.475816,2014-12-31 00:00:00,HF000000CS
1.6196,2015-01-30 00:00:00,HF000000CS
1.7056,2015-02-28 00:00:00,HF000000CS
1.8762,2015-03-31 00:00:00,HF000000CS
2.1067,2015-04-30 00:00:00,HF000000CS
2.5277,2015-05-29 00:00:00,HF000000CS
2.1833,2015-06-30 00:00:00,HF000000CS
2.0535,2015-07-31 00:00:00,HF000000CS
