value,date,id
1.0,2010-11-12 00:00:00,HF000000DJ
0.977,2010-12-31 00:00:00,HF000000DJ
0.9241,2011-01-28 00:00:00,HF000000DJ
0.9307,2011-02-25 00:00:00,HF000000DJ
0.932,2011-03-04 00:00:00,HF000000DJ
0.9279,2011-03-11 00:00:00,HF000000DJ
0.9169,2011-03-18 00:00:00,HF000000DJ
0.9174,2011-03-25 00:00:00,HF000000DJ
0.8903,2011-04-01 00:00:00,HF000000DJ
0.8895,2011-04-08 00:00:00,HF000000DJ
0.8809,2011-04-15 00:00:00,HF000000DJ
0.8818,2011-04-20 00:00:00,HF000000DJ
0.8931,2011-04-22 00:00:00,HF000000DJ
0.8379,2011-04-29 00:00:00,HF000000DJ
0.8329,2011-05-06 00:00:00,HF000000DJ
0.8241,2011-05-13 00:00:00,HF000000DJ
0.8191,2011-05-20 00:00:00,HF000000DJ
0.7789,2011-05-27 00:00:00,HF000000DJ
0.7804,2011-06-03 00:00:00,HF000000DJ
0.7788,2011-06-10 00:00:00,HF000000DJ
0.7709,2011-06-17 00:00:00,HF000000DJ
0.7642,2011-06-20 00:00:00,HF000000DJ
0.7758,2011-06-24 00:00:00,HF000000DJ
0.788,2011-07-01 00:00:00,HF000000DJ
0.8114,2011-07-08 00:00:00,HF000000DJ
0.8212,2011-07-15 00:00:00,HF000000DJ
0.8175,2011-07-22 00:00:00,HF000000DJ
0.8039,2011-07-29 00:00:00,HF000000DJ
0.801,2011-08-05 00:00:00,HF000000DJ
0.8197,2011-08-12 00:00:00,HF000000DJ
0.796,2011-08-19 00:00:00,HF000000DJ
0.8103,2011-08-26 00:00:00,HF000000DJ
0.7777,2011-09-02 00:00:00,HF000000DJ
0.764,2011-09-09 00:00:00,HF000000DJ
0.7522,2011-09-16 00:00:00,HF000000DJ
0.7557,2011-09-23 00:00:00,HF000000DJ
0.7399,2011-09-30 00:00:00,HF000000DJ
0.7443,2011-10-14 00:00:00,HF000000DJ
0.714,2011-10-20 00:00:00,HF000000DJ
0.7112,2011-10-21 00:00:00,HF000000DJ
0.7353,2011-10-28 00:00:00,HF000000DJ
0.7551,2011-11-04 00:00:00,HF000000DJ
0.7599,2011-11-11 00:00:00,HF000000DJ
0.7298,2011-11-18 00:00:00,HF000000DJ
0.7344,2011-11-25 00:00:00,HF000000DJ
0.7302,2011-12-02 00:00:00,HF000000DJ
0.7113,2011-12-09 00:00:00,HF000000DJ
0.7039,2011-12-16 00:00:00,HF000000DJ
0.704,2011-12-20 00:00:00,HF000000DJ
0.6903,2011-12-23 00:00:00,HF000000DJ
0.69,2011-12-30 00:00:00,HF000000DJ
0.6687,2012-01-06 00:00:00,HF000000DJ
0.6692,2012-01-13 00:00:00,HF000000DJ
0.6694,2012-01-20 00:00:00,HF000000DJ
0.6709,2012-02-03 00:00:00,HF000000DJ
0.675,2012-02-10 00:00:00,HF000000DJ
0.6801,2012-02-17 00:00:00,HF000000DJ
0.68,2012-02-20 00:00:00,HF000000DJ
0.7144,2012-02-24 00:00:00,HF000000DJ
0.7118,2012-03-02 00:00:00,HF000000DJ
0.7258,2012-03-09 00:00:00,HF000000DJ
0.6942,2012-03-16 00:00:00,HF000000DJ
0.6735,2012-03-20 00:00:00,HF000000DJ
0.6556,2012-03-23 00:00:00,HF000000DJ
0.6387,2012-03-30 00:00:00,HF000000DJ
0.6439,2012-04-06 00:00:00,HF000000DJ
0.6456,2012-04-13 00:00:00,HF000000DJ
0.6497,2012-04-20 00:00:00,HF000000DJ
0.6303,2012-04-27 00:00:00,HF000000DJ
0.6414,2012-05-04 00:00:00,HF000000DJ
0.6387,2012-05-11 00:00:00,HF000000DJ
0.6327,2012-05-18 00:00:00,HF000000DJ
0.6287,2012-05-25 00:00:00,HF000000DJ
0.6289,2012-06-01 00:00:00,HF000000DJ
0.629,2012-06-08 00:00:00,HF000000DJ
0.629,2012-06-15 00:00:00,HF000000DJ
0.6266,2012-06-20 00:00:00,HF000000DJ
0.6255,2012-06-21 00:00:00,HF000000DJ
0.6236,2012-06-29 00:00:00,HF000000DJ
0.6234,2012-07-06 00:00:00,HF000000DJ
0.6218,2012-07-13 00:00:00,HF000000DJ
0.624,2012-07-20 00:00:00,HF000000DJ
0.6243,2012-07-27 00:00:00,HF000000DJ
0.6235,2012-08-03 00:00:00,HF000000DJ
0.6237,2012-08-10 00:00:00,HF000000DJ
0.6242,2012-08-17 00:00:00,HF000000DJ
0.6229,2012-08-20 00:00:00,HF000000DJ
0.6219,2012-08-24 00:00:00,HF000000DJ
0.6221,2012-08-31 00:00:00,HF000000DJ
0.6261,2012-09-07 00:00:00,HF000000DJ
0.6281,2012-09-14 00:00:00,HF000000DJ
0.6227,2012-09-20 00:00:00,HF000000DJ
0.6224,2012-09-21 00:00:00,HF000000DJ
0.6243,2012-09-28 00:00:00,HF000000DJ
0.6238,2012-10-12 00:00:00,HF000000DJ
0.6227,2012-10-19 00:00:00,HF000000DJ
0.619,2012-10-26 00:00:00,HF000000DJ
0.6203,2012-11-02 00:00:00,HF000000DJ
0.6188,2012-11-09 00:00:00,HF000000DJ
0.6178,2012-11-16 00:00:00,HF000000DJ
0.6172,2012-11-20 00:00:00,HF000000DJ
0.6174,2012-11-23 00:00:00,HF000000DJ
0.6149,2012-11-30 00:00:00,HF000000DJ
0.6163,2012-12-07 00:00:00,HF000000DJ
0.6193,2012-12-14 00:00:00,HF000000DJ
0.6208,2012-12-20 00:00:00,HF000000DJ
0.6199,2012-12-21 00:00:00,HF000000DJ
0.6287,2012-12-28 00:00:00,HF000000DJ
0.6349,2013-01-04 00:00:00,HF000000DJ
0.6305,2013-01-11 00:00:00,HF000000DJ
0.6474,2013-01-18 00:00:00,HF000000DJ
0.6306,2013-01-25 00:00:00,HF000000DJ
0.6429,2013-02-01 00:00:00,HF000000DJ
0.6579,2013-02-08 00:00:00,HF000000DJ
0.6753,2013-02-20 00:00:00,HF000000DJ
0.6571,2013-02-22 00:00:00,HF000000DJ
0.6849,2013-03-01 00:00:00,HF000000DJ
0.6733,2013-03-08 00:00:00,HF000000DJ
0.6561,2013-03-15 00:00:00,HF000000DJ
0.6676,2013-03-20 00:00:00,HF000000DJ
0.6773,2013-03-22 00:00:00,HF000000DJ
0.6761,2013-03-29 00:00:00,HF000000DJ
0.6382,2013-04-03 00:00:00,HF000000DJ
0.642,2013-04-12 00:00:00,HF000000DJ
0.6611,2013-04-19 00:00:00,HF000000DJ
0.6428,2013-04-26 00:00:00,HF000000DJ
0.6677,2013-05-03 00:00:00,HF000000DJ
0.7331,2013-05-10 00:00:00,HF000000DJ
0.81,2013-05-17 00:00:00,HF000000DJ
0.8245,2013-05-20 00:00:00,HF000000DJ
0.8331,2013-05-24 00:00:00,HF000000DJ
0.8106,2013-05-31 00:00:00,HF000000DJ
0.7593,2013-06-07 00:00:00,HF000000DJ
0.7884,2013-06-14 00:00:00,HF000000DJ
0.7785,2013-06-20 00:00:00,HF000000DJ
0.766,2013-06-28 00:00:00,HF000000DJ
0.8097,2013-07-05 00:00:00,HF000000DJ
0.8213,2013-07-12 00:00:00,HF000000DJ
0.8155,2013-07-19 00:00:00,HF000000DJ
0.8794,2013-07-26 00:00:00,HF000000DJ
0.8773,2013-08-02 00:00:00,HF000000DJ
0.8759,2013-08-09 00:00:00,HF000000DJ
0.8448,2013-08-16 00:00:00,HF000000DJ
0.8629,2013-08-20 00:00:00,HF000000DJ
0.8808,2013-08-23 00:00:00,HF000000DJ
0.862,2013-08-30 00:00:00,HF000000DJ
0.9371,2013-09-06 00:00:00,HF000000DJ
0.9145,2013-09-13 00:00:00,HF000000DJ
0.9274,2013-09-18 00:00:00,HF000000DJ
0.9365,2013-09-27 00:00:00,HF000000DJ
0.9542,2013-09-30 00:00:00,HF000000DJ
0.9974,2013-10-11 00:00:00,HF000000DJ
0.9854,2013-10-18 00:00:00,HF000000DJ
0.9,2013-10-25 00:00:00,HF000000DJ
0.8899,2013-11-01 00:00:00,HF000000DJ
0.879,2013-11-08 00:00:00,HF000000DJ
0.887,2013-11-15 00:00:00,HF000000DJ
0.9102,2013-11-20 00:00:00,HF000000DJ
0.8909,2013-11-22 00:00:00,HF000000DJ
0.9091,2013-11-29 00:00:00,HF000000DJ
0.8832,2013-12-06 00:00:00,HF000000DJ
0.9031,2013-12-13 00:00:00,HF000000DJ
0.8591,2013-12-20 00:00:00,HF000000DJ
0.8713,2013-12-27 00:00:00,HF000000DJ
0.8843,2014-01-03 00:00:00,HF000000DJ
0.8727,2014-01-10 00:00:00,HF000000DJ
0.899,2014-01-17 00:00:00,HF000000DJ
0.8977,2014-01-20 00:00:00,HF000000DJ
0.9457,2014-01-24 00:00:00,HF000000DJ
0.9737,2014-01-30 00:00:00,HF000000DJ
1.0041,2014-02-07 00:00:00,HF000000DJ
1.006,2014-02-14 00:00:00,HF000000DJ
0.9936,2014-02-20 00:00:00,HF000000DJ
0.9984,2014-02-21 00:00:00,HF000000DJ
0.9669,2014-02-28 00:00:00,HF000000DJ
0.9697,2014-03-07 00:00:00,HF000000DJ
0.9416,2014-03-14 00:00:00,HF000000DJ
0.9318,2014-03-20 00:00:00,HF000000DJ
0.9509,2014-03-21 00:00:00,HF000000DJ
0.871,2014-03-28 00:00:00,HF000000DJ
0.8955,2014-04-04 00:00:00,HF000000DJ
0.9328,2014-04-11 00:00:00,HF000000DJ
0.933,2014-04-18 00:00:00,HF000000DJ
0.8883,2014-04-25 00:00:00,HF000000DJ
0.8953,2014-04-30 00:00:00,HF000000DJ
0.8942,2014-05-09 00:00:00,HF000000DJ
0.9004,2014-05-16 00:00:00,HF000000DJ
0.8978,2014-05-20 00:00:00,HF000000DJ
0.9153,2014-05-23 00:00:00,HF000000DJ
0.9304,2014-05-30 00:00:00,HF000000DJ
0.9087,2014-06-06 00:00:00,HF000000DJ
0.9316,2014-06-13 00:00:00,HF000000DJ
0.9137,2014-06-20 00:00:00,HF000000DJ
0.9555,2014-06-27 00:00:00,HF000000DJ
0.9899,2014-07-04 00:00:00,HF000000DJ
1.0044,2014-07-11 00:00:00,HF000000DJ
0.9991,2014-07-18 00:00:00,HF000000DJ
1.0263,2014-07-25 00:00:00,HF000000DJ
1.0541,2014-08-01 00:00:00,HF000000DJ
1.1037,2014-08-08 00:00:00,HF000000DJ
1.1104,2014-08-15 00:00:00,HF000000DJ
1.0916,2014-08-20 00:00:00,HF000000DJ
1.0944,2014-08-22 00:00:00,HF000000DJ
1.0631,2014-08-29 00:00:00,HF000000DJ
1.128,2014-09-05 00:00:00,HF000000DJ
1.139,2014-09-12 00:00:00,HF000000DJ
1.0976,2014-09-19 00:00:00,HF000000DJ
1.1196,2014-09-26 00:00:00,HF000000DJ
1.1273,2014-09-30 00:00:00,HF000000DJ
1.1205,2014-10-10 00:00:00,HF000000DJ
1.0982,2014-10-17 00:00:00,HF000000DJ
1.1099,2014-10-20 00:00:00,HF000000DJ
1.0789,2014-10-24 00:00:00,HF000000DJ
1.1338,2014-10-31 00:00:00,HF000000DJ
1.1236,2014-11-07 00:00:00,HF000000DJ
1.0833,2014-11-14 00:00:00,HF000000DJ
1.1084,2014-11-20 00:00:00,HF000000DJ
1.1139,2014-11-21 00:00:00,HF000000DJ
1.1591,2014-11-28 00:00:00,HF000000DJ
1.1742,2014-12-05 00:00:00,HF000000DJ
1.1585,2014-12-12 00:00:00,HF000000DJ
1.1705,2014-12-19 00:00:00,HF000000DJ
1.1878,2014-12-26 00:00:00,HF000000DJ
1.2299,2014-12-31 00:00:00,HF000000DJ
1.2363,2015-01-09 00:00:00,HF000000DJ
1.2845,2015-01-16 00:00:00,HF000000DJ
1.1456,2015-01-20 00:00:00,HF000000DJ
1.2395,2015-01-23 00:00:00,HF000000DJ
1.1546,2015-01-30 00:00:00,HF000000DJ
1.1285,2015-02-06 00:00:00,HF000000DJ
1.1802,2015-02-17 00:00:00,HF000000DJ
1.1922,2015-02-27 00:00:00,HF000000DJ
1.1865,2015-03-06 00:00:00,HF000000DJ
1.2533,2015-03-13 00:00:00,HF000000DJ
1.3139,2015-03-20 00:00:00,HF000000DJ
1.4206,2015-03-27 00:00:00,HF000000DJ
1.549,2015-04-03 00:00:00,HF000000DJ
1.5895,2015-04-10 00:00:00,HF000000DJ
1.5697,2015-04-17 00:00:00,HF000000DJ
1.4997,2015-04-20 00:00:00,HF000000DJ
1.6751,2015-04-24 00:00:00,HF000000DJ
1.8199,2015-04-30 00:00:00,HF000000DJ
1.9719,2015-05-08 00:00:00,HF000000DJ
2.1749,2015-05-15 00:00:00,HF000000DJ
2.2838,2015-05-22 00:00:00,HF000000DJ
2.4372,2015-05-29 00:00:00,HF000000DJ
2.6011,2015-06-05 00:00:00,HF000000DJ
2.5832,2015-06-12 00:00:00,HF000000DJ
2.1976,2015-06-19 00:00:00,HF000000DJ
2.0547,2015-06-26 00:00:00,HF000000DJ
1.7771,2015-07-03 00:00:00,HF000000DJ
1.7287,2015-07-10 00:00:00,HF000000DJ
1.7641,2015-07-17 00:00:00,HF000000DJ
1.8422,2015-07-24 00:00:00,HF000000DJ
1.6952,2015-07-31 00:00:00,HF000000DJ
1.7219,2015-08-07 00:00:00,HF000000DJ
