value,date,id
1.0,2010-12-16 00:00:00,HF000000DS
0.971,2011-01-21 00:00:00,HF000000DS
0.974,2011-01-28 00:00:00,HF000000DS
1.0831,2011-02-11 00:00:00,HF000000DS
1.0905,2011-02-18 00:00:00,HF000000DS
1.092,2011-02-25 00:00:00,HF000000DS
1.0873,2011-03-04 00:00:00,HF000000DS
1.1383,2011-03-11 00:00:00,HF000000DS
1.1305,2011-03-18 00:00:00,HF000000DS
1.1728,2011-03-25 00:00:00,HF000000DS
1.1056,2011-04-15 00:00:00,HF000000DS
1.1013,2011-04-22 00:00:00,HF000000DS
0.9846,2011-04-29 00:00:00,HF000000DS
1.0386,2011-05-06 00:00:00,HF000000DS
1.0396,2011-05-13 00:00:00,HF000000DS
1.0263,2011-05-20 00:00:00,HF000000DS
0.9865,2011-05-27 00:00:00,HF000000DS
0.9923,2011-06-03 00:00:00,HF000000DS
0.9801,2011-06-10 00:00:00,HF000000DS
0.9084,2011-06-17 00:00:00,HF000000DS
0.9123,2011-06-20 00:00:00,HF000000DS
0.9535,2011-06-24 00:00:00,HF000000DS
0.9804,2011-07-01 00:00:00,HF000000DS
1.0252,2011-07-08 00:00:00,HF000000DS
1.0801,2011-07-15 00:00:00,HF000000DS
1.0773,2011-07-20 00:00:00,HF000000DS
1.0798,2011-07-22 00:00:00,HF000000DS
1.0495,2011-07-29 00:00:00,HF000000DS
1.0205,2011-08-05 00:00:00,HF000000DS
1.0325,2011-08-12 00:00:00,HF000000DS
1.0178,2011-08-19 00:00:00,HF000000DS
1.0375,2011-08-26 00:00:00,HF000000DS
0.9614,2011-09-02 00:00:00,HF000000DS
0.9243,2011-09-09 00:00:00,HF000000DS
0.8955,2011-09-16 00:00:00,HF000000DS
0.8849,2011-09-23 00:00:00,HF000000DS
0.8088,2011-09-30 00:00:00,HF000000DS
0.8122,2011-10-14 00:00:00,HF000000DS
0.7616,2011-10-21 00:00:00,HF000000DS
0.8132,2011-10-28 00:00:00,HF000000DS
0.8501,2011-11-04 00:00:00,HF000000DS
0.8273,2011-11-11 00:00:00,HF000000DS
0.8255,2011-11-18 00:00:00,HF000000DS
0.808,2011-11-25 00:00:00,HF000000DS
0.7547,2011-12-02 00:00:00,HF000000DS
0.7167,2011-12-09 00:00:00,HF000000DS
0.6744,2011-12-16 00:00:00,HF000000DS
0.6322,2011-12-23 00:00:00,HF000000DS
0.6124,2011-12-30 00:00:00,HF000000DS
0.5552,2012-01-06 00:00:00,HF000000DS
0.5717,2012-01-13 00:00:00,HF000000DS
0.5903,2012-01-20 00:00:00,HF000000DS
0.62,2012-02-03 00:00:00,HF000000DS
0.6336,2012-02-10 00:00:00,HF000000DS
0.6348,2012-02-17 00:00:00,HF000000DS
0.6643,2012-02-24 00:00:00,HF000000DS
0.6473,2012-03-02 00:00:00,HF000000DS
0.6483,2012-03-09 00:00:00,HF000000DS
0.6169,2012-03-16 00:00:00,HF000000DS
0.5781,2012-03-23 00:00:00,HF000000DS
0.5554,2012-03-30 00:00:00,HF000000DS
0.5614,2012-04-06 00:00:00,HF000000DS
0.5685,2012-04-13 00:00:00,HF000000DS
0.5803,2012-04-20 00:00:00,HF000000DS
0.5751,2012-04-27 00:00:00,HF000000DS
0.5841,2012-05-04 00:00:00,HF000000DS
0.5539,2012-05-11 00:00:00,HF000000DS
0.5535,2012-05-18 00:00:00,HF000000DS
0.5201,2012-05-25 00:00:00,HF000000DS
0.515,2012-06-01 00:00:00,HF000000DS
0.5012,2012-06-08 00:00:00,HF000000DS
0.5098,2012-06-15 00:00:00,HF000000DS
0.5118,2012-06-21 00:00:00,HF000000DS
0.5036,2012-06-29 00:00:00,HF000000DS
0.5278,2012-07-06 00:00:00,HF000000DS
0.5205,2012-07-13 00:00:00,HF000000DS
0.5083,2012-07-20 00:00:00,HF000000DS
0.5008,2012-07-27 00:00:00,HF000000DS
0.4911,2012-08-03 00:00:00,HF000000DS
0.5162,2012-08-10 00:00:00,HF000000DS
0.4866,2012-08-17 00:00:00,HF000000DS
0.4749,2012-08-24 00:00:00,HF000000DS
0.4567,2012-08-31 00:00:00,HF000000DS
0.4835,2012-09-07 00:00:00,HF000000DS
0.4795,2012-09-14 00:00:00,HF000000DS
0.4526,2012-09-21 00:00:00,HF000000DS
0.4598,2012-09-28 00:00:00,HF000000DS
0.4579,2012-10-12 00:00:00,HF000000DS
0.4574,2012-10-19 00:00:00,HF000000DS
0.4473,2012-10-26 00:00:00,HF000000DS
0.455,2012-11-02 00:00:00,HF000000DS
0.4385,2012-11-09 00:00:00,HF000000DS
0.4228,2012-11-16 00:00:00,HF000000DS
0.4294,2012-11-23 00:00:00,HF000000DS
0.4212,2012-11-30 00:00:00,HF000000DS
0.4459,2012-12-07 00:00:00,HF000000DS
0.4655,2012-12-14 00:00:00,HF000000DS
0.4554,2012-12-21 00:00:00,HF000000DS
0.4913,2012-12-28 00:00:00,HF000000DS
0.5207,2013-01-04 00:00:00,HF000000DS
0.4973,2013-01-11 00:00:00,HF000000DS
0.5149,2013-01-18 00:00:00,HF000000DS
0.5037,2013-01-25 00:00:00,HF000000DS
0.5288,2013-02-01 00:00:00,HF000000DS
0.5267,2013-02-08 00:00:00,HF000000DS
0.5265,2013-02-22 00:00:00,HF000000DS
0.5514,2013-03-01 00:00:00,HF000000DS
0.5331,2013-03-08 00:00:00,HF000000DS
0.5326,2013-03-15 00:00:00,HF000000DS
0.5518,2013-03-22 00:00:00,HF000000DS
0.5454,2013-03-29 00:00:00,HF000000DS
0.5099,2013-04-12 00:00:00,HF000000DS
0.5383,2013-04-19 00:00:00,HF000000DS
0.5345,2013-04-26 00:00:00,HF000000DS
0.5642,2013-05-03 00:00:00,HF000000DS
0.582,2013-05-10 00:00:00,HF000000DS
0.6209,2013-05-17 00:00:00,HF000000DS
0.6342,2013-05-24 00:00:00,HF000000DS
0.6226,2013-05-31 00:00:00,HF000000DS
0.5839,2013-06-07 00:00:00,HF000000DS
0.605,2013-06-14 00:00:00,HF000000DS
0.5762,2013-06-21 00:00:00,HF000000DS
0.5892,2013-06-28 00:00:00,HF000000DS
0.5914,2013-07-05 00:00:00,HF000000DS
0.6315,2013-07-12 00:00:00,HF000000DS
0.6681,2013-07-19 00:00:00,HF000000DS
0.6718,2013-07-26 00:00:00,HF000000DS
0.6982,2013-08-02 00:00:00,HF000000DS
0.6837,2013-08-09 00:00:00,HF000000DS
0.7288,2013-08-16 00:00:00,HF000000DS
0.8176,2013-08-23 00:00:00,HF000000DS
0.8163,2013-08-30 00:00:00,HF000000DS
0.8801,2013-09-06 00:00:00,HF000000DS
0.8552,2013-09-13 00:00:00,HF000000DS
0.8358,2013-09-18 00:00:00,HF000000DS
0.8543,2013-09-27 00:00:00,HF000000DS
1.0061,2013-10-11 00:00:00,HF000000DS
1.0729,2013-10-18 00:00:00,HF000000DS
1.0021,2013-10-25 00:00:00,HF000000DS
0.9771,2013-11-01 00:00:00,HF000000DS
0.924,2013-11-08 00:00:00,HF000000DS
0.9706,2013-11-15 00:00:00,HF000000DS
0.9571,2013-11-22 00:00:00,HF000000DS
1.0386,2013-11-29 00:00:00,HF000000DS
0.9265,2013-12-06 00:00:00,HF000000DS
0.9186,2013-12-13 00:00:00,HF000000DS
0.9234,2013-12-20 00:00:00,HF000000DS
0.9709,2013-12-27 00:00:00,HF000000DS
0.9989,2014-01-03 00:00:00,HF000000DS
0.9553,2014-01-10 00:00:00,HF000000DS
0.9212,2014-01-17 00:00:00,HF000000DS
1.0012,2014-01-24 00:00:00,HF000000DS
1.102,2014-02-07 00:00:00,HF000000DS
1.078,2014-02-14 00:00:00,HF000000DS
1.0715,2014-02-21 00:00:00,HF000000DS
1.0321,2014-02-28 00:00:00,HF000000DS
1.0582,2014-03-07 00:00:00,HF000000DS
1.02,2014-03-14 00:00:00,HF000000DS
1.0569,2014-03-21 00:00:00,HF000000DS
0.989,2014-03-28 00:00:00,HF000000DS
1.0087,2014-04-04 00:00:00,HF000000DS
1.0106,2014-04-11 00:00:00,HF000000DS
1.0251,2014-04-18 00:00:00,HF000000DS
0.9238,2014-04-25 00:00:00,HF000000DS
0.9181,2014-04-30 00:00:00,HF000000DS
0.8863,2014-05-09 00:00:00,HF000000DS
0.8823,2014-05-16 00:00:00,HF000000DS
0.8977,2014-05-23 00:00:00,HF000000DS
0.8941,2014-05-30 00:00:00,HF000000DS
0.8814,2014-06-06 00:00:00,HF000000DS
0.9272,2014-06-13 00:00:00,HF000000DS
0.9132,2014-06-20 00:00:00,HF000000DS
0.962,2014-06-27 00:00:00,HF000000DS
