value,date,id
1.0,2008-03-15 00:00:00,HF000000DU
1.0046,2008-03-28 00:00:00,HF000000DU
1.0972,2008-04-30 00:00:00,HF000000DU
0.975,2008-05-30 00:00:00,HF000000DU
0.8738,2008-06-27 00:00:00,HF000000DU
0.8889,2008-07-25 00:00:00,HF000000DU
0.8326,2008-08-29 00:00:00,HF000000DU
0.8571,2008-09-26 00:00:00,HF000000DU
0.8004,2008-10-31 00:00:00,HF000000DU
0.8121,2008-11-28 00:00:00,HF000000DU
0.805,2008-12-31 00:00:00,HF000000DU
0.8235,2009-01-23 00:00:00,HF000000DU
0.879,2009-02-20 00:00:00,HF000000DU
0.9081,2009-03-27 00:00:00,HF000000DU
0.9223,2009-04-30 00:00:00,HF000000DU
0.9222,2009-05-27 00:00:00,HF000000DU
0.9794,2009-06-26 00:00:00,HF000000DU
1.02,2009-07-31 00:00:00,HF000000DU
0.8682,2009-08-31 00:00:00,HF000000DU
0.8894,2009-09-30 00:00:00,HF000000DU
0.9158,2009-10-30 00:00:00,HF000000DU
0.9125,2009-11-27 00:00:00,HF000000DU
0.9353,2009-12-25 00:00:00,HF000000DU
0.9725,2009-12-31 00:00:00,HF000000DU
0.9184,2010-01-29 00:00:00,HF000000DU
0.9186,2010-02-26 00:00:00,HF000000DU
0.9208,2010-03-26 00:00:00,HF000000DU
0.8759,2010-04-30 00:00:00,HF000000DU
0.8602,2010-05-31 00:00:00,HF000000DU
0.836,2010-06-30 00:00:00,HF000000DU
0.8682,2010-07-30 00:00:00,HF000000DU
0.8551,2010-08-27 00:00:00,HF000000DU
0.8466,2010-09-30 00:00:00,HF000000DU
0.8806,2010-10-29 00:00:00,HF000000DU
0.8294,2010-11-26 00:00:00,HF000000DU
0.8216,2010-12-10 00:00:00,HF000000DU
0.836,2010-12-31 00:00:00,HF000000DU
0.8421,2011-01-07 00:00:00,HF000000DU
0.793,2011-01-14 00:00:00,HF000000DU
0.7734,2011-01-21 00:00:00,HF000000DU
0.7744,2011-01-28 00:00:00,HF000000DU
0.7875,2011-02-11 00:00:00,HF000000DU
0.8226,2011-02-18 00:00:00,HF000000DU
0.8307,2011-02-25 00:00:00,HF000000DU
0.8343,2011-02-28 00:00:00,HF000000DU
0.8336,2011-03-04 00:00:00,HF000000DU
0.8339,2011-03-11 00:00:00,HF000000DU
0.8266,2011-03-18 00:00:00,HF000000DU
0.8298,2011-03-25 00:00:00,HF000000DU
0.8135,2011-03-31 00:00:00,HF000000DU
0.8218,2011-04-01 00:00:00,HF000000DU
0.8335,2011-04-08 00:00:00,HF000000DU
0.8318,2011-04-15 00:00:00,HF000000DU
0.853,2011-04-22 00:00:00,HF000000DU
0.8085,2011-04-29 00:00:00,HF000000DU
0.804,2011-05-06 00:00:00,HF000000DU
0.8095,2011-05-13 00:00:00,HF000000DU
0.814,2011-05-20 00:00:00,HF000000DU
0.7907,2011-05-27 00:00:00,HF000000DU
0.7986,2011-05-31 00:00:00,HF000000DU
0.7998,2011-06-03 00:00:00,HF000000DU
0.8027,2011-06-10 00:00:00,HF000000DU
0.7963,2011-06-17 00:00:00,HF000000DU
0.8217,2011-06-24 00:00:00,HF000000DU
0.8197,2011-06-30 00:00:00,HF000000DU
0.8226,2011-07-01 00:00:00,HF000000DU
0.8373,2011-07-08 00:00:00,HF000000DU
0.8346,2011-07-15 00:00:00,HF000000DU
0.8199,2011-07-22 00:00:00,HF000000DU
0.8088,2011-07-29 00:00:00,HF000000DU
0.8004,2011-08-05 00:00:00,HF000000DU
0.8014,2011-08-12 00:00:00,HF000000DU
0.7938,2011-08-19 00:00:00,HF000000DU
0.8107,2011-08-26 00:00:00,HF000000DU
0.7919,2011-08-31 00:00:00,HF000000DU
0.7835,2011-09-02 00:00:00,HF000000DU
0.7791,2011-09-09 00:00:00,HF000000DU
0.7753,2011-09-16 00:00:00,HF000000DU
0.7743,2011-09-23 00:00:00,HF000000DU
0.7391,2011-09-30 00:00:00,HF000000DU
0.7635,2011-10-14 00:00:00,HF000000DU
0.7241,2011-10-21 00:00:00,HF000000DU
0.7596,2011-10-28 00:00:00,HF000000DU
0.7618,2011-10-31 00:00:00,HF000000DU
0.7723,2011-11-04 00:00:00,HF000000DU
0.7734,2011-11-11 00:00:00,HF000000DU
0.7659,2011-11-18 00:00:00,HF000000DU
0.755,2011-11-25 00:00:00,HF000000DU
0.7355,2011-11-30 00:00:00,HF000000DU
0.7297,2011-12-02 00:00:00,HF000000DU
0.7306,2011-12-09 00:00:00,HF000000DU
0.7071,2011-12-16 00:00:00,HF000000DU
0.6812,2011-12-23 00:00:00,HF000000DU
0.6656,2011-12-30 00:00:00,HF000000DU
0.6505,2012-01-06 00:00:00,HF000000DU
0.665,2012-01-13 00:00:00,HF000000DU
0.6687,2012-01-20 00:00:00,HF000000DU
