value,date,id
1.0,2007-11-16 00:00:00,HF000000EN
0.9961,2007-11-23 00:00:00,HF000000EN
1.0686,2007-12-25 00:00:00,HF000000EN
1.0999,2008-01-25 00:00:00,HF000000EN
1.0467,2008-02-25 00:00:00,HF000000EN
0.9246,2008-03-25 00:00:00,HF000000EN
0.9182,2008-04-25 00:00:00,HF000000EN
0.8709,2008-05-23 00:00:00,HF000000EN
0.8029,2008-06-25 00:00:00,HF000000EN
0.7631,2008-07-25 00:00:00,HF000000EN
0.6986,2008-08-25 00:00:00,HF000000EN
0.6588,2008-09-25 00:00:00,HF000000EN
0.6376,2008-10-24 00:00:00,HF000000EN
0.6333,2008-11-25 00:00:00,HF000000EN
0.6156,2008-12-25 00:00:00,HF000000EN
0.6167,2009-01-24 00:00:00,HF000000EN
0.6584,2009-02-25 00:00:00,HF000000EN
0.6329,2009-03-25 00:00:00,HF000000EN
0.6382,2009-04-24 00:00:00,HF000000EN
0.656,2009-05-25 00:00:00,HF000000EN
0.7175,2009-06-25 00:00:00,HF000000EN
0.8146,2009-07-24 00:00:00,HF000000EN
0.708,2009-08-25 00:00:00,HF000000EN
0.7037,2009-09-25 00:00:00,HF000000EN
0.7783,2009-10-23 00:00:00,HF000000EN
0.7874,2009-11-25 00:00:00,HF000000EN
0.6937,2009-12-25 00:00:00,HF000000EN
0.6529,2010-01-25 00:00:00,HF000000EN
0.6253,2010-02-25 00:00:00,HF000000EN
0.6124,2010-03-25 00:00:00,HF000000EN
0.6274,2010-04-23 00:00:00,HF000000EN
0.5646,2010-05-25 00:00:00,HF000000EN
0.551,2010-06-25 00:00:00,HF000000EN
0.5319,2010-07-23 00:00:00,HF000000EN
0.5542,2010-08-25 00:00:00,HF000000EN
0.5672,2010-09-25 00:00:00,HF000000EN
0.6454,2010-10-25 00:00:00,HF000000EN
0.5912,2010-11-25 00:00:00,HF000000EN
0.5761,2010-12-24 00:00:00,HF000000EN
0.5537,2011-01-25 00:00:00,HF000000EN
0.5474,2011-02-25 00:00:00,HF000000EN
0.5516,2011-03-25 00:00:00,HF000000EN
0.5105,2011-04-25 00:00:00,HF000000EN
0.4609,2011-05-25 00:00:00,HF000000EN
0.4767,2011-06-24 00:00:00,HF000000EN
0.4696,2011-07-25 00:00:00,HF000000EN
0.4467,2011-08-25 00:00:00,HF000000EN
0.4172,2011-09-23 00:00:00,HF000000EN
0.4198,2011-10-25 00:00:00,HF000000EN
0.4123,2011-11-25 00:00:00,HF000000EN
0.3885,2011-12-23 00:00:00,HF000000EN
0.4126,2012-01-21 00:00:00,HF000000EN
0.4085,2012-02-24 00:00:00,HF000000EN
0.3984,2012-03-23 00:00:00,HF000000EN
0.3935,2012-04-25 00:00:00,HF000000EN
0.3959,2012-05-25 00:00:00,HF000000EN
0.3803,2012-06-25 00:00:00,HF000000EN
0.3606,2012-07-25 00:00:00,HF000000EN
0.3598,2012-08-24 00:00:00,HF000000EN
0.357,2012-09-25 00:00:00,HF000000EN
0.3567,2012-10-25 00:00:00,HF000000EN
0.3564,2012-11-23 00:00:00,HF000000EN
0.3785,2012-12-25 00:00:00,HF000000EN
0.3798,2013-01-25 00:00:00,HF000000EN
0.3774,2013-02-25 00:00:00,HF000000EN
0.3711,2013-03-25 00:00:00,HF000000EN
0.3657,2013-04-25 00:00:00,HF000000EN
0.3811,2013-05-24 00:00:00,HF000000EN
0.3445,2013-06-25 00:00:00,HF000000EN
0.3458,2013-07-25 00:00:00,HF000000EN
0.3417,2013-08-23 00:00:00,HF000000EN
0.3478,2013-09-25 00:00:00,HF000000EN
0.3338,2013-10-25 00:00:00,HF000000EN
0.3356,2013-11-25 00:00:00,HF000000EN
0.3268,2013-12-25 00:00:00,HF000000EN
0.3281,2014-01-24 00:00:00,HF000000EN
0.3122,2014-02-25 00:00:00,HF000000EN
0.3029,2014-03-25 00:00:00,HF000000EN
0.2733,2014-04-25 00:00:00,HF000000EN
0.2778,2014-05-23 00:00:00,HF000000EN
0.2901,2014-06-25 00:00:00,HF000000EN
0.287,2014-07-25 00:00:00,HF000000EN
0.3181,2014-08-25 00:00:00,HF000000EN
0.3465,2014-09-25 00:00:00,HF000000EN
0.3667,2014-10-24 00:00:00,HF000000EN
0.3959,2014-11-25 00:00:00,HF000000EN
0.533984,2014-12-25 00:00:00,HF000000EN
