value,date,id
1.0,2010-09-28 00:00:00,HF000000FH
1.1035,2010-10-29 00:00:00,HF000000FH
1.1951,2010-11-26 00:00:00,HF000000FH
1.1549,2010-12-31 00:00:00,HF000000FH
1.1451,2011-01-07 00:00:00,HF000000FH
1.131,2011-01-14 00:00:00,HF000000FH
1.1353,2011-01-21 00:00:00,HF000000FH
1.1278,2011-01-28 00:00:00,HF000000FH
1.137,2011-02-11 00:00:00,HF000000FH
1.1586,2011-02-18 00:00:00,HF000000FH
1.1419,2011-02-25 00:00:00,HF000000FH
1.1656,2011-03-04 00:00:00,HF000000FH
1.1837,2011-03-11 00:00:00,HF000000FH
1.1919,2011-03-18 00:00:00,HF000000FH
1.1805,2011-03-25 00:00:00,HF000000FH
1.1124,2011-04-01 00:00:00,HF000000FH
1.127,2011-04-08 00:00:00,HF000000FH
1.0934,2011-04-15 00:00:00,HF000000FH
1.0871,2011-04-20 00:00:00,HF000000FH
1.0814,2011-04-22 00:00:00,HF000000FH
1.0529,2011-04-29 00:00:00,HF000000FH
1.0561,2011-05-06 00:00:00,HF000000FH
1.0811,2011-05-13 00:00:00,HF000000FH
1.0641,2011-05-20 00:00:00,HF000000FH
1.0344,2011-05-27 00:00:00,HF000000FH
1.0186,2011-06-03 00:00:00,HF000000FH
1.025,2011-06-10 00:00:00,HF000000FH
1.0118,2011-06-17 00:00:00,HF000000FH
1.0151,2011-06-20 00:00:00,HF000000FH
1.0261,2011-06-24 00:00:00,HF000000FH
1.0202,2011-07-01 00:00:00,HF000000FH
1.042,2011-07-08 00:00:00,HF000000FH
1.0377,2011-07-15 00:00:00,HF000000FH
1.0078,2011-07-20 00:00:00,HF000000FH
1.0035,2011-07-22 00:00:00,HF000000FH
0.9913,2011-07-29 00:00:00,HF000000FH
0.9629,2011-08-05 00:00:00,HF000000FH
0.9568,2011-08-12 00:00:00,HF000000FH
0.9447,2011-08-19 00:00:00,HF000000FH
0.9663,2011-08-26 00:00:00,HF000000FH
0.9415,2011-09-02 00:00:00,HF000000FH
0.9305,2011-09-09 00:00:00,HF000000FH
0.9287,2011-09-16 00:00:00,HF000000FH
0.927,2011-09-20 00:00:00,HF000000FH
0.9032,2011-09-23 00:00:00,HF000000FH
0.8968,2011-09-30 00:00:00,HF000000FH
0.8919,2011-10-14 00:00:00,HF000000FH
0.8826,2011-10-21 00:00:00,HF000000FH
0.8825,2011-10-28 00:00:00,HF000000FH
0.8822,2011-11-04 00:00:00,HF000000FH
0.882,2011-11-11 00:00:00,HF000000FH
0.8817,2011-11-18 00:00:00,HF000000FH
0.8814,2011-11-25 00:00:00,HF000000FH
0.8788,2011-12-02 00:00:00,HF000000FH
0.8761,2011-12-09 00:00:00,HF000000FH
0.8596,2011-12-16 00:00:00,HF000000FH
0.8592,2011-12-20 00:00:00,HF000000FH
0.8548,2011-12-23 00:00:00,HF000000FH
0.8546,2011-12-30 00:00:00,HF000000FH
0.8543,2012-01-06 00:00:00,HF000000FH
0.8482,2012-01-13 00:00:00,HF000000FH
0.8479,2012-01-20 00:00:00,HF000000FH
0.8474,2012-02-03 00:00:00,HF000000FH
0.8462,2012-02-10 00:00:00,HF000000FH
0.8509,2012-02-17 00:00:00,HF000000FH
0.8508,2012-02-20 00:00:00,HF000000FH
0.8528,2012-02-24 00:00:00,HF000000FH
0.8445,2012-03-02 00:00:00,HF000000FH
0.8425,2012-03-09 00:00:00,HF000000FH
0.8406,2012-03-16 00:00:00,HF000000FH
0.8378,2012-03-20 00:00:00,HF000000FH
0.8419,2012-03-23 00:00:00,HF000000FH
0.8476,2012-03-30 00:00:00,HF000000FH
0.8486,2012-04-06 00:00:00,HF000000FH
0.8512,2012-04-13 00:00:00,HF000000FH
0.8623,2012-04-20 00:00:00,HF000000FH
0.8326,2012-04-27 00:00:00,HF000000FH
0.8599,2012-05-04 00:00:00,HF000000FH
0.8367,2012-05-11 00:00:00,HF000000FH
0.8338,2012-05-18 00:00:00,HF000000FH
0.8342,2012-05-21 00:00:00,HF000000FH
0.8047,2012-05-25 00:00:00,HF000000FH
0.8415,2012-06-01 00:00:00,HF000000FH
0.8202,2012-06-08 00:00:00,HF000000FH
0.8411,2012-06-15 00:00:00,HF000000FH
0.8571,2012-06-20 00:00:00,HF000000FH
0.8409,2012-06-21 00:00:00,HF000000FH
0.8501,2012-06-29 00:00:00,HF000000FH
0.8843,2012-07-06 00:00:00,HF000000FH
0.8671,2012-07-13 00:00:00,HF000000FH
0.8252,2012-07-20 00:00:00,HF000000FH
0.8283,2012-07-27 00:00:00,HF000000FH
0.8381,2012-08-03 00:00:00,HF000000FH
0.8363,2012-08-10 00:00:00,HF000000FH
0.8274,2012-08-17 00:00:00,HF000000FH
