value,date,id
1.0,2006-10-31 00:00:00,HF000000JY
1.0194,2006-11-10 00:00:00,HF000000JY
1.106,2006-12-10 00:00:00,HF000000JY
1.3694,2007-01-10 00:00:00,HF000000JY
1.4269,2007-02-10 00:00:00,HF000000JY
1.4768,2007-03-10 00:00:00,HF000000JY
1.5717,2007-04-10 00:00:00,HF000000JY
1.8045,2007-05-10 00:00:00,HF000000JY
1.9577,2007-06-08 00:00:00,HF000000JY
2.0822,2007-07-10 00:00:00,HF000000JY
2.4884,2007-08-10 00:00:00,HF000000JY
2.5965,2007-09-10 00:00:00,HF000000JY
2.7125,2007-10-10 00:00:00,HF000000JY
2.7163,2007-11-12 00:00:00,HF000000JY
2.6762,2007-12-10 00:00:00,HF000000JY
2.8315,2008-01-10 00:00:00,HF000000JY
2.6082,2008-02-05 00:00:00,HF000000JY
2.6082,2008-02-10 00:00:00,HF000000JY
2.3711,2008-03-10 00:00:00,HF000000JY
2.3398,2008-04-10 00:00:00,HF000000JY
2.3303,2008-05-09 00:00:00,HF000000JY
2.3112,2008-06-10 00:00:00,HF000000JY
2.3081,2008-07-10 00:00:00,HF000000JY
2.2295,2008-08-08 00:00:00,HF000000JY
2.072,2008-09-10 00:00:00,HF000000JY
1.9614,2008-10-10 00:00:00,HF000000JY
1.8846,2008-11-10 00:00:00,HF000000JY
2.0958,2008-12-10 00:00:00,HF000000JY
2.0325,2009-01-09 00:00:00,HF000000JY
2.3526,2009-02-10 00:00:00,HF000000JY
2.3636,2009-03-10 00:00:00,HF000000JY
2.5523,2009-04-10 00:00:00,HF000000JY
2.6029,2009-05-10 00:00:00,HF000000JY
2.7677,2009-06-10 00:00:00,HF000000JY
3.0582,2009-07-10 00:00:00,HF000000JY
3.0996,2009-08-10 00:00:00,HF000000JY
2.8911,2009-09-10 00:00:00,HF000000JY
2.9757,2009-10-10 00:00:00,HF000000JY
3.2707,2009-11-10 00:00:00,HF000000JY
3.2364,2009-12-10 00:00:00,HF000000JY
3.228,2010-01-08 00:00:00,HF000000JY
3.2508,2010-02-10 00:00:00,HF000000JY
3.2134,2010-03-10 00:00:00,HF000000JY
3.3469,2010-04-09 00:00:00,HF000000JY
3.2622,2010-05-10 00:00:00,HF000000JY
3.3513,2010-06-10 00:00:00,HF000000JY
3.2333,2010-07-09 00:00:00,HF000000JY
3.4109,2010-08-10 00:00:00,HF000000JY
3.6353,2010-09-10 00:00:00,HF000000JY
3.7581,2010-10-09 00:00:00,HF000000JY
4.0196,2010-11-10 00:00:00,HF000000JY
3.9509,2010-12-10 00:00:00,HF000000JY
3.9347,2011-01-10 00:00:00,HF000000JY
3.8159,2011-02-10 00:00:00,HF000000JY
3.8377,2011-03-10 00:00:00,HF000000JY
3.8225,2011-04-08 00:00:00,HF000000JY
3.8274,2011-05-10 00:00:00,HF000000JY
3.6215,2011-06-10 00:00:00,HF000000JY
3.7307,2011-07-08 00:00:00,HF000000JY
3.6207,2011-08-10 00:00:00,HF000000JY
3.56,2011-09-09 00:00:00,HF000000JY
3.3382,2011-10-10 00:00:00,HF000000JY
3.5287,2011-11-10 00:00:00,HF000000JY
3.3688,2011-12-09 00:00:00,HF000000JY
3.2321,2012-01-10 00:00:00,HF000000JY
3.26,2012-02-10 00:00:00,HF000000JY
3.4801,2012-03-09 00:00:00,HF000000JY
3.3578,2012-04-10 00:00:00,HF000000JY
3.434,2012-05-10 00:00:00,HF000000JY
3.3556,2012-06-08 00:00:00,HF000000JY
3.5139,2012-07-10 00:00:00,HF000000JY
3.4767,2012-08-10 00:00:00,HF000000JY
3.4052,2012-09-10 00:00:00,HF000000JY
3.4434,2012-10-10 00:00:00,HF000000JY
3.3065,2012-11-09 00:00:00,HF000000JY
3.3354,2012-12-10 00:00:00,HF000000JY
3.7676,2013-01-10 00:00:00,HF000000JY
4.1122,2013-02-08 00:00:00,HF000000JY
4.0778,2013-02-28 00:00:00,HF000000JY
3.9112,2013-03-29 00:00:00,HF000000JY
3.754,2013-04-28 00:00:00,HF000000JY
4.014,2013-05-31 00:00:00,HF000000JY
3.6491,2013-06-28 00:00:00,HF000000JY
3.749,2013-07-31 00:00:00,HF000000JY
3.9842,2013-08-30 00:00:00,HF000000JY
4.2244,2013-09-30 00:00:00,HF000000JY
4.1129,2013-10-31 00:00:00,HF000000JY
4.279,2013-11-29 00:00:00,HF000000JY
4.2279,2013-12-31 00:00:00,HF000000JY
4.0426,2014-01-30 00:00:00,HF000000JY
3.969,2014-02-28 00:00:00,HF000000JY
3.7716,2014-03-31 00:00:00,HF000000JY
3.8585,2014-04-30 00:00:00,HF000000JY
3.9073,2014-05-30 00:00:00,HF000000JY
3.996,2014-06-30 00:00:00,HF000000JY
4.3397,2014-07-31 00:00:00,HF000000JY
4.3777,2014-08-29 00:00:00,HF000000JY
4.565,2014-09-30 00:00:00,HF000000JY
4.6027,2014-10-31 00:00:00,HF000000JY
4.918425,2014-11-28 00:00:00,HF000000JY
6.1284,2014-12-31 00:00:00,HF000000JY
6.1921,2015-01-30 00:00:00,HF000000JY
6.3276,2015-02-28 00:00:00,HF000000JY
6.8167,2015-03-31 00:00:00,HF000000JY
7.5458,2015-04-30 00:00:00,HF000000JY
7.7739,2015-05-29 00:00:00,HF000000JY
7.5593,2015-06-30 00:00:00,HF000000JY
7.2244,2015-07-31 00:00:00,HF000000JY
