value,date,id
1.0,2007-10-09 00:00:00,HF000000KX
0.9856,2007-10-10 00:00:00,HF000000KX
0.928,2007-11-15 00:00:00,HF000000KX
1.123,2007-12-31 00:00:00,HF000000KX
1.1733,2008-01-31 00:00:00,HF000000KX
1.1177,2008-02-29 00:00:00,HF000000KX
1.0146,2008-03-28 00:00:00,HF000000KX
1.0499,2008-04-30 00:00:00,HF000000KX
1.0136,2008-05-30 00:00:00,HF000000KX
0.8645,2008-06-27 00:00:00,HF000000KX
0.9082,2008-07-31 00:00:00,HF000000KX
0.8267,2008-08-29 00:00:00,HF000000KX
0.8059,2008-09-26 00:00:00,HF000000KX
0.73,2008-10-31 00:00:00,HF000000KX
0.77,2008-11-28 00:00:00,HF000000KX
0.7795,2008-12-31 00:00:00,HF000000KX
0.8092,2009-01-23 00:00:00,HF000000KX
0.8965,2009-02-27 00:00:00,HF000000KX
0.9667,2009-03-27 00:00:00,HF000000KX
0.9759,2009-04-30 00:00:00,HF000000KX
1.031,2009-05-27 00:00:00,HF000000KX
1.1296,2009-06-26 00:00:00,HF000000KX
1.3564,2009-07-31 00:00:00,HF000000KX
1.2369,2009-08-28 00:00:00,HF000000KX
1.228,2009-09-25 00:00:00,HF000000KX
1.2984,2009-10-30 00:00:00,HF000000KX
1.4513,2009-11-30 00:00:00,HF000000KX
1.4519,2009-12-31 00:00:00,HF000000KX
1.4486,2010-01-29 00:00:00,HF000000KX
1.499,2010-02-26 00:00:00,HF000000KX
1.5515,2010-03-31 00:00:00,HF000000KX
1.5575,2010-04-30 00:00:00,HF000000KX
1.4655,2010-05-31 00:00:00,HF000000KX
1.3928,2010-06-30 00:00:00,HF000000KX
1.4698,2010-07-30 00:00:00,HF000000KX
1.6001,2010-08-31 00:00:00,HF000000KX
1.6365,2010-09-30 00:00:00,HF000000KX
1.7596,2010-10-29 00:00:00,HF000000KX
1.8541,2010-11-30 00:00:00,HF000000KX
1.8282,2010-12-31 00:00:00,HF000000KX
1.7165,2011-01-31 00:00:00,HF000000KX
1.7964,2011-02-28 00:00:00,HF000000KX
1.7055,2011-03-31 00:00:00,HF000000KX
1.72363,2011-04-01 00:00:00,HF000000KX
1.6907,2011-04-30 00:00:00,HF000000KX
1.6754,2011-05-31 00:00:00,HF000000KX
1.7082,2011-06-30 00:00:00,HF000000KX
1.7618,2011-07-29 00:00:00,HF000000KX
1.75998,2011-08-05 00:00:00,HF000000KX
1.81515,2011-08-12 00:00:00,HF000000KX
1.79707,2011-08-19 00:00:00,HF000000KX
1.8114,2011-08-26 00:00:00,HF000000KX
1.8038,2011-08-31 00:00:00,HF000000KX
1.74235,2011-09-16 00:00:00,HF000000KX
1.6209,2011-09-30 00:00:00,HF000000KX
1.64054,2011-10-14 00:00:00,HF000000KX
1.60479,2011-10-21 00:00:00,HF000000KX
1.68302,2011-10-28 00:00:00,HF000000KX
1.6781,2011-10-31 00:00:00,HF000000KX
1.70576,2011-11-04 00:00:00,HF000000KX
1.70408,2011-11-11 00:00:00,HF000000KX
1.66175,2011-11-18 00:00:00,HF000000KX
1.67935,2011-11-25 00:00:00,HF000000KX
1.6697,2011-11-30 00:00:00,HF000000KX
1.64965,2011-12-02 00:00:00,HF000000KX
1.59802,2011-12-09 00:00:00,HF000000KX
1.52325,2011-12-16 00:00:00,HF000000KX
1.51645,2011-12-23 00:00:00,HF000000KX
1.4897,2011-12-30 00:00:00,HF000000KX
1.40171,2012-01-13 00:00:00,HF000000KX
1.36263,2012-01-20 00:00:00,HF000000KX
1.3661,2012-01-31 00:00:00,HF000000KX
1.39986,2012-02-03 00:00:00,HF000000KX
1.41695,2012-02-10 00:00:00,HF000000KX
1.45242,2012-02-17 00:00:00,HF000000KX
1.47019,2012-02-24 00:00:00,HF000000KX
1.4441,2012-02-29 00:00:00,HF000000KX
1.47582,2012-03-02 00:00:00,HF000000KX
1.50648,2012-03-09 00:00:00,HF000000KX
1.50901,2012-03-16 00:00:00,HF000000KX
1.4674,2012-03-23 00:00:00,HF000000KX
1.3938,2012-03-30 00:00:00,HF000000KX
1.4453,2012-04-06 00:00:00,HF000000KX
1.4808,2012-04-13 00:00:00,HF000000KX
1.481,2012-04-20 00:00:00,HF000000KX
1.4484,2012-04-27 00:00:00,HF000000KX
1.4945,2012-05-04 00:00:00,HF000000KX
1.4729,2012-05-11 00:00:00,HF000000KX
1.4263,2012-05-18 00:00:00,HF000000KX
1.4259,2012-05-25 00:00:00,HF000000KX
1.4613,2012-05-31 00:00:00,HF000000KX
1.4689,2012-06-01 00:00:00,HF000000KX
1.4436,2012-06-08 00:00:00,HF000000KX
1.4976,2012-06-15 00:00:00,HF000000KX
1.4811,2012-06-22 00:00:00,HF000000KX
1.4673,2012-06-29 00:00:00,HF000000KX
1.5279,2012-07-06 00:00:00,HF000000KX
1.5494,2012-07-13 00:00:00,HF000000KX
1.4931,2012-07-20 00:00:00,HF000000KX
1.4718,2012-07-27 00:00:00,HF000000KX
1.4442,2012-07-31 00:00:00,HF000000KX
1.4979,2012-08-03 00:00:00,HF000000KX
1.5447,2012-08-10 00:00:00,HF000000KX
1.4988,2012-08-17 00:00:00,HF000000KX
1.501,2012-08-24 00:00:00,HF000000KX
1.4517,2012-08-31 00:00:00,HF000000KX
1.5387,2012-09-07 00:00:00,HF000000KX
1.5354,2012-09-14 00:00:00,HF000000KX
1.4995,2012-09-21 00:00:00,HF000000KX
1.5323,2012-09-28 00:00:00,HF000000KX
1.5647,2012-10-12 00:00:00,HF000000KX
1.6234,2012-10-19 00:00:00,HF000000KX
1.5763,2012-10-26 00:00:00,HF000000KX
1.5931,2012-10-31 00:00:00,HF000000KX
1.6054,2012-11-02 00:00:00,HF000000KX
1.5373,2012-11-09 00:00:00,HF000000KX
1.5155,2012-11-16 00:00:00,HF000000KX
1.5032,2012-11-23 00:00:00,HF000000KX
1.4408,2012-11-30 00:00:00,HF000000KX
1.4708,2012-12-07 00:00:00,HF000000KX
1.4949,2012-12-14 00:00:00,HF000000KX
1.5019,2012-12-21 00:00:00,HF000000KX
1.588,2012-12-28 00:00:00,HF000000KX
1.5998,2012-12-31 00:00:00,HF000000KX
1.5808,2013-01-04 00:00:00,HF000000KX
1.6091,2013-01-11 00:00:00,HF000000KX
1.6975,2013-01-18 00:00:00,HF000000KX
1.6816,2013-01-25 00:00:00,HF000000KX
1.7089,2013-01-31 00:00:00,HF000000KX
1.7359,2013-02-01 00:00:00,HF000000KX
1.8015,2013-02-08 00:00:00,HF000000KX
1.7475,2013-02-22 00:00:00,HF000000KX
1.7797,2013-02-28 00:00:00,HF000000KX
1.8005,2013-03-01 00:00:00,HF000000KX
1.789,2013-03-08 00:00:00,HF000000KX
1.7792,2013-03-15 00:00:00,HF000000KX
1.8006,2013-03-22 00:00:00,HF000000KX
1.7512,2013-03-29 00:00:00,HF000000KX
1.7627,2013-04-12 00:00:00,HF000000KX
1.8169,2013-04-19 00:00:00,HF000000KX
1.7944,2013-04-26 00:00:00,HF000000KX
1.8502,2013-05-03 00:00:00,HF000000KX
1.871,2013-05-10 00:00:00,HF000000KX
1.9391,2013-05-17 00:00:00,HF000000KX
1.9824,2013-05-24 00:00:00,HF000000KX
1.9285,2013-05-31 00:00:00,HF000000KX
1.8402,2013-06-07 00:00:00,HF000000KX
1.8644,2013-06-14 00:00:00,HF000000KX
1.7849,2013-06-21 00:00:00,HF000000KX
1.7588,2013-06-28 00:00:00,HF000000KX
1.8453,2013-07-05 00:00:00,HF000000KX
1.8306,2013-07-12 00:00:00,HF000000KX
1.7773,2013-07-19 00:00:00,HF000000KX
1.8066,2013-07-26 00:00:00,HF000000KX
1.7524,2013-07-31 00:00:00,HF000000KX
1.8531,2013-08-02 00:00:00,HF000000KX
1.9037,2013-08-09 00:00:00,HF000000KX
1.8455,2013-08-16 00:00:00,HF000000KX
1.9029,2013-08-23 00:00:00,HF000000KX
1.8818,2013-08-30 00:00:00,HF000000KX
1.9573,2013-09-06 00:00:00,HF000000KX
1.9334,2013-09-13 00:00:00,HF000000KX
1.9718,2013-09-18 00:00:00,HF000000KX
2.02,2013-09-27 00:00:00,HF000000KX
2.0188,2013-09-30 00:00:00,HF000000KX
2.0478,2013-10-11 00:00:00,HF000000KX
1.9838,2013-10-18 00:00:00,HF000000KX
1.8802,2013-10-25 00:00:00,HF000000KX
1.8564,2013-10-31 00:00:00,HF000000KX
1.8725,2013-11-01 00:00:00,HF000000KX
1.8029,2013-11-08 00:00:00,HF000000KX
