value,date,id
1.0,2008-04-18 00:00:00,HF000000L7
1.0465,2008-04-30 00:00:00,HF000000L7
0.9677,2008-05-31 00:00:00,HF000000L7
0.854,2008-06-30 00:00:00,HF000000L7
0.8598,2008-07-31 00:00:00,HF000000L7
0.7965,2008-08-31 00:00:00,HF000000L7
0.7613,2008-09-30 00:00:00,HF000000L7
0.7308,2008-10-17 00:00:00,HF000000L7
0.7454,2008-11-17 00:00:00,HF000000L7
0.7271,2008-12-31 00:00:00,HF000000L7
0.7994,2009-01-24 00:00:00,HF000000L7
0.887,2009-02-28 00:00:00,HF000000L7
0.9577,2009-03-31 00:00:00,HF000000L7
1.0304,2009-04-30 00:00:00,HF000000L7
1.0412,2009-05-31 00:00:00,HF000000L7
1.1695,2009-06-30 00:00:00,HF000000L7
1.305,2009-07-31 00:00:00,HF000000L7
1.0793,2009-08-31 00:00:00,HF000000L7
1.1208,2009-09-30 00:00:00,HF000000L7
1.214,2009-10-30 00:00:00,HF000000L7
1.3495,2009-11-30 00:00:00,HF000000L7
1.3652,2009-12-31 00:00:00,HF000000L7
1.3371,2010-01-19 00:00:00,HF000000L7
1.3639,2010-02-26 00:00:00,HF000000L7
1.381,2010-03-31 00:00:00,HF000000L7
1.3464,2010-04-17 00:00:00,HF000000L7
1.22307,2010-04-30 00:00:00,HF000000L7
1.152519,2010-05-31 00:00:00,HF000000L7
1.081833,2010-06-30 00:00:00,HF000000L7
1.189814,2010-07-30 00:00:00,HF000000L7
1.293218,2010-08-31 00:00:00,HF000000L7
1.325936,2010-09-30 00:00:00,HF000000L7
1.386524,2010-10-29 00:00:00,HF000000L7
1.403219,2010-11-30 00:00:00,HF000000L7
1.366462,2010-12-31 00:00:00,HF000000L7
1.299681,2011-01-31 00:00:00,HF000000L7
1.365385,2011-02-28 00:00:00,HF000000L7
1.346939,2011-03-31 00:00:00,HF000000L7
1.370366,2011-04-17 00:00:00,HF000000L7
1.360225,2011-04-30 00:00:00,HF000000L7
1.288007,2011-05-31 00:00:00,HF000000L7
1.315688,2011-06-30 00:00:00,HF000000L7
1.356662,2011-07-08 00:00:00,HF000000L7
1.370366,2011-07-15 00:00:00,HF000000L7
1.356662,2011-07-22 00:00:00,HF000000L7
1.351181,2011-07-29 00:00:00,HF000000L7
1.351044,2011-07-31 00:00:00,HF000000L7
1.331585,2011-08-05 00:00:00,HF000000L7
1.338163,2011-08-12 00:00:00,HF000000L7
1.370093,2011-08-26 00:00:00,HF000000L7
1.359404,2011-08-31 00:00:00,HF000000L7
1.346523,2011-09-02 00:00:00,HF000000L7
