value,date,id
1.0,2010-10-26 00:00:00,HF000000ON
1.0,2010-10-29 00:00:00,HF000000ON
1.0276,2010-11-05 00:00:00,HF000000ON
0.9982,2010-11-12 00:00:00,HF000000ON
1.0178,2010-11-15 00:00:00,HF000000ON
0.9902,2010-11-19 00:00:00,HF000000ON
1.0259,2010-11-26 00:00:00,HF000000ON
1.0142,2010-11-30 00:00:00,HF000000ON
1.0037,2010-12-03 00:00:00,HF000000ON
1.0042,2010-12-10 00:00:00,HF000000ON
1.0249,2010-12-15 00:00:00,HF000000ON
1.0242,2010-12-17 00:00:00,HF000000ON
0.9862,2010-12-24 00:00:00,HF000000ON
0.9711,2010-12-31 00:00:00,HF000000ON
0.9647,2011-01-07 00:00:00,HF000000ON
0.9358,2011-01-14 00:00:00,HF000000ON
0.9085,2011-01-21 00:00:00,HF000000ON
0.9146,2011-01-31 00:00:00,HF000000ON
0.9243,2011-02-11 00:00:00,HF000000ON
0.9363,2011-02-15 00:00:00,HF000000ON
0.9317,2011-02-18 00:00:00,HF000000ON
0.9212,2011-02-25 00:00:00,HF000000ON
0.9333,2011-02-28 00:00:00,HF000000ON
0.9418,2011-03-04 00:00:00,HF000000ON
0.9441,2011-03-11 00:00:00,HF000000ON
0.9371,2011-03-15 00:00:00,HF000000ON
0.9306,2011-03-18 00:00:00,HF000000ON
0.9485,2011-03-25 00:00:00,HF000000ON
0.9111,2011-03-31 00:00:00,HF000000ON
0.9181,2011-04-01 00:00:00,HF000000ON
0.9294,2011-04-08 00:00:00,HF000000ON
0.9316,2011-04-15 00:00:00,HF000000ON
0.9468,2011-04-22 00:00:00,HF000000ON
0.9184,2011-04-29 00:00:00,HF000000ON
0.9263,2011-05-06 00:00:00,HF000000ON
0.9261,2011-05-13 00:00:00,HF000000ON
0.9231,2011-05-20 00:00:00,HF000000ON
0.8816,2011-05-27 00:00:00,HF000000ON
0.8879,2011-05-31 00:00:00,HF000000ON
0.895,2011-06-03 00:00:00,HF000000ON
0.8925,2011-06-10 00:00:00,HF000000ON
0.8882,2011-06-15 00:00:00,HF000000ON
0.8714,2011-06-17 00:00:00,HF000000ON
0.8854,2011-06-24 00:00:00,HF000000ON
0.8956,2011-06-30 00:00:00,HF000000ON
0.9104,2011-07-08 00:00:00,HF000000ON
0.9299,2011-07-15 00:00:00,HF000000ON
0.9212,2011-07-22 00:00:00,HF000000ON
0.9081,2011-07-29 00:00:00,HF000000ON
0.9098,2011-08-05 00:00:00,HF000000ON
0.9171,2011-08-12 00:00:00,HF000000ON
0.9239,2011-08-15 00:00:00,HF000000ON
0.8976,2011-08-19 00:00:00,HF000000ON
0.9029,2011-08-26 00:00:00,HF000000ON
0.8939,2011-08-31 00:00:00,HF000000ON
0.8817,2011-09-02 00:00:00,HF000000ON
0.8675,2011-09-09 00:00:00,HF000000ON
0.8612,2011-09-15 00:00:00,HF000000ON
0.837,2011-09-23 00:00:00,HF000000ON
0.8122,2011-09-30 00:00:00,HF000000ON
0.8237,2011-10-14 00:00:00,HF000000ON
0.793,2011-10-21 00:00:00,HF000000ON
0.8315,2011-10-28 00:00:00,HF000000ON
0.8282,2011-10-31 00:00:00,HF000000ON
0.8444,2011-11-04 00:00:00,HF000000ON
0.8352,2011-11-11 00:00:00,HF000000ON
0.8458,2011-11-15 00:00:00,HF000000ON
0.8226,2011-11-18 00:00:00,HF000000ON
0.8418,2011-11-25 00:00:00,HF000000ON
0.8378,2011-11-30 00:00:00,HF000000ON
0.8374,2011-12-02 00:00:00,HF000000ON
0.8027,2011-12-09 00:00:00,HF000000ON
0.7743,2011-12-15 00:00:00,HF000000ON
0.7877,2011-12-16 00:00:00,HF000000ON
0.7763,2011-12-23 00:00:00,HF000000ON
0.7551,2011-12-30 00:00:00,HF000000ON
0.7162,2012-01-06 00:00:00,HF000000ON
0.7265,2012-01-13 00:00:00,HF000000ON
0.722,2012-01-20 00:00:00,HF000000ON
0.7169,2012-01-31 00:00:00,HF000000ON
0.7243,2012-02-03 00:00:00,HF000000ON
0.7313,2012-02-10 00:00:00,HF000000ON
0.7404,2012-02-15 00:00:00,HF000000ON
0.738,2012-02-17 00:00:00,HF000000ON
0.7544,2012-02-24 00:00:00,HF000000ON
0.7528,2012-02-29 00:00:00,HF000000ON
0.756,2012-03-02 00:00:00,HF000000ON
0.7575,2012-03-09 00:00:00,HF000000ON
0.769,2012-03-15 00:00:00,HF000000ON
0.7836,2012-03-16 00:00:00,HF000000ON
0.7497,2012-03-23 00:00:00,HF000000ON
0.7196,2012-03-30 00:00:00,HF000000ON
0.7463,2012-04-06 00:00:00,HF000000ON
0.7532,2012-04-13 00:00:00,HF000000ON
0.7488,2012-04-20 00:00:00,HF000000ON
0.7329,2012-04-27 00:00:00,HF000000ON
0.7604,2012-05-04 00:00:00,HF000000ON
0.7541,2012-05-11 00:00:00,HF000000ON
0.7568,2012-05-15 00:00:00,HF000000ON
0.74,2012-05-18 00:00:00,HF000000ON
0.7214,2012-05-25 00:00:00,HF000000ON
0.7425,2012-05-31 00:00:00,HF000000ON
0.7496,2012-06-01 00:00:00,HF000000ON
0.7344,2012-06-08 00:00:00,HF000000ON
0.7686,2012-06-15 00:00:00,HF000000ON
0.7555,2012-06-21 00:00:00,HF000000ON
0.7636,2012-06-29 00:00:00,HF000000ON
0.7848,2012-07-06 00:00:00,HF000000ON
0.7909,2012-07-13 00:00:00,HF000000ON
0.765,2012-07-20 00:00:00,HF000000ON
0.7529,2012-07-27 00:00:00,HF000000ON
0.7417,2012-07-31 00:00:00,HF000000ON
0.7797,2012-08-03 00:00:00,HF000000ON
0.8015,2012-08-10 00:00:00,HF000000ON
0.7914,2012-08-15 00:00:00,HF000000ON
0.7673,2012-08-17 00:00:00,HF000000ON
0.7738,2012-08-24 00:00:00,HF000000ON
0.7439,2012-08-31 00:00:00,HF000000ON
0.7866,2012-09-07 00:00:00,HF000000ON
0.7841,2012-09-14 00:00:00,HF000000ON
0.7476,2012-09-21 00:00:00,HF000000ON
0.7678,2012-09-28 00:00:00,HF000000ON
0.7783,2012-10-12 00:00:00,HF000000ON
0.7882,2012-10-15 00:00:00,HF000000ON
0.797,2012-10-19 00:00:00,HF000000ON
0.7703,2012-10-26 00:00:00,HF000000ON
0.7881,2012-10-31 00:00:00,HF000000ON
0.7986,2012-11-02 00:00:00,HF000000ON
0.767,2012-11-09 00:00:00,HF000000ON
0.7517,2012-11-15 00:00:00,HF000000ON
0.7392,2012-11-16 00:00:00,HF000000ON
0.7185,2012-11-23 00:00:00,HF000000ON
0.6921,2012-11-30 00:00:00,HF000000ON
0.7172,2012-12-07 00:00:00,HF000000ON
0.7275,2012-12-14 00:00:00,HF000000ON
0.6965,2012-12-21 00:00:00,HF000000ON
0.73,2012-12-28 00:00:00,HF000000ON
0.7388,2012-12-31 00:00:00,HF000000ON
0.7254,2013-01-04 00:00:00,HF000000ON
0.7466,2013-01-11 00:00:00,HF000000ON
0.777,2013-01-15 00:00:00,HF000000ON
0.7862,2013-01-18 00:00:00,HF000000ON
0.7749,2013-01-25 00:00:00,HF000000ON
0.7879,2013-01-31 00:00:00,HF000000ON
0.7901,2013-02-01 00:00:00,HF000000ON
0.8352,2013-02-08 00:00:00,HF000000ON
0.8421,2013-02-22 00:00:00,HF000000ON
0.8449,2013-02-28 00:00:00,HF000000ON
0.8627,2013-03-01 00:00:00,HF000000ON
0.8445,2013-03-08 00:00:00,HF000000ON
0.8468,2013-03-15 00:00:00,HF000000ON
0.8623,2013-03-22 00:00:00,HF000000ON
0.8814,2013-03-29 00:00:00,HF000000ON
0.8389,2013-04-03 00:00:00,HF000000ON
0.8332,2013-04-12 00:00:00,HF000000ON
0.8236,2013-04-15 00:00:00,HF000000ON
0.866,2013-04-19 00:00:00,HF000000ON
0.8468,2013-04-26 00:00:00,HF000000ON
0.876,2013-05-03 00:00:00,HF000000ON
0.8896,2013-05-10 00:00:00,HF000000ON
0.8976,2013-05-15 00:00:00,HF000000ON
0.8928,2013-05-17 00:00:00,HF000000ON
0.9122,2013-05-24 00:00:00,HF000000ON
0.9679,2013-05-31 00:00:00,HF000000ON
0.9301,2013-06-07 00:00:00,HF000000ON
0.9516,2013-06-14 00:00:00,HF000000ON
0.9183,2013-06-21 00:00:00,HF000000ON
0.9009,2013-06-28 00:00:00,HF000000ON
0.9762,2013-07-05 00:00:00,HF000000ON
1.0326,2013-07-12 00:00:00,HF000000ON
1.0553,2013-07-15 00:00:00,HF000000ON
1.0345,2013-07-19 00:00:00,HF000000ON
1.0674,2013-07-26 00:00:00,HF000000ON
1.02,2013-07-31 00:00:00,HF000000ON
1.0507,2013-08-02 00:00:00,HF000000ON
1.0626,2013-08-09 00:00:00,HF000000ON
1.0429,2013-08-15 00:00:00,HF000000ON
1.0255,2013-08-16 00:00:00,HF000000ON
1.0718,2013-08-23 00:00:00,HF000000ON
1.0425,2013-08-30 00:00:00,HF000000ON
1.0743,2013-09-06 00:00:00,HF000000ON
1.0431,2013-09-13 00:00:00,HF000000ON
1.0453,2013-09-18 00:00:00,HF000000ON
1.0659,2013-09-27 00:00:00,HF000000ON
1.0733,2013-09-30 00:00:00,HF000000ON
1.1031,2013-10-11 00:00:00,HF000000ON
1.1057,2013-10-15 00:00:00,HF000000ON
1.0623,2013-10-18 00:00:00,HF000000ON
1.0314,2013-10-25 00:00:00,HF000000ON
1.0324,2013-10-31 00:00:00,HF000000ON
1.0297,2013-11-01 00:00:00,HF000000ON
0.9809,2013-11-08 00:00:00,HF000000ON
1.037,2013-11-15 00:00:00,HF000000ON
1.0328,2013-11-22 00:00:00,HF000000ON
1.0887,2013-11-29 00:00:00,HF000000ON
1.0362,2013-12-06 00:00:00,HF000000ON
1.0339,2013-12-13 00:00:00,HF000000ON
1.0027,2013-12-20 00:00:00,HF000000ON
1.064,2013-12-27 00:00:00,HF000000ON
1.0864,2013-12-31 00:00:00,HF000000ON
1.0971,2014-01-03 00:00:00,HF000000ON
1.0846,2014-01-10 00:00:00,HF000000ON
1.1225,2014-01-15 00:00:00,HF000000ON
1.1081,2014-01-17 00:00:00,HF000000ON
1.1764,2014-01-24 00:00:00,HF000000ON
1.1899,2014-01-30 00:00:00,HF000000ON
1.213,2014-02-07 00:00:00,HF000000ON
1.208,2014-02-14 00:00:00,HF000000ON
1.2195,2014-02-21 00:00:00,HF000000ON
1.2121,2014-02-28 00:00:00,HF000000ON
1.2555,2014-03-07 00:00:00,HF000000ON
1.208,2014-03-14 00:00:00,HF000000ON
1.2383,2014-03-21 00:00:00,HF000000ON
1.1717,2014-03-28 00:00:00,HF000000ON
1.1597,2014-03-31 00:00:00,HF000000ON
1.1808,2014-04-04 00:00:00,HF000000ON
1.2159,2014-04-11 00:00:00,HF000000ON
1.2094,2014-04-15 00:00:00,HF000000ON
1.2012,2014-04-18 00:00:00,HF000000ON
1.111,2014-04-25 00:00:00,HF000000ON
1.0912,2014-04-30 00:00:00,HF000000ON
1.0779,2014-05-09 00:00:00,HF000000ON
1.0913,2014-05-15 00:00:00,HF000000ON
1.0785,2014-05-16 00:00:00,HF000000ON
1.1149,2014-05-23 00:00:00,HF000000ON
1.1567,2014-05-30 00:00:00,HF000000ON
1.1538,2014-06-06 00:00:00,HF000000ON
1.1691,2014-06-13 00:00:00,HF000000ON
1.1407,2014-06-20 00:00:00,HF000000ON
1.1796,2014-06-27 00:00:00,HF000000ON
1.1853,2014-06-30 00:00:00,HF000000ON
1.1947,2014-07-04 00:00:00,HF000000ON
1.1856,2014-07-11 00:00:00,HF000000ON
1.1895,2014-07-15 00:00:00,HF000000ON
1.171,2014-07-18 00:00:00,HF000000ON
1.181,2014-07-25 00:00:00,HF000000ON
1.2084,2014-07-31 00:00:00,HF000000ON
1.203,2014-08-01 00:00:00,HF000000ON
1.2248,2014-08-08 00:00:00,HF000000ON
1.2297,2014-08-15 00:00:00,HF000000ON
1.2766,2014-08-22 00:00:00,HF000000ON
1.2542,2014-08-29 00:00:00,HF000000ON
1.2923,2014-09-05 00:00:00,HF000000ON
1.3084,2014-09-12 00:00:00,HF000000ON
1.2997,2014-09-15 00:00:00,HF000000ON
1.3122,2014-09-19 00:00:00,HF000000ON
1.307,2014-09-26 00:00:00,HF000000ON
1.3252,2014-09-30 00:00:00,HF000000ON
1.3371,2014-10-10 00:00:00,HF000000ON
1.3363,2014-10-15 00:00:00,HF000000ON
1.305,2014-10-17 00:00:00,HF000000ON
1.2725,2014-10-24 00:00:00,HF000000ON
1.3375,2014-10-31 00:00:00,HF000000ON
1.3479,2014-11-07 00:00:00,HF000000ON
1.3006,2014-11-14 00:00:00,HF000000ON
1.3405,2014-11-21 00:00:00,HF000000ON
1.3794,2014-11-28 00:00:00,HF000000ON
1.3336,2014-12-05 00:00:00,HF000000ON
1.3413,2014-12-12 00:00:00,HF000000ON
1.3747,2014-12-15 00:00:00,HF000000ON
1.3319,2014-12-19 00:00:00,HF000000ON
1.2978,2014-12-26 00:00:00,HF000000ON
1.2482,2014-12-31 00:00:00,HF000000ON
1.3019,2015-01-09 00:00:00,HF000000ON
1.3241,2015-01-15 00:00:00,HF000000ON
1.3502,2015-01-16 00:00:00,HF000000ON
1.4001,2015-01-23 00:00:00,HF000000ON
1.3993,2015-01-30 00:00:00,HF000000ON
1.4099,2015-02-06 00:00:00,HF000000ON
1.4583,2015-02-13 00:00:00,HF000000ON
1.5078,2015-02-17 00:00:00,HF000000ON
1.5119,2015-02-27 00:00:00,HF000000ON
1.5252,2015-03-06 00:00:00,HF000000ON
1.5938,2015-03-13 00:00:00,HF000000ON
1.7411,2015-03-20 00:00:00,HF000000ON
1.8248,2015-03-27 00:00:00,HF000000ON
1.8243,2015-03-31 00:00:00,HF000000ON
1.8945,2015-04-03 00:00:00,HF000000ON
2.0277,2015-04-10 00:00:00,HF000000ON
1.9364,2015-04-15 00:00:00,HF000000ON
1.9457,2015-04-17 00:00:00,HF000000ON
1.955,2015-04-24 00:00:00,HF000000ON
1.9807,2015-04-30 00:00:00,HF000000ON
1.9638,2015-05-08 00:00:00,HF000000ON
2.0616,2015-05-15 00:00:00,HF000000ON
2.3013,2015-05-22 00:00:00,HF000000ON
2.2355,2015-05-29 00:00:00,HF000000ON
2.4369,2015-06-05 00:00:00,HF000000ON
2.4366,2015-06-12 00:00:00,HF000000ON
2.3641,2015-06-15 00:00:00,HF000000ON
2.1168,2015-06-19 00:00:00,HF000000ON
1.9277,2015-06-26 00:00:00,HF000000ON
1.8851,2015-06-30 00:00:00,HF000000ON
1.6434,2015-07-03 00:00:00,HF000000ON
1.558,2015-07-10 00:00:00,HF000000ON
1.587,2015-07-15 00:00:00,HF000000ON
1.637,2015-07-17 00:00:00,HF000000ON
1.7545,2015-07-24 00:00:00,HF000000ON
1.5767,2015-07-31 00:00:00,HF000000ON
1.5902,2015-08-07 00:00:00,HF000000ON
