value,date,id
1.0,2010-06-10 00:00:00,HF000000PJ
1.0015,2010-06-30 00:00:00,HF000000PJ
1.0318,2010-07-30 00:00:00,HF000000PJ
1.0598,2010-08-31 00:00:00,HF000000PJ
1.0935,2010-09-30 00:00:00,HF000000PJ
1.1056,2010-10-29 00:00:00,HF000000PJ
1.1332,2010-11-26 00:00:00,HF000000PJ
1.0266,2010-12-31 00:00:00,HF000000PJ
0.9098,2011-01-31 00:00:00,HF000000PJ
0.9608,2011-02-18 00:00:00,HF000000PJ
0.9488,2011-02-25 00:00:00,HF000000PJ
0.9531,2011-02-28 00:00:00,HF000000PJ
0.9131,2011-03-04 00:00:00,HF000000PJ
0.929,2011-03-11 00:00:00,HF000000PJ
0.9249,2011-03-18 00:00:00,HF000000PJ
0.9123,2011-03-25 00:00:00,HF000000PJ
0.8997,2011-03-31 00:00:00,HF000000PJ
0.9097,2011-04-01 00:00:00,HF000000PJ
0.8976,2011-04-08 00:00:00,HF000000PJ
0.8851,2011-04-15 00:00:00,HF000000PJ
0.8986,2011-04-22 00:00:00,HF000000PJ
0.8494,2011-04-29 00:00:00,HF000000PJ
0.8773,2011-05-06 00:00:00,HF000000PJ
0.8551,2011-05-13 00:00:00,HF000000PJ
0.823,2011-05-20 00:00:00,HF000000PJ
0.7652,2011-05-27 00:00:00,HF000000PJ
0.7453,2011-05-31 00:00:00,HF000000PJ
0.7487,2011-06-03 00:00:00,HF000000PJ
0.7574,2011-06-10 00:00:00,HF000000PJ
0.755,2011-06-17 00:00:00,HF000000PJ
0.7635,2011-06-24 00:00:00,HF000000PJ
0.77,2011-07-01 00:00:00,HF000000PJ
0.8098,2011-07-08 00:00:00,HF000000PJ
0.8235,2011-07-15 00:00:00,HF000000PJ
0.8356,2011-07-22 00:00:00,HF000000PJ
0.8131,2011-07-29 00:00:00,HF000000PJ
0.7995,2011-08-05 00:00:00,HF000000PJ
0.7908,2011-08-12 00:00:00,HF000000PJ
0.7854,2011-08-19 00:00:00,HF000000PJ
0.8,2011-08-26 00:00:00,HF000000PJ
0.7806,2011-08-31 00:00:00,HF000000PJ
0.7751,2011-09-02 00:00:00,HF000000PJ
0.745,2011-09-09 00:00:00,HF000000PJ
0.7439,2011-09-16 00:00:00,HF000000PJ
0.7347,2011-09-23 00:00:00,HF000000PJ
0.7138,2011-09-30 00:00:00,HF000000PJ
0.7098,2011-10-14 00:00:00,HF000000PJ
0.7099,2011-10-21 00:00:00,HF000000PJ
0.7099,2011-10-28 00:00:00,HF000000PJ
0.7089,2011-10-31 00:00:00,HF000000PJ
