value,date,id
1.0,2009-06-10 00:00:00,HF000000RP
1.0019,2009-06-30 00:00:00,HF000000RP
1.078,2009-07-30 00:00:00,HF000000RP
0.9717,2009-08-28 00:00:00,HF000000RP
0.9689,2009-09-30 00:00:00,HF000000RP
1.0332,2009-10-30 00:00:00,HF000000RP
1.1238,2009-11-30 00:00:00,HF000000RP
1.1462,2009-12-30 00:00:00,HF000000RP
1.0775,2010-01-29 00:00:00,HF000000RP
1.0918,2010-02-26 00:00:00,HF000000RP
1.0847,2010-03-30 00:00:00,HF000000RP
1.0777,2010-04-30 00:00:00,HF000000RP
1.078,2010-05-28 00:00:00,HF000000RP
1.0257,2010-06-30 00:00:00,HF000000RP
1.0751,2010-07-30 00:00:00,HF000000RP
1.1195,2010-08-30 00:00:00,HF000000RP
1.1286,2010-09-30 00:00:00,HF000000RP
1.1768,2010-10-29 00:00:00,HF000000RP
1.1902,2010-11-30 00:00:00,HF000000RP
1.1274,2010-12-30 00:00:00,HF000000RP
1.1227,2011-01-31 00:00:00,HF000000RP
1.1586,2011-02-28 00:00:00,HF000000RP
1.1625,2011-03-30 00:00:00,HF000000RP
1.1466,2011-04-29 00:00:00,HF000000RP
1.0881,2011-05-30 00:00:00,HF000000RP
1.1242,2011-06-30 00:00:00,HF000000RP
1.1322,2011-07-29 00:00:00,HF000000RP
1.1022,2011-08-05 00:00:00,HF000000RP
1.1136,2011-08-12 00:00:00,HF000000RP
1.1018,2011-08-19 00:00:00,HF000000RP
1.1381,2011-08-26 00:00:00,HF000000RP
1.1234,2011-08-30 00:00:00,HF000000RP
1.0112,2011-09-30 00:00:00,HF000000RP
1.0473,2011-10-28 00:00:00,HF000000RP
1.0312,2011-11-30 00:00:00,HF000000RP
0.8908,2011-12-30 00:00:00,HF000000RP
0.8719,2012-01-30 00:00:00,HF000000RP
0.9966,2012-02-29 00:00:00,HF000000RP
0.9675,2012-03-30 00:00:00,HF000000RP
0.9756,2012-04-28 00:00:00,HF000000RP
0.964,2012-05-30 00:00:00,HF000000RP
0.9154,2012-06-29 00:00:00,HF000000RP
0.8672,2012-07-30 00:00:00,HF000000RP
0.8571,2012-08-30 00:00:00,HF000000RP
0.8665,2012-09-29 00:00:00,HF000000RP
0.8807,2012-10-30 00:00:00,HF000000RP
0.8721,2012-11-16 00:00:00,HF000000RP
0.8732,2012-11-23 00:00:00,HF000000RP
0.8631,2012-11-30 00:00:00,HF000000RP
0.873,2012-12-07 00:00:00,HF000000RP
0.9075,2012-12-14 00:00:00,HF000000RP
0.9184,2012-12-21 00:00:00,HF000000RP
0.9504,2012-12-28 00:00:00,HF000000RP
0.9527,2013-01-04 00:00:00,HF000000RP
0.9542,2013-01-11 00:00:00,HF000000RP
0.9942,2013-01-18 00:00:00,HF000000RP
0.9723,2013-01-25 00:00:00,HF000000RP
1.0053,2013-01-30 00:00:00,HF000000RP
1.0223,2013-02-01 00:00:00,HF000000RP
1.0251,2013-02-08 00:00:00,HF000000RP
0.9875,2013-02-22 00:00:00,HF000000RP
1.0054,2013-02-28 00:00:00,HF000000RP
1.0088,2013-03-01 00:00:00,HF000000RP
0.9906,2013-03-08 00:00:00,HF000000RP
0.9829,2013-03-15 00:00:00,HF000000RP
0.9933,2013-03-22 00:00:00,HF000000RP
0.977,2013-03-29 00:00:00,HF000000RP
0.9781,2013-04-03 00:00:00,HF000000RP
0.979,2013-04-12 00:00:00,HF000000RP
0.9941,2013-04-19 00:00:00,HF000000RP
0.9824,2013-04-26 00:00:00,HF000000RP
0.9823,2013-04-28 00:00:00,HF000000RP
0.9932,2013-05-03 00:00:00,HF000000RP
1.0122,2013-05-10 00:00:00,HF000000RP
1.0358,2013-05-17 00:00:00,HF000000RP
1.0557,2013-05-24 00:00:00,HF000000RP
1.0774,2013-05-30 00:00:00,HF000000RP
1.0786,2013-05-31 00:00:00,HF000000RP
1.0527,2013-06-07 00:00:00,HF000000RP
1.0362,2013-06-14 00:00:00,HF000000RP
1.0207,2013-06-21 00:00:00,HF000000RP
0.9976,2013-06-28 00:00:00,HF000000RP
1.0104,2013-07-05 00:00:00,HF000000RP
1.0005,2013-07-12 00:00:00,HF000000RP
0.9982,2013-07-19 00:00:00,HF000000RP
1.0036,2013-07-26 00:00:00,HF000000RP
0.9893,2013-07-30 00:00:00,HF000000RP
1.0074,2013-08-02 00:00:00,HF000000RP
1.0249,2013-08-09 00:00:00,HF000000RP
1.0069,2013-08-16 00:00:00,HF000000RP
1.0223,2013-08-23 00:00:00,HF000000RP
0.9984,2013-08-30 00:00:00,HF000000RP
1.0414,2013-09-06 00:00:00,HF000000RP
1.0433,2013-09-13 00:00:00,HF000000RP
1.0539,2013-09-18 00:00:00,HF000000RP
1.0544,2013-09-27 00:00:00,HF000000RP
1.0636,2013-09-30 00:00:00,HF000000RP
1.1024,2013-10-11 00:00:00,HF000000RP
1.0792,2013-10-18 00:00:00,HF000000RP
1.1211,2013-10-25 00:00:00,HF000000RP
1.0804,2013-10-30 00:00:00,HF000000RP
1.0789,2013-11-01 00:00:00,HF000000RP
1.0663,2013-11-08 00:00:00,HF000000RP
1.0785,2013-11-15 00:00:00,HF000000RP
1.1015,2013-11-22 00:00:00,HF000000RP
1.1888,2013-11-29 00:00:00,HF000000RP
1.1133,2013-12-06 00:00:00,HF000000RP
1.1384,2013-12-13 00:00:00,HF000000RP
1.1113,2013-12-20 00:00:00,HF000000RP
1.1571,2013-12-27 00:00:00,HF000000RP
1.1597,2013-12-30 00:00:00,HF000000RP
1.1731,2014-01-03 00:00:00,HF000000RP
1.1358,2014-01-10 00:00:00,HF000000RP
1.1751,2014-01-17 00:00:00,HF000000RP
1.2218,2014-01-24 00:00:00,HF000000RP
1.2162,2014-01-30 00:00:00,HF000000RP
1.2418,2014-02-07 00:00:00,HF000000RP
1.2652,2014-02-14 00:00:00,HF000000RP
1.2532,2014-02-21 00:00:00,HF000000RP
1.237,2014-02-28 00:00:00,HF000000RP
1.2441,2014-03-07 00:00:00,HF000000RP
1.2256,2014-03-14 00:00:00,HF000000RP
1.2225,2014-03-21 00:00:00,HF000000RP
1.2061,2014-03-28 00:00:00,HF000000RP
1.2037,2014-04-04 00:00:00,HF000000RP
1.2033,2014-04-11 00:00:00,HF000000RP
1.207,2014-04-18 00:00:00,HF000000RP
1.1846,2014-04-25 00:00:00,HF000000RP
1.1811,2014-04-30 00:00:00,HF000000RP
1.1677,2014-05-09 00:00:00,HF000000RP
1.1636,2014-05-16 00:00:00,HF000000RP
1.1852,2014-05-23 00:00:00,HF000000RP
1.192,2014-05-30 00:00:00,HF000000RP
1.195,2014-06-06 00:00:00,HF000000RP
1.2184,2014-06-13 00:00:00,HF000000RP
1.2143,2014-06-20 00:00:00,HF000000RP
1.2313,2014-06-27 00:00:00,HF000000RP
1.2488,2014-06-30 00:00:00,HF000000RP
1.2463,2014-07-04 00:00:00,HF000000RP
1.2557,2014-07-11 00:00:00,HF000000RP
1.2309,2014-07-18 00:00:00,HF000000RP
1.2369,2014-07-25 00:00:00,HF000000RP
1.2611,2014-07-30 00:00:00,HF000000RP
1.2629,2014-08-01 00:00:00,HF000000RP
1.2882,2014-08-08 00:00:00,HF000000RP
1.3214,2014-08-15 00:00:00,HF000000RP
1.3487,2014-08-22 00:00:00,HF000000RP
1.3207,2014-08-29 00:00:00,HF000000RP
1.3709,2014-09-05 00:00:00,HF000000RP
1.3925,2014-09-12 00:00:00,HF000000RP
1.3821,2014-09-19 00:00:00,HF000000RP
1.4173,2014-09-26 00:00:00,HF000000RP
1.4058,2014-09-30 00:00:00,HF000000RP
1.4397,2014-10-10 00:00:00,HF000000RP
1.3917,2014-10-17 00:00:00,HF000000RP
1.3689,2014-10-24 00:00:00,HF000000RP
1.41,2014-10-30 00:00:00,HF000000RP
1.4144,2014-10-31 00:00:00,HF000000RP
1.4208,2014-11-07 00:00:00,HF000000RP
1.4058,2014-11-14 00:00:00,HF000000RP
1.4291,2014-11-21 00:00:00,HF000000RP
1.4976,2014-11-28 00:00:00,HF000000RP
1.5591,2014-12-05 00:00:00,HF000000RP
1.545,2014-12-12 00:00:00,HF000000RP
1.5704,2014-12-19 00:00:00,HF000000RP
1.567,2014-12-26 00:00:00,HF000000RP
1.538223,2014-12-30 00:00:00,HF000000RP
1.5723,2014-12-31 00:00:00,HF000000RP
1.5421,2015-01-09 00:00:00,HF000000RP
1.5643,2015-01-16 00:00:00,HF000000RP
1.5796,2015-01-23 00:00:00,HF000000RP
1.5482,2015-01-30 00:00:00,HF000000RP
1.5319,2015-02-06 00:00:00,HF000000RP
1.5846,2015-02-13 00:00:00,HF000000RP
1.6151,2015-02-17 00:00:00,HF000000RP
1.6143,2015-02-27 00:00:00,HF000000RP
1.6143,2015-02-28 00:00:00,HF000000RP
1.6637,2015-03-06 00:00:00,HF000000RP
1.7039,2015-03-13 00:00:00,HF000000RP
1.7699,2015-03-20 00:00:00,HF000000RP
1.8705,2015-03-27 00:00:00,HF000000RP
1.8263,2015-03-30 00:00:00,HF000000RP
2.0488,2015-04-03 00:00:00,HF000000RP
1.982,2015-04-10 00:00:00,HF000000RP
1.9385,2015-04-17 00:00:00,HF000000RP
2.0578,2015-04-24 00:00:00,HF000000RP
1.9963,2015-04-30 00:00:00,HF000000RP
1.9063,2015-05-08 00:00:00,HF000000RP
2.0924,2015-05-15 00:00:00,HF000000RP
2.2643,2015-05-22 00:00:00,HF000000RP
2.231,2015-05-29 00:00:00,HF000000RP
2.4949,2015-06-05 00:00:00,HF000000RP
2.4744,2015-06-12 00:00:00,HF000000RP
2.2432,2015-06-19 00:00:00,HF000000RP
1.9807,2015-06-26 00:00:00,HF000000RP
1.9107,2015-06-30 00:00:00,HF000000RP
1.6973,2015-07-03 00:00:00,HF000000RP
1.5995,2015-07-10 00:00:00,HF000000RP
1.627,2015-07-17 00:00:00,HF000000RP
1.6911,2015-07-24 00:00:00,HF000000RP
1.5758,2015-07-30 00:00:00,HF000000RP
1.5691,2015-07-31 00:00:00,HF000000RP
1.5987,2015-08-07 00:00:00,HF000000RP
1.651,2015-08-14 00:00:00,HF000000RP
