value,date,id
1.0,2008-12-26 00:00:00,HF000000SL
0.9899,2009-01-26 00:00:00,HF000000SL
0.9899,2009-02-02 00:00:00,HF000000SL
1.0416,2009-02-26 00:00:00,HF000000SL
1.195,2009-03-26 00:00:00,HF000000SL
1.2911,2009-04-27 00:00:00,HF000000SL
1.2447,2009-05-26 00:00:00,HF000000SL
1.3336,2009-06-26 00:00:00,HF000000SL
1.5447,2009-07-27 00:00:00,HF000000SL
1.3302,2009-08-26 00:00:00,HF000000SL
1.3108,2009-09-28 00:00:00,HF000000SL
1.5413,2009-10-26 00:00:00,HF000000SL
1.5253,2009-11-26 00:00:00,HF000000SL
1.5297,2009-12-28 00:00:00,HF000000SL
1.3612,2010-01-26 00:00:00,HF000000SL
1.3739,2010-02-26 00:00:00,HF000000SL
1.4239,2010-03-26 00:00:00,HF000000SL
1.41,2010-04-26 00:00:00,HF000000SL
1.2664,2010-05-26 00:00:00,HF000000SL
1.3149,2010-06-28 00:00:00,HF000000SL
1.4048,2010-07-26 00:00:00,HF000000SL
1.4354,2010-08-26 00:00:00,HF000000SL
1.5888,2010-09-27 00:00:00,HF000000SL
1.7977,2010-10-26 00:00:00,HF000000SL
1.6623,2010-11-26 00:00:00,HF000000SL
1.5729,2010-12-27 00:00:00,HF000000SL
1.4529,2011-01-26 00:00:00,HF000000SL
1.5811,2011-02-28 00:00:00,HF000000SL
1.6498,2011-03-28 00:00:00,HF000000SL
1.6436,2011-04-26 00:00:00,HF000000SL
1.5855,2011-05-26 00:00:00,HF000000SL
1.67,2011-06-27 00:00:00,HF000000SL
1.7264,2011-07-26 00:00:00,HF000000SL
1.6431,2011-08-26 00:00:00,HF000000SL
1.4528,2011-09-26 00:00:00,HF000000SL
1.5178,2011-10-26 00:00:00,HF000000SL
1.5129,2011-11-28 00:00:00,HF000000SL
1.3923,2011-12-26 00:00:00,HF000000SL
1.4064,2012-01-30 00:00:00,HF000000SL
1.5066,2012-02-27 00:00:00,HF000000SL
1.4762,2012-03-26 00:00:00,HF000000SL
1.4852,2012-04-26 00:00:00,HF000000SL
1.504,2012-05-28 00:00:00,HF000000SL
1.4884,2012-06-26 00:00:00,HF000000SL
1.4586,2012-07-26 00:00:00,HF000000SL
1.3184,2012-08-27 00:00:00,HF000000SL
1.2688,2012-09-26 00:00:00,HF000000SL
1.2827,2012-10-26 00:00:00,HF000000SL
1.2625,2012-11-26 00:00:00,HF000000SL
1.4249,2012-12-26 00:00:00,HF000000SL
1.5391,2013-01-28 00:00:00,HF000000SL
1.4762,2013-02-26 00:00:00,HF000000SL
1.4588,2013-03-26 00:00:00,HF000000SL
1.3307,2013-04-26 00:00:00,HF000000SL
1.3938,2013-05-27 00:00:00,HF000000SL
1.233,2013-06-26 00:00:00,HF000000SL
1.267,2013-07-26 00:00:00,HF000000SL
1.3167,2013-08-26 00:00:00,HF000000SL
1.3018,2013-09-26 00:00:00,HF000000SL
1.3366,2013-10-28 00:00:00,HF000000SL
1.4006,2013-11-26 00:00:00,HF000000SL
1.3495,2013-12-26 00:00:00,HF000000SL
1.2709,2014-01-27 00:00:00,HF000000SL
1.2519,2014-02-26 00:00:00,HF000000SL
1.2472,2014-03-26 00:00:00,HF000000SL
1.3076,2014-04-28 00:00:00,HF000000SL
1.2975,2014-05-26 00:00:00,HF000000SL
1.3232,2014-06-26 00:00:00,HF000000SL
1.4041,2014-07-28 00:00:00,HF000000SL
1.3375,2014-08-26 00:00:00,HF000000SL
1.3333,2014-09-26 00:00:00,HF000000SL
1.2638,2014-10-27 00:00:00,HF000000SL
1.398,2014-11-26 00:00:00,HF000000SL
1.6663,2014-12-26 00:00:00,HF000000SL
1.828,2015-01-26 00:00:00,HF000000SL
1.7789,2015-02-26 00:00:00,HF000000SL
1.8419,2015-03-26 00:00:00,HF000000SL
2.1403,2015-04-27 00:00:00,HF000000SL
2.3813,2015-05-26 00:00:00,HF000000SL
2.1186,2015-06-26 00:00:00,HF000000SL
1.6349,2015-07-27 00:00:00,HF000000SL
