value,date,id
1.0,2010-05-05 00:00:00,HF000000TI
1.0019,2010-05-28 00:00:00,HF000000TI
0.9853,2010-06-25 00:00:00,HF000000TI
0.9761,2010-07-30 00:00:00,HF000000TI
1.0328,2010-08-27 00:00:00,HF000000TI
1.0406,2010-09-21 00:00:00,HF000000TI
1.0869,2010-10-22 00:00:00,HF000000TI
1.0886,2010-10-29 00:00:00,HF000000TI
1.1463,2010-11-05 00:00:00,HF000000TI
1.1082,2010-11-12 00:00:00,HF000000TI
1.1396,2010-11-19 00:00:00,HF000000TI
1.1763,2010-11-20 00:00:00,HF000000TI
1.1984,2010-11-26 00:00:00,HF000000TI
1.1856,2010-12-03 00:00:00,HF000000TI
1.1749,2010-12-10 00:00:00,HF000000TI
1.2151,2010-12-17 00:00:00,HF000000TI
1.2006,2010-12-20 00:00:00,HF000000TI
1.144,2010-12-24 00:00:00,HF000000TI
1.1474,2010-12-31 00:00:00,HF000000TI
1.1366,2011-01-07 00:00:00,HF000000TI
1.1162,2011-01-14 00:00:00,HF000000TI
1.1109,2011-01-21 00:00:00,HF000000TI
1.106,2011-01-28 00:00:00,HF000000TI
1.1116,2011-02-11 00:00:00,HF000000TI
1.1143,2011-02-18 00:00:00,HF000000TI
1.1166,2011-02-25 00:00:00,HF000000TI
1.1088,2011-03-04 00:00:00,HF000000TI
1.1187,2011-03-11 00:00:00,HF000000TI
1.1088,2011-03-18 00:00:00,HF000000TI
1.1086,2011-03-25 00:00:00,HF000000TI
1.102,2011-04-08 00:00:00,HF000000TI
1.1175,2011-04-15 00:00:00,HF000000TI
1.1155,2011-04-22 00:00:00,HF000000TI
1.0697,2011-04-29 00:00:00,HF000000TI
1.0781,2011-05-06 00:00:00,HF000000TI
1.070322,2011-05-13 00:00:00,HF000000TI
1.07507,2011-05-20 00:00:00,HF000000TI
1.041029,2011-05-27 00:00:00,HF000000TI
1.045373,2011-06-03 00:00:00,HF000000TI
1.044968,2011-06-10 00:00:00,HF000000TI
1.039507,2011-06-17 00:00:00,HF000000TI
1.036675,2011-06-20 00:00:00,HF000000TI
1.057204,2011-06-24 00:00:00,HF000000TI
1.051822,2011-07-01 00:00:00,HF000000TI
1.059033,2011-07-08 00:00:00,HF000000TI
1.06929,2011-07-15 00:00:00,HF000000TI
1.06279,2011-07-20 00:00:00,HF000000TI
1.071118,2011-07-22 00:00:00,HF000000TI
1.075996,2011-07-29 00:00:00,HF000000TI
1.081179,2011-08-05 00:00:00,HF000000TI
1.08748,2011-08-12 00:00:00,HF000000TI
1.037684,2011-08-19 00:00:00,HF000000TI
1.072236,2011-08-26 00:00:00,HF000000TI
1.011616,2011-09-02 00:00:00,HF000000TI
0.98568,2011-09-09 00:00:00,HF000000TI
0.977848,2011-09-16 00:00:00,HF000000TI
0.962591,2011-09-23 00:00:00,HF000000TI
0.956789,2011-09-30 00:00:00,HF000000TI
0.956789,2011-10-14 00:00:00,HF000000TI
0.956687,2011-10-20 00:00:00,HF000000TI
0.956687,2011-10-21 00:00:00,HF000000TI
0.956687,2011-10-28 00:00:00,HF000000TI
0.973685,2011-11-04 00:00:00,HF000000TI
0.964422,2011-11-11 00:00:00,HF000000TI
0.960554,2011-11-18 00:00:00,HF000000TI
0.954141,2011-11-25 00:00:00,HF000000TI
0.959332,2011-12-02 00:00:00,HF000000TI
0.923503,2011-12-09 00:00:00,HF000000TI
0.874646,2011-12-16 00:00:00,HF000000TI
0.855205,2011-12-23 00:00:00,HF000000TI
0.844009,2011-12-30 00:00:00,HF000000TI
0.812863,2012-01-06 00:00:00,HF000000TI
0.827011,2012-01-13 00:00:00,HF000000TI
0.800445,2012-01-20 00:00:00,HF000000TI
0.800445,2012-02-03 00:00:00,HF000000TI
