value,date,id
1.0,2008-07-08 00:00:00,HF000000WT
0.9909,2008-07-30 00:00:00,HF000000WT
0.9447,2008-08-29 00:00:00,HF000000WT
0.9461,2008-09-26 00:00:00,HF000000WT
0.9311,2008-10-31 00:00:00,HF000000WT
0.9731,2008-11-30 00:00:00,HF000000WT
1.0224,2008-12-31 00:00:00,HF000000WT
1.0603,2009-01-31 00:00:00,HF000000WT
1.1413,2009-02-28 00:00:00,HF000000WT
1.2622,2009-03-31 00:00:00,HF000000WT
1.297,2009-04-30 00:00:00,HF000000WT
1.374,2009-05-31 00:00:00,HF000000WT
1.5652,2009-06-30 00:00:00,HF000000WT
1.8308,2009-07-31 00:00:00,HF000000WT
1.5827,2009-08-31 00:00:00,HF000000WT
1.5746,2009-09-30 00:00:00,HF000000WT
1.7352,2009-10-30 00:00:00,HF000000WT
1.9929,2009-11-30 00:00:00,HF000000WT
2.0813,2009-12-31 00:00:00,HF000000WT
2.1683,2010-01-29 00:00:00,HF000000WT
2.2758,2010-02-26 00:00:00,HF000000WT
2.2573,2010-03-31 00:00:00,HF000000WT
2.2254,2010-04-30 00:00:00,HF000000WT
2.268,2010-05-31 00:00:00,HF000000WT
2.1669,2010-06-30 00:00:00,HF000000WT
2.2534,2010-07-30 00:00:00,HF000000WT
2.4514,2010-08-31 00:00:00,HF000000WT
2.506,2010-09-30 00:00:00,HF000000WT
2.5801,2010-10-29 00:00:00,HF000000WT
2.6153,2010-11-30 00:00:00,HF000000WT
2.5727,2010-12-31 00:00:00,HF000000WT
2.5614,2011-01-07 00:00:00,HF000000WT
2.4544,2011-01-31 00:00:00,HF000000WT
2.6178,2011-02-28 00:00:00,HF000000WT
2.5717,2011-03-31 00:00:00,HF000000WT
2.5249,2011-04-29 00:00:00,HF000000WT
2.5249,2011-04-30 00:00:00,HF000000WT
2.5305,2011-05-06 00:00:00,HF000000WT
2.5474,2011-05-13 00:00:00,HF000000WT
2.5162,2011-05-20 00:00:00,HF000000WT
2.4825,2011-05-31 00:00:00,HF000000WT
2.4866,2011-06-03 00:00:00,HF000000WT
2.4789,2011-06-10 00:00:00,HF000000WT
2.4557,2011-06-17 00:00:00,HF000000WT
2.4631,2011-06-24 00:00:00,HF000000WT
2.4799,2011-06-30 00:00:00,HF000000WT
2.4835,2011-07-01 00:00:00,HF000000WT
2.5068,2011-07-08 00:00:00,HF000000WT
2.5067,2011-07-15 00:00:00,HF000000WT
2.5003,2011-07-22 00:00:00,HF000000WT
2.5052,2011-07-31 00:00:00,HF000000WT
2.4914,2011-08-05 00:00:00,HF000000WT
2.5486,2011-08-12 00:00:00,HF000000WT
2.4903,2011-08-19 00:00:00,HF000000WT
2.4561,2011-08-31 00:00:00,HF000000WT
2.4511,2011-09-02 00:00:00,HF000000WT
2.4384,2011-09-09 00:00:00,HF000000WT
2.4351,2011-09-16 00:00:00,HF000000WT
2.4254,2011-09-23 00:00:00,HF000000WT
2.4227,2011-09-30 00:00:00,HF000000WT
2.4401,2011-10-14 00:00:00,HF000000WT
2.4324,2011-10-21 00:00:00,HF000000WT
2.4793,2011-10-31 00:00:00,HF000000WT
2.4852,2011-11-04 00:00:00,HF000000WT
2.4584,2011-11-11 00:00:00,HF000000WT
2.3978,2011-11-18 00:00:00,HF000000WT
2.3985,2011-11-25 00:00:00,HF000000WT
2.3701,2011-11-30 00:00:00,HF000000WT
2.3691,2011-12-02 00:00:00,HF000000WT
2.336,2011-12-09 00:00:00,HF000000WT
2.3062,2011-12-16 00:00:00,HF000000WT
2.2561,2011-12-23 00:00:00,HF000000WT
2.2493,2011-12-30 00:00:00,HF000000WT
2.2493,2011-12-31 00:00:00,HF000000WT
2.1621,2012-01-06 00:00:00,HF000000WT
2.1776,2012-01-13 00:00:00,HF000000WT
2.185,2012-01-20 00:00:00,HF000000WT
2.1692,2012-01-31 00:00:00,HF000000WT
2.1937,2012-02-03 00:00:00,HF000000WT
2.2089,2012-02-10 00:00:00,HF000000WT
2.196,2012-02-17 00:00:00,HF000000WT
2.3006,2012-02-24 00:00:00,HF000000WT
2.2673,2012-02-29 00:00:00,HF000000WT
2.3387,2012-03-02 00:00:00,HF000000WT
2.3429,2012-03-09 00:00:00,HF000000WT
2.3,2012-03-16 00:00:00,HF000000WT
2.1863,2012-03-31 00:00:00,HF000000WT
2.2238,2012-04-06 00:00:00,HF000000WT
2.2707,2012-04-13 00:00:00,HF000000WT
2.2962,2012-04-20 00:00:00,HF000000WT
2.2478,2012-04-27 00:00:00,HF000000WT
2.2478,2012-04-30 00:00:00,HF000000WT
2.3026,2012-05-04 00:00:00,HF000000WT
2.2424,2012-05-11 00:00:00,HF000000WT
2.2444,2012-05-18 00:00:00,HF000000WT
2.2603,2012-05-25 00:00:00,HF000000WT
2.3074,2012-05-31 00:00:00,HF000000WT
2.316,2012-06-01 00:00:00,HF000000WT
2.2674,2012-06-08 00:00:00,HF000000WT
2.3334,2012-06-15 00:00:00,HF000000WT
2.2835,2012-06-21 00:00:00,HF000000WT
2.3138,2012-06-29 00:00:00,HF000000WT
2.3303,2012-06-30 00:00:00,HF000000WT
2.4178,2012-07-06 00:00:00,HF000000WT
2.4519,2012-07-13 00:00:00,HF000000WT
2.3589,2012-07-20 00:00:00,HF000000WT
2.3293,2012-07-27 00:00:00,HF000000WT
2.3007,2012-07-31 00:00:00,HF000000WT
2.4052,2012-08-03 00:00:00,HF000000WT
2.4979,2012-08-10 00:00:00,HF000000WT
2.3987,2012-08-17 00:00:00,HF000000WT
2.4022,2012-08-24 00:00:00,HF000000WT
2.3689,2012-08-31 00:00:00,HF000000WT
2.4654,2012-09-07 00:00:00,HF000000WT
2.4176,2012-09-14 00:00:00,HF000000WT
2.3624,2012-09-21 00:00:00,HF000000WT
2.3669,2012-09-28 00:00:00,HF000000WT
2.3669,2012-09-30 00:00:00,HF000000WT
2.3868,2012-10-12 00:00:00,HF000000WT
2.4154,2012-10-19 00:00:00,HF000000WT
2.3177,2012-10-26 00:00:00,HF000000WT
2.3375,2012-10-31 00:00:00,HF000000WT
2.3606,2012-11-02 00:00:00,HF000000WT
2.2898,2012-11-09 00:00:00,HF000000WT
2.2868,2012-11-16 00:00:00,HF000000WT
2.2801,2012-11-23 00:00:00,HF000000WT
2.2751,2012-11-30 00:00:00,HF000000WT
2.3309,2012-12-07 00:00:00,HF000000WT
2.414,2012-12-14 00:00:00,HF000000WT
2.4126,2012-12-21 00:00:00,HF000000WT
2.5259,2012-12-31 00:00:00,HF000000WT
2.5286,2013-01-04 00:00:00,HF000000WT
2.5188,2013-01-11 00:00:00,HF000000WT
2.6305,2013-01-18 00:00:00,HF000000WT
2.5984,2013-01-25 00:00:00,HF000000WT
2.6428,2013-01-31 00:00:00,HF000000WT
2.6925,2013-02-01 00:00:00,HF000000WT
2.7584,2013-02-08 00:00:00,HF000000WT
2.616,2013-02-22 00:00:00,HF000000WT
2.644,2013-02-28 00:00:00,HF000000WT
2.6718,2013-03-01 00:00:00,HF000000WT
2.5615,2013-03-15 00:00:00,HF000000WT
2.6103,2013-03-22 00:00:00,HF000000WT
2.5836,2013-03-29 00:00:00,HF000000WT
2.5836,2013-03-31 00:00:00,HF000000WT
2.4813,2013-04-03 00:00:00,HF000000WT
2.4658,2013-04-12 00:00:00,HF000000WT
2.4638,2013-04-19 00:00:00,HF000000WT
2.4483,2013-04-26 00:00:00,HF000000WT
2.4483,2013-04-30 00:00:00,HF000000WT
2.5051,2013-05-03 00:00:00,HF000000WT
2.5736,2013-05-10 00:00:00,HF000000WT
2.6809,2013-05-17 00:00:00,HF000000WT
2.865,2013-05-24 00:00:00,HF000000WT
2.8305,2013-05-31 00:00:00,HF000000WT
2.6741,2013-06-07 00:00:00,HF000000WT
2.7053,2013-06-14 00:00:00,HF000000WT
2.6666,2013-06-21 00:00:00,HF000000WT
2.6167,2013-06-28 00:00:00,HF000000WT
2.6167,2013-06-30 00:00:00,HF000000WT
2.6684,2013-07-05 00:00:00,HF000000WT
2.724,2013-07-12 00:00:00,HF000000WT
2.6883,2013-07-19 00:00:00,HF000000WT
2.6174,2013-07-31 00:00:00,HF000000WT
2.674,2013-08-02 00:00:00,HF000000WT
2.7102,2013-08-09 00:00:00,HF000000WT
2.6064,2013-08-16 00:00:00,HF000000WT
2.7239,2013-08-23 00:00:00,HF000000WT
2.6702,2013-08-30 00:00:00,HF000000WT
2.7671,2013-09-06 00:00:00,HF000000WT
2.6644,2013-09-13 00:00:00,HF000000WT
2.6925,2013-09-18 00:00:00,HF000000WT
2.7889,2013-09-30 00:00:00,HF000000WT
2.7702,2013-10-11 00:00:00,HF000000WT
2.6488,2013-10-18 00:00:00,HF000000WT
2.5646,2013-10-25 00:00:00,HF000000WT
2.5326,2013-10-31 00:00:00,HF000000WT
2.5257,2013-11-01 00:00:00,HF000000WT
2.4767,2013-11-08 00:00:00,HF000000WT
2.4956,2013-11-15 00:00:00,HF000000WT
2.5093,2013-11-22 00:00:00,HF000000WT
2.5522,2013-11-29 00:00:00,HF000000WT
2.5152,2013-12-06 00:00:00,HF000000WT
2.5532,2013-12-13 00:00:00,HF000000WT
2.434,2013-12-20 00:00:00,HF000000WT
2.5184,2013-12-27 00:00:00,HF000000WT
2.523,2013-12-31 00:00:00,HF000000WT
2.5744,2014-01-03 00:00:00,HF000000WT
2.4635,2014-01-10 00:00:00,HF000000WT
2.4531,2014-01-17 00:00:00,HF000000WT
2.4602,2014-01-24 00:00:00,HF000000WT
2.4229,2014-01-30 00:00:00,HF000000WT
2.4229,2014-01-31 00:00:00,HF000000WT
2.4636,2014-02-14 00:00:00,HF000000WT
2.4344,2014-02-21 00:00:00,HF000000WT
2.3507,2014-02-28 00:00:00,HF000000WT
2.3538,2014-03-07 00:00:00,HF000000WT
2.324,2014-03-14 00:00:00,HF000000WT
2.3177,2014-03-21 00:00:00,HF000000WT
2.3193,2014-03-28 00:00:00,HF000000WT
2.3172,2014-03-31 00:00:00,HF000000WT
2.3662,2014-04-04 00:00:00,HF000000WT
2.4108,2014-04-11 00:00:00,HF000000WT
2.3836,2014-04-18 00:00:00,HF000000WT
2.2764,2014-04-25 00:00:00,HF000000WT
2.2989,2014-04-30 00:00:00,HF000000WT
2.2686,2014-05-09 00:00:00,HF000000WT
2.2583,2014-05-16 00:00:00,HF000000WT
2.2787,2014-05-23 00:00:00,HF000000WT
2.3098,2014-05-30 00:00:00,HF000000WT
2.3239,2014-06-06 00:00:00,HF000000WT
2.3621,2014-06-13 00:00:00,HF000000WT
2.2962,2014-06-20 00:00:00,HF000000WT
2.3377,2014-06-27 00:00:00,HF000000WT
2.3683,2014-06-30 00:00:00,HF000000WT
2.3612,2014-07-04 00:00:00,HF000000WT
2.3058,2014-07-11 00:00:00,HF000000WT
2.2646,2014-07-18 00:00:00,HF000000WT
2.2519,2014-07-25 00:00:00,HF000000WT
2.3432,2014-07-31 00:00:00,HF000000WT
2.3038,2014-08-01 00:00:00,HF000000WT
2.358,2014-08-08 00:00:00,HF000000WT
2.4215,2014-08-15 00:00:00,HF000000WT
2.4807,2014-08-22 00:00:00,HF000000WT
2.4576,2014-08-29 00:00:00,HF000000WT
2.4541,2014-08-31 00:00:00,HF000000WT
2.6253,2014-09-05 00:00:00,HF000000WT
2.6453,2014-09-12 00:00:00,HF000000WT
2.6399,2014-09-19 00:00:00,HF000000WT
2.7385,2014-09-26 00:00:00,HF000000WT
2.7923,2014-09-30 00:00:00,HF000000WT
2.8609,2014-10-10 00:00:00,HF000000WT
2.8019,2014-10-17 00:00:00,HF000000WT
2.8079,2014-10-24 00:00:00,HF000000WT
2.8956,2014-10-31 00:00:00,HF000000WT
2.913,2014-11-07 00:00:00,HF000000WT
2.8716,2014-11-14 00:00:00,HF000000WT
2.9934,2014-11-21 00:00:00,HF000000WT
3.1733,2014-11-30 00:00:00,HF000000WT
3.3077,2014-12-05 00:00:00,HF000000WT
3.4213,2014-12-12 00:00:00,HF000000WT
3.4038,2014-12-19 00:00:00,HF000000WT
3.2329,2014-12-26 00:00:00,HF000000WT
3.1959,2014-12-31 00:00:00,HF000000WT
3.2282,2015-01-09 00:00:00,HF000000WT
3.4496,2015-01-16 00:00:00,HF000000WT
3.4749,2015-01-23 00:00:00,HF000000WT
3.3862,2015-01-31 00:00:00,HF000000WT
3.5615,2015-02-06 00:00:00,HF000000WT
3.8034,2015-02-13 00:00:00,HF000000WT
3.9009,2015-02-28 00:00:00,HF000000WT
3.9361,2015-03-06 00:00:00,HF000000WT
4.2682,2015-03-13 00:00:00,HF000000WT
4.6543,2015-03-20 00:00:00,HF000000WT
4.97,2015-03-27 00:00:00,HF000000WT
4.6929,2015-03-31 00:00:00,HF000000WT
4.9735,2015-04-03 00:00:00,HF000000WT
5.0803,2015-04-10 00:00:00,HF000000WT
4.8461,2015-04-17 00:00:00,HF000000WT
4.9795,2015-04-24 00:00:00,HF000000WT
5.1068,2015-04-30 00:00:00,HF000000WT
5.3957,2015-05-08 00:00:00,HF000000WT
6.2201,2015-05-15 00:00:00,HF000000WT
