value,date,id
1.0,2009-06-15 00:00:00,HF000000X1
0.9985,2009-06-25 00:00:00,HF000000X1
1.1942,2009-07-24 00:00:00,HF000000X1
1.2388,2009-08-25 00:00:00,HF000000X1
1.2879,2009-09-25 00:00:00,HF000000X1
1.3311,2009-10-23 00:00:00,HF000000X1
1.3702,2009-11-25 00:00:00,HF000000X1
1.3445,2009-12-25 00:00:00,HF000000X1
1.3055,2010-01-25 00:00:00,HF000000X1
1.3173,2010-02-25 00:00:00,HF000000X1
1.3194,2010-03-25 00:00:00,HF000000X1
1.422,2010-04-23 00:00:00,HF000000X1
1.4317,2010-05-25 00:00:00,HF000000X1
1.4353,2010-06-25 00:00:00,HF000000X1
1.4488,2010-07-23 00:00:00,HF000000X1
1.4631,2010-08-25 00:00:00,HF000000X1
1.446,2010-09-25 00:00:00,HF000000X1
1.7732,2010-10-25 00:00:00,HF000000X1
1.8845,2010-11-25 00:00:00,HF000000X1
1.8658,2010-12-31 00:00:00,HF000000X1
1.922,2011-01-31 00:00:00,HF000000X1
1.9026,2011-02-28 00:00:00,HF000000X1
1.8896,2011-03-31 00:00:00,HF000000X1
1.9486,2011-04-29 00:00:00,HF000000X1
1.9513,2011-05-31 00:00:00,HF000000X1
1.9591,2011-06-30 00:00:00,HF000000X1
1.9651,2011-07-29 00:00:00,HF000000X1
1.9504,2011-08-31 00:00:00,HF000000X1
1.9412,2011-09-30 00:00:00,HF000000X1
1.9655,2011-10-31 00:00:00,HF000000X1
1.9443,2011-11-30 00:00:00,HF000000X1
1.9514,2011-12-31 00:00:00,HF000000X1
1.9243,2012-01-31 00:00:00,HF000000X1
2.0507,2012-02-29 00:00:00,HF000000X1
2.0169,2012-03-31 00:00:00,HF000000X1
2.0421,2012-04-28 00:00:00,HF000000X1
2.0586,2012-05-31 00:00:00,HF000000X1
2.0262,2012-06-29 00:00:00,HF000000X1
2.0125,2012-07-31 00:00:00,HF000000X1
2.0468,2012-08-31 00:00:00,HF000000X1
2.0653,2012-09-29 00:00:00,HF000000X1
2.0695,2012-10-31 00:00:00,HF000000X1
2.0495,2012-11-30 00:00:00,HF000000X1
2.215,2012-12-31 00:00:00,HF000000X1
2.3602,2013-01-31 00:00:00,HF000000X1
2.4161,2013-02-28 00:00:00,HF000000X1
2.2842,2013-03-29 00:00:00,HF000000X1
2.3277,2013-04-28 00:00:00,HF000000X1
2.5549,2013-05-31 00:00:00,HF000000X1
2.4387,2013-06-28 00:00:00,HF000000X1
2.4265,2013-07-31 00:00:00,HF000000X1
2.5141,2013-08-30 00:00:00,HF000000X1
2.9755,2013-09-30 00:00:00,HF000000X1
2.7065,2013-10-31 00:00:00,HF000000X1
2.8462,2013-11-29 00:00:00,HF000000X1
2.7201,2013-12-31 00:00:00,HF000000X1
2.7263,2014-01-30 00:00:00,HF000000X1
2.6898,2014-02-28 00:00:00,HF000000X1
2.5113,2014-03-31 00:00:00,HF000000X1
2.4725,2014-04-30 00:00:00,HF000000X1
2.6,2014-05-30 00:00:00,HF000000X1
2.7263,2014-06-30 00:00:00,HF000000X1
2.7326,2014-07-31 00:00:00,HF000000X1
2.7616,2014-08-29 00:00:00,HF000000X1
3.0929,2014-09-30 00:00:00,HF000000X1
3.0851,2014-10-31 00:00:00,HF000000X1
3.276226,2014-11-28 00:00:00,HF000000X1
3.06412,2014-12-31 00:00:00,HF000000X1
3.337,2015-01-30 00:00:00,HF000000X1
3.8434,2015-02-28 00:00:00,HF000000X1
4.6323,2015-03-31 00:00:00,HF000000X1
5.0376,2015-04-30 00:00:00,HF000000X1
6.1978,2015-05-29 00:00:00,HF000000X1
5.8128,2015-06-30 00:00:00,HF000000X1
4.63,2015-07-31 00:00:00,HF000000X1
