value,date,id
1.0,2007-12-28 00:00:00,HF000000XC
0.9414,2008-01-31 00:00:00,HF000000XC
0.923,2008-02-29 00:00:00,HF000000XC
0.8746,2008-03-31 00:00:00,HF000000XC
0.8971,2008-04-30 00:00:00,HF000000XC
0.8526,2008-05-30 00:00:00,HF000000XC
0.8515,2008-06-20 00:00:00,HF000000XC
0.8535,2008-07-25 00:00:00,HF000000XC
0.8392,2008-08-29 00:00:00,HF000000XC
0.8392,2008-09-26 00:00:00,HF000000XC
0.8392,2008-10-31 00:00:00,HF000000XC
0.8263,2008-11-28 00:00:00,HF000000XC
0.8265,2008-12-26 00:00:00,HF000000XC
0.8269,2009-01-30 00:00:00,HF000000XC
0.7969,2009-02-27 00:00:00,HF000000XC
0.8652,2009-03-27 00:00:00,HF000000XC
0.8889,2009-04-30 00:00:00,HF000000XC
0.8984,2009-05-27 00:00:00,HF000000XC
0.9532,2009-06-26 00:00:00,HF000000XC
1.0954,2009-07-31 00:00:00,HF000000XC
0.9744,2009-08-28 00:00:00,HF000000XC
0.9355,2009-09-30 00:00:00,HF000000XC
0.9984,2009-10-30 00:00:00,HF000000XC
1.0816,2009-11-27 00:00:00,HF000000XC
1.1364,2009-12-31 00:00:00,HF000000XC
1.1124,2010-01-29 00:00:00,HF000000XC
1.1007,2010-02-26 00:00:00,HF000000XC
1.1116,2010-03-31 00:00:00,HF000000XC
1.0697,2010-04-30 00:00:00,HF000000XC
0.9901,2010-05-31 00:00:00,HF000000XC
0.9515,2010-06-30 00:00:00,HF000000XC
1.0184,2010-07-30 00:00:00,HF000000XC
1.0585,2010-08-31 00:00:00,HF000000XC
1.1172,2010-09-27 00:00:00,HF000000XC
1.1173,2010-09-30 00:00:00,HF000000XC
1.2121,2010-10-29 00:00:00,HF000000XC
1.2798,2010-11-26 00:00:00,HF000000XC
1.2608,2010-12-31 00:00:00,HF000000XC
1.208,2011-01-28 00:00:00,HF000000XC
1.2796,2011-02-25 00:00:00,HF000000XC
1.3013,2011-03-04 00:00:00,HF000000XC
1.299,2011-03-11 00:00:00,HF000000XC
1.3047,2011-03-18 00:00:00,HF000000XC
1.319,2011-03-25 00:00:00,HF000000XC
1.3178,2011-04-01 00:00:00,HF000000XC
1.3418,2011-04-08 00:00:00,HF000000XC
1.3341,2011-04-15 00:00:00,HF000000XC
1.3335,2011-04-22 00:00:00,HF000000XC
1.2885,2011-04-29 00:00:00,HF000000XC
1.2922,2011-05-06 00:00:00,HF000000XC
1.2833,2011-05-13 00:00:00,HF000000XC
1.2574,2011-05-20 00:00:00,HF000000XC
1.1964,2011-05-27 00:00:00,HF000000XC
1.2073,2011-06-03 00:00:00,HF000000XC
1.2062,2011-06-10 00:00:00,HF000000XC
1.1947,2011-06-17 00:00:00,HF000000XC
1.2088,2011-06-24 00:00:00,HF000000XC
1.2268,2011-07-01 00:00:00,HF000000XC
1.274,2011-07-08 00:00:00,HF000000XC
1.3098,2011-07-15 00:00:00,HF000000XC
1.3078,2011-07-22 00:00:00,HF000000XC
1.2697,2011-07-29 00:00:00,HF000000XC
1.2473,2011-08-05 00:00:00,HF000000XC
1.2706,2011-08-12 00:00:00,HF000000XC
1.2386,2011-08-19 00:00:00,HF000000XC
1.2765,2011-08-26 00:00:00,HF000000XC
1.2399,2011-09-02 00:00:00,HF000000XC
1.2234,2011-09-09 00:00:00,HF000000XC
1.2158,2011-09-16 00:00:00,HF000000XC
1.1905,2011-09-23 00:00:00,HF000000XC
1.1281,2011-09-30 00:00:00,HF000000XC
1.15,2011-10-14 00:00:00,HF000000XC
1.0727,2011-10-21 00:00:00,HF000000XC
1.1364,2011-10-28 00:00:00,HF000000XC
1.1837,2011-11-04 00:00:00,HF000000XC
1.1881,2011-11-11 00:00:00,HF000000XC
1.1979,2011-11-18 00:00:00,HF000000XC
1.2018,2011-11-25 00:00:00,HF000000XC
1.2161,2011-12-02 00:00:00,HF000000XC
1.1811,2011-12-09 00:00:00,HF000000XC
1.1203,2011-12-16 00:00:00,HF000000XC
1.0988,2011-12-23 00:00:00,HF000000XC
1.0829,2011-12-30 00:00:00,HF000000XC
1.0516,2012-01-06 00:00:00,HF000000XC
1.0546,2012-01-13 00:00:00,HF000000XC
1.0683,2012-01-20 00:00:00,HF000000XC
1.0662,2012-02-03 00:00:00,HF000000XC
1.0732,2012-02-10 00:00:00,HF000000XC
1.0843,2012-02-17 00:00:00,HF000000XC
1.1111,2012-02-24 00:00:00,HF000000XC
1.1095,2012-03-02 00:00:00,HF000000XC
1.1193,2012-03-09 00:00:00,HF000000XC
1.132,2012-03-16 00:00:00,HF000000XC
1.1128,2012-03-23 00:00:00,HF000000XC
1.0857,2012-03-30 00:00:00,HF000000XC
1.0965,2012-04-06 00:00:00,HF000000XC
1.1134,2012-04-13 00:00:00,HF000000XC
1.1222,2012-04-20 00:00:00,HF000000XC
1.1037,2012-04-27 00:00:00,HF000000XC
1.1293,2012-05-04 00:00:00,HF000000XC
1.1304,2012-05-11 00:00:00,HF000000XC
1.1183,2012-05-18 00:00:00,HF000000XC
1.1056,2012-05-25 00:00:00,HF000000XC
1.1153,2012-06-01 00:00:00,HF000000XC
1.0753,2012-06-08 00:00:00,HF000000XC
1.0869,2012-06-15 00:00:00,HF000000XC
1.0802,2012-06-21 00:00:00,HF000000XC
1.0708,2012-06-29 00:00:00,HF000000XC
1.0669,2012-07-06 00:00:00,HF000000XC
1.0607,2012-07-13 00:00:00,HF000000XC
1.0515,2012-07-20 00:00:00,HF000000XC
1.0386,2012-07-27 00:00:00,HF000000XC
1.0369,2012-08-03 00:00:00,HF000000XC
1.0425,2012-08-10 00:00:00,HF000000XC
1.0319,2012-08-17 00:00:00,HF000000XC
1.0266,2012-08-24 00:00:00,HF000000XC
1.0125,2012-08-31 00:00:00,HF000000XC
1.0178,2012-09-07 00:00:00,HF000000XC
1.0163,2012-09-14 00:00:00,HF000000XC
1.0095,2012-09-21 00:00:00,HF000000XC
1.0095,2012-09-28 00:00:00,HF000000XC
1.0141,2012-10-12 00:00:00,HF000000XC
1.0162,2012-10-19 00:00:00,HF000000XC
1.0045,2012-10-26 00:00:00,HF000000XC
1.0057,2012-11-02 00:00:00,HF000000XC
0.9949,2012-11-09 00:00:00,HF000000XC
0.9962,2012-11-16 00:00:00,HF000000XC
0.9976,2012-11-23 00:00:00,HF000000XC
0.9819,2012-11-30 00:00:00,HF000000XC
0.9904,2012-12-07 00:00:00,HF000000XC
1.0158,2012-12-14 00:00:00,HF000000XC
1.0231,2012-12-21 00:00:00,HF000000XC
1.0556,2012-12-28 00:00:00,HF000000XC
1.0614,2013-01-04 00:00:00,HF000000XC
1.0859,2013-01-11 00:00:00,HF000000XC
1.1752,2013-01-18 00:00:00,HF000000XC
1.145,2013-01-25 00:00:00,HF000000XC
1.1653,2013-02-01 00:00:00,HF000000XC
1.1824,2013-02-08 00:00:00,HF000000XC
1.1851,2013-02-18 00:00:00,HF000000XC
1.1698,2013-02-22 00:00:00,HF000000XC
1.203,2013-03-01 00:00:00,HF000000XC
1.2065,2013-03-08 00:00:00,HF000000XC
1.1693,2013-03-15 00:00:00,HF000000XC
1.1515,2013-03-22 00:00:00,HF000000XC
1.1307,2013-03-29 00:00:00,HF000000XC
1.1256,2013-04-03 00:00:00,HF000000XC
1.1256,2013-04-12 00:00:00,HF000000XC
1.136,2013-04-19 00:00:00,HF000000XC
1.1076,2013-04-26 00:00:00,HF000000XC
1.1141,2013-05-03 00:00:00,HF000000XC
1.1237,2013-05-10 00:00:00,HF000000XC
1.1277,2013-05-17 00:00:00,HF000000XC
1.1454,2013-05-24 00:00:00,HF000000XC
1.1485,2013-05-31 00:00:00,HF000000XC
1.1125,2013-06-07 00:00:00,HF000000XC
1.1029,2013-06-14 00:00:00,HF000000XC
1.0955,2013-06-21 00:00:00,HF000000XC
1.0558,2013-06-28 00:00:00,HF000000XC
1.0649,2013-07-05 00:00:00,HF000000XC
1.0609,2013-07-12 00:00:00,HF000000XC
1.0622,2013-07-19 00:00:00,HF000000XC
1.0964,2013-07-26 00:00:00,HF000000XC
1.1017,2013-08-02 00:00:00,HF000000XC
1.1192,2013-08-09 00:00:00,HF000000XC
1.1196,2013-08-16 00:00:00,HF000000XC
1.1398,2013-08-23 00:00:00,HF000000XC
1.1421,2013-08-30 00:00:00,HF000000XC
1.1736,2013-09-06 00:00:00,HF000000XC
1.1821,2013-09-13 00:00:00,HF000000XC
1.1802,2013-09-18 00:00:00,HF000000XC
1.216,2013-09-30 00:00:00,HF000000XC
1.2176,2013-10-11 00:00:00,HF000000XC
1.2147,2013-10-18 00:00:00,HF000000XC
1.2433,2013-10-25 00:00:00,HF000000XC
1.2534,2013-11-01 00:00:00,HF000000XC
1.2412,2013-11-08 00:00:00,HF000000XC
1.2717,2013-11-15 00:00:00,HF000000XC
1.311,2013-11-22 00:00:00,HF000000XC
1.3334,2013-11-29 00:00:00,HF000000XC
1.2935,2013-12-06 00:00:00,HF000000XC
1.2838,2013-12-13 00:00:00,HF000000XC
1.2626,2013-12-20 00:00:00,HF000000XC
1.2979,2013-12-27 00:00:00,HF000000XC
1.3272,2014-01-03 00:00:00,HF000000XC
1.3072,2014-01-10 00:00:00,HF000000XC
1.3145,2014-01-17 00:00:00,HF000000XC
1.3546,2014-01-24 00:00:00,HF000000XC
1.3635,2014-02-07 00:00:00,HF000000XC
1.4268,2014-02-14 00:00:00,HF000000XC
1.406,2014-02-21 00:00:00,HF000000XC
1.3804,2014-02-28 00:00:00,HF000000XC
1.3838,2014-03-07 00:00:00,HF000000XC
1.3712,2014-03-14 00:00:00,HF000000XC
1.3794,2014-03-21 00:00:00,HF000000XC
1.3656,2014-03-28 00:00:00,HF000000XC
1.3744,2014-04-04 00:00:00,HF000000XC
1.4034,2014-04-11 00:00:00,HF000000XC
1.3955,2014-04-18 00:00:00,HF000000XC
1.3704,2014-04-25 00:00:00,HF000000XC
1.3641,2014-05-09 00:00:00,HF000000XC
1.3705,2014-05-16 00:00:00,HF000000XC
1.3747,2014-05-23 00:00:00,HF000000XC
1.3852,2014-05-30 00:00:00,HF000000XC
1.3864,2014-06-06 00:00:00,HF000000XC
1.3984,2014-06-13 00:00:00,HF000000XC
1.3732,2014-06-20 00:00:00,HF000000XC
1.3938,2014-06-27 00:00:00,HF000000XC
1.4509,2014-07-04 00:00:00,HF000000XC
1.4597,2014-07-11 00:00:00,HF000000XC
1.4549,2014-07-18 00:00:00,HF000000XC
1.4646,2014-07-25 00:00:00,HF000000XC
1.4938,2014-08-01 00:00:00,HF000000XC
1.5067,2014-08-08 00:00:00,HF000000XC
1.5103,2014-08-15 00:00:00,HF000000XC
1.5284,2014-08-22 00:00:00,HF000000XC
1.5219,2014-08-29 00:00:00,HF000000XC
1.5516,2014-09-05 00:00:00,HF000000XC
1.552,2014-09-12 00:00:00,HF000000XC
1.5417,2014-09-19 00:00:00,HF000000XC
1.5474,2014-09-26 00:00:00,HF000000XC
1.5763,2014-10-10 00:00:00,HF000000XC
1.5844,2014-10-17 00:00:00,HF000000XC
1.57,2014-10-24 00:00:00,HF000000XC
1.5979,2014-10-31 00:00:00,HF000000XC
1.5899,2014-11-07 00:00:00,HF000000XC
1.6183,2014-11-14 00:00:00,HF000000XC
1.6225,2014-11-21 00:00:00,HF000000XC
1.6674,2014-11-28 00:00:00,HF000000XC
1.6671,2014-12-05 00:00:00,HF000000XC
1.7269,2014-12-12 00:00:00,HF000000XC
1.6838,2014-12-19 00:00:00,HF000000XC
1.6657,2014-12-26 00:00:00,HF000000XC
1.7083,2015-01-09 00:00:00,HF000000XC
1.7283,2015-01-16 00:00:00,HF000000XC
