value,date,id
1.0,2010-07-01 00:00:00,HF000000XP
1.0,2010-07-02 00:00:00,HF000000XP
1.0118,2010-07-09 00:00:00,HF000000XP
1.0113,2010-07-16 00:00:00,HF000000XP
1.0286,2010-07-23 00:00:00,HF000000XP
1.0542,2010-07-30 00:00:00,HF000000XP
1.1023,2010-08-06 00:00:00,HF000000XP
1.0966,2010-08-13 00:00:00,HF000000XP
1.0965,2010-08-20 00:00:00,HF000000XP
1.1374,2010-08-27 00:00:00,HF000000XP
1.196,2010-09-03 00:00:00,HF000000XP
1.2023,2010-09-10 00:00:00,HF000000XP
1.193,2010-09-17 00:00:00,HF000000XP
1.1945,2010-09-21 00:00:00,HF000000XP
1.2646,2010-09-30 00:00:00,HF000000XP
1.3029,2010-10-08 00:00:00,HF000000XP
1.2333,2010-10-15 00:00:00,HF000000XP
1.2799,2010-10-22 00:00:00,HF000000XP
1.3391,2010-10-29 00:00:00,HF000000XP
1.3912,2010-11-05 00:00:00,HF000000XP
1.3646,2010-11-12 00:00:00,HF000000XP
1.35,2010-11-19 00:00:00,HF000000XP
1.383,2010-11-26 00:00:00,HF000000XP
1.3484,2010-12-03 00:00:00,HF000000XP
1.3433,2010-12-10 00:00:00,HF000000XP
1.4231,2010-12-17 00:00:00,HF000000XP
1.3397,2010-12-24 00:00:00,HF000000XP
1.2981,2010-12-31 00:00:00,HF000000XP
1.3033,2011-01-04 00:00:00,HF000000XP
1.3014,2011-01-05 00:00:00,HF000000XP
1.2862,2011-01-06 00:00:00,HF000000XP
1.2739,2011-01-07 00:00:00,HF000000XP
1.2352,2011-01-10 00:00:00,HF000000XP
1.2055,2011-01-14 00:00:00,HF000000XP
1.1682,2011-01-21 00:00:00,HF000000XP
1.155,2011-01-28 00:00:00,HF000000XP
1.169,2011-02-01 00:00:00,HF000000XP
1.1879,2011-02-11 00:00:00,HF000000XP
1.2044,2011-02-18 00:00:00,HF000000XP
1.2069,2011-02-25 00:00:00,HF000000XP
1.1913,2011-03-04 00:00:00,HF000000XP
1.2082,2011-03-11 00:00:00,HF000000XP
1.2119,2011-03-18 00:00:00,HF000000XP
1.2239,2011-03-25 00:00:00,HF000000XP
1.1953,2011-04-01 00:00:00,HF000000XP
1.2024,2011-04-08 00:00:00,HF000000XP
1.2132,2011-04-15 00:00:00,HF000000XP
1.1912,2011-04-18 00:00:00,HF000000XP
1.1912,2011-04-22 00:00:00,HF000000XP
1.152665,2011-04-29 00:00:00,HF000000XP
1.123955,2011-05-06 00:00:00,HF000000XP
1.118278,2011-05-13 00:00:00,HF000000XP
1.118715,2011-05-20 00:00:00,HF000000XP
1.083782,2011-05-27 00:00:00,HF000000XP
1.086511,2011-06-03 00:00:00,HF000000XP
1.078324,2011-06-10 00:00:00,HF000000XP
1.065115,2011-06-17 00:00:00,HF000000XP
1.077778,2011-06-24 00:00:00,HF000000XP
1.088039,2011-07-01 00:00:00,HF000000XP
1.100484,2011-07-04 00:00:00,HF000000XP
1.106597,2011-07-05 00:00:00,HF000000XP
1.113474,2011-07-06 00:00:00,HF000000XP
1.118932,2011-07-07 00:00:00,HF000000XP
1.116094,2011-07-08 00:00:00,HF000000XP
1.297306,2011-07-15 00:00:00,HF000000XP
1.369791,2011-07-22 00:00:00,HF000000XP
1.35298,2011-07-29 00:00:00,HF000000XP
1.338134,2011-08-05 00:00:00,HF000000XP
1.413457,2011-08-12 00:00:00,HF000000XP
1.445442,2011-08-19 00:00:00,HF000000XP
1.4509,2011-08-26 00:00:00,HF000000XP
1.393698,2011-09-02 00:00:00,HF000000XP
1.352106,2011-09-09 00:00:00,HF000000XP
1.386602,2011-09-16 00:00:00,HF000000XP
1.331147,2011-09-23 00:00:00,HF000000XP
1.259426,2011-09-30 00:00:00,HF000000XP
1.316628,2011-10-14 00:00:00,HF000000XP
1.24982,2011-10-21 00:00:00,HF000000XP
1.303856,2011-10-28 00:00:00,HF000000XP
1.305712,2011-11-04 00:00:00,HF000000XP
1.273072,2011-11-11 00:00:00,HF000000XP
1.239449,2011-11-18 00:00:00,HF000000XP
1.233772,2011-11-25 00:00:00,HF000000XP
1.229842,2011-12-02 00:00:00,HF000000XP
1.195128,2011-12-09 00:00:00,HF000000XP
1.15834,2011-12-16 00:00:00,HF000000XP
1.158449,2011-12-23 00:00:00,HF000000XP
1.139127,2011-12-30 00:00:00,HF000000XP
1.118822,2012-01-04 00:00:00,HF000000XP
1.095243,2012-01-05 00:00:00,HF000000XP
1.099828,2012-01-06 00:00:00,HF000000XP
1.110526,2012-01-09 00:00:00,HF000000XP
1.138581,2012-01-10 00:00:00,HF000000XP
1.112054,2012-01-13 00:00:00,HF000000XP
1.118386,2012-01-20 00:00:00,HF000000XP
1.14,2012-02-03 00:00:00,HF000000XP
1.179299,2012-02-10 00:00:00,HF000000XP
1.179517,2012-02-17 00:00:00,HF000000XP
1.236282,2012-02-24 00:00:00,HF000000XP
1.241522,2012-03-02 00:00:00,HF000000XP
1.249928,2012-03-09 00:00:00,HF000000XP
1.298178,2012-03-16 00:00:00,HF000000XP
1.257132,2012-03-23 00:00:00,HF000000XP
1.222636,2012-03-30 00:00:00,HF000000XP
1.262808,2012-04-06 00:00:00,HF000000XP
1.271869,2012-04-13 00:00:00,HF000000XP
1.263245,2012-04-20 00:00:00,HF000000XP
1.230714,2012-04-27 00:00:00,HF000000XP
1.258442,2012-05-04 00:00:00,HF000000XP
1.2639,2012-05-11 00:00:00,HF000000XP
1.258114,2012-05-18 00:00:00,HF000000XP
1.28344,2012-05-25 00:00:00,HF000000XP
1.344353,2012-06-01 00:00:00,HF000000XP
1.324267,2012-06-08 00:00:00,HF000000XP
1.333,2012-06-15 00:00:00,HF000000XP
1.316407,2012-06-22 00:00:00,HF000000XP
1.330052,2012-06-28 00:00:00,HF000000XP
1.330052,2012-06-29 00:00:00,HF000000XP
1.344799,2012-07-02 00:00:00,HF000000XP
1.360259,2012-07-03 00:00:00,HF000000XP
1.361448,2012-07-04 00:00:00,HF000000XP
1.345988,2012-07-05 00:00:00,HF000000XP
1.381428,2012-07-06 00:00:00,HF000000XP
1.386542,2012-07-13 00:00:00,HF000000XP
1.347297,2012-07-20 00:00:00,HF000000XP
1.324701,2012-07-27 00:00:00,HF000000XP
1.333264,2012-08-03 00:00:00,HF000000XP
1.388921,2012-08-10 00:00:00,HF000000XP
1.315782,2012-08-17 00:00:00,HF000000XP
1.309955,2012-08-24 00:00:00,HF000000XP
1.268094,2012-08-31 00:00:00,HF000000XP
1.333265,2012-09-07 00:00:00,HF000000XP
1.331719,2012-09-14 00:00:00,HF000000XP
1.251445,2012-09-21 00:00:00,HF000000XP
1.309837,2012-09-28 00:00:00,HF000000XP
1.325773,2012-10-12 00:00:00,HF000000XP
