value,date,id
1.0,2010-12-08 00:00:00,HF000000YS
1.02,2010-12-31 00:00:00,HF000000YS
0.9846,2011-01-28 00:00:00,HF000000YS
0.9892,2011-02-25 00:00:00,HF000000YS
1.0162,2011-03-04 00:00:00,HF000000YS
1.0244,2011-03-11 00:00:00,HF000000YS
1.0167,2011-03-18 00:00:00,HF000000YS
1.0322,2011-03-25 00:00:00,HF000000YS
1.0204,2011-04-01 00:00:00,HF000000YS
1.0279,2011-04-08 00:00:00,HF000000YS
1.0299,2011-04-15 00:00:00,HF000000YS
1.0248,2011-04-20 00:00:00,HF000000YS
1.0255,2011-04-22 00:00:00,HF000000YS
1.0074,2011-04-29 00:00:00,HF000000YS
1.0065,2011-05-06 00:00:00,HF000000YS
1.005,2011-05-13 00:00:00,HF000000YS
1.0028,2011-05-20 00:00:00,HF000000YS
0.9951,2011-05-27 00:00:00,HF000000YS
0.9988,2011-06-03 00:00:00,HF000000YS
0.9983,2011-06-10 00:00:00,HF000000YS
0.9969,2011-06-17 00:00:00,HF000000YS
0.994,2011-06-20 00:00:00,HF000000YS
1.0025,2011-06-24 00:00:00,HF000000YS
1.0077,2011-07-01 00:00:00,HF000000YS
1.0169,2011-07-08 00:00:00,HF000000YS
1.0235,2011-07-15 00:00:00,HF000000YS
1.0195,2011-07-22 00:00:00,HF000000YS
1.0172,2011-07-29 00:00:00,HF000000YS
1.0268,2011-08-05 00:00:00,HF000000YS
1.0384,2011-08-12 00:00:00,HF000000YS
1.0146,2011-08-19 00:00:00,HF000000YS
1.0353,2011-08-26 00:00:00,HF000000YS
1.0075,2011-09-02 00:00:00,HF000000YS
0.9877,2011-09-09 00:00:00,HF000000YS
0.9887,2011-09-16 00:00:00,HF000000YS
0.9738,2011-09-23 00:00:00,HF000000YS
0.9457,2011-09-30 00:00:00,HF000000YS
0.9743,2011-10-14 00:00:00,HF000000YS
0.9286,2011-10-20 00:00:00,HF000000YS
0.9196,2011-10-21 00:00:00,HF000000YS
0.9919,2011-10-28 00:00:00,HF000000YS
1.0193,2011-11-04 00:00:00,HF000000YS
0.9974,2011-11-11 00:00:00,HF000000YS
0.9672,2011-11-18 00:00:00,HF000000YS
0.9508,2011-11-25 00:00:00,HF000000YS
0.9264,2011-12-02 00:00:00,HF000000YS
0.9206,2011-12-09 00:00:00,HF000000YS
0.8743,2011-12-16 00:00:00,HF000000YS
0.8661,2011-12-20 00:00:00,HF000000YS
0.85,2011-12-23 00:00:00,HF000000YS
0.8255,2011-12-30 00:00:00,HF000000YS
0.7906,2012-01-06 00:00:00,HF000000YS
0.8146,2012-01-13 00:00:00,HF000000YS
0.8409,2012-01-20 00:00:00,HF000000YS
0.8543,2012-02-03 00:00:00,HF000000YS
0.8631,2012-02-10 00:00:00,HF000000YS
0.8719,2012-02-17 00:00:00,HF000000YS
0.8718,2012-02-20 00:00:00,HF000000YS
0.9226,2012-02-24 00:00:00,HF000000YS
0.9222,2012-03-02 00:00:00,HF000000YS
0.9205,2012-03-09 00:00:00,HF000000YS
0.9078,2012-03-16 00:00:00,HF000000YS
0.8893,2012-03-20 00:00:00,HF000000YS
0.8745,2012-03-23 00:00:00,HF000000YS
0.8294,2012-03-30 00:00:00,HF000000YS
0.8515,2012-04-06 00:00:00,HF000000YS
0.8765,2012-04-13 00:00:00,HF000000YS
0.8912,2012-04-20 00:00:00,HF000000YS
0.8892,2012-04-27 00:00:00,HF000000YS
0.9214,2012-05-04 00:00:00,HF000000YS
0.9021,2012-05-11 00:00:00,HF000000YS
0.8854,2012-05-18 00:00:00,HF000000YS
0.8765,2012-05-25 00:00:00,HF000000YS
0.921,2012-06-01 00:00:00,HF000000YS
0.8985,2012-06-08 00:00:00,HF000000YS
0.9408,2012-06-15 00:00:00,HF000000YS
0.9358,2012-06-20 00:00:00,HF000000YS
0.924,2012-06-21 00:00:00,HF000000YS
0.9264,2012-06-29 00:00:00,HF000000YS
0.9468,2012-07-06 00:00:00,HF000000YS
0.9487,2012-07-13 00:00:00,HF000000YS
0.9232,2012-07-20 00:00:00,HF000000YS
0.8982,2012-07-27 00:00:00,HF000000YS
0.9012,2012-08-03 00:00:00,HF000000YS
0.9206,2012-08-10 00:00:00,HF000000YS
0.8876,2012-08-17 00:00:00,HF000000YS
0.8869,2012-08-20 00:00:00,HF000000YS
0.8908,2012-08-24 00:00:00,HF000000YS
0.87,2012-08-31 00:00:00,HF000000YS
0.9077,2012-09-07 00:00:00,HF000000YS
0.903,2012-09-14 00:00:00,HF000000YS
