value,date,id
1.0,2008-12-17 00:00:00,HF000000ZL
1.0816,2009-01-19 00:00:00,HF000000ZL
1.1329,2009-02-18 00:00:00,HF000000ZL
1.1555,2009-03-17 00:00:00,HF000000ZL
1.3047,2009-04-15 00:00:00,HF000000ZL
1.27,2009-05-15 00:00:00,HF000000ZL
1.3202,2009-06-15 00:00:00,HF000000ZL
1.4706,2009-07-15 00:00:00,HF000000ZL
1.4334,2009-08-17 00:00:00,HF000000ZL
1.4611,2009-09-15 00:00:00,HF000000ZL
1.4768,2009-10-15 00:00:00,HF000000ZL
1.6095,2009-11-16 00:00:00,HF000000ZL
1.619,2009-12-15 00:00:00,HF000000ZL
1.6935,2010-01-15 00:00:00,HF000000ZL
1.6685,2010-02-22 00:00:00,HF000000ZL
1.6818,2010-03-15 00:00:00,HF000000ZL
1.8183,2010-04-15 00:00:00,HF000000ZL
1.629,2010-05-17 00:00:00,HF000000ZL
1.6915,2010-06-17 00:00:00,HF000000ZL
1.6291,2010-07-15 00:00:00,HF000000ZL
1.7252,2010-08-16 00:00:00,HF000000ZL
1.8001,2010-09-15 00:00:00,HF000000ZL
1.7886,2010-10-15 00:00:00,HF000000ZL
1.9429,2010-11-15 00:00:00,HF000000ZL
1.9678,2010-12-15 00:00:00,HF000000ZL
1.8491,2011-01-17 00:00:00,HF000000ZL
1.8791,2011-02-15 00:00:00,HF000000ZL
1.9247,2011-03-15 00:00:00,HF000000ZL
1.9763,2011-04-15 00:00:00,HF000000ZL
1.956,2011-05-16 00:00:00,HF000000ZL
1.9108,2011-06-15 00:00:00,HF000000ZL
1.994,2011-07-15 00:00:00,HF000000ZL
2.0224,2011-08-15 00:00:00,HF000000ZL
1.9714,2011-09-15 00:00:00,HF000000ZL
1.8568,2011-10-17 00:00:00,HF000000ZL
1.8773,2011-11-15 00:00:00,HF000000ZL
1.7533,2011-12-15 00:00:00,HF000000ZL
1.6993,2012-01-16 00:00:00,HF000000ZL
1.7278,2012-02-15 00:00:00,HF000000ZL
1.7427,2012-03-15 00:00:00,HF000000ZL
1.709,2012-04-16 00:00:00,HF000000ZL
1.7019,2012-05-15 00:00:00,HF000000ZL
1.7026,2012-06-15 00:00:00,HF000000ZL
1.6867,2012-07-16 00:00:00,HF000000ZL
1.6833,2012-08-15 00:00:00,HF000000ZL
1.6785,2012-09-17 00:00:00,HF000000ZL
1.6729,2012-10-15 00:00:00,HF000000ZL
1.6267,2012-11-15 00:00:00,HF000000ZL
1.6375,2012-12-17 00:00:00,HF000000ZL
1.7712,2013-01-15 00:00:00,HF000000ZL
1.8432,2013-02-18 00:00:00,HF000000ZL
1.8405,2013-03-15 00:00:00,HF000000ZL
2.0207,2013-03-17 00:00:00,HF000000ZL
1.863,2013-04-15 00:00:00,HF000000ZL
1.9268,2013-05-15 00:00:00,HF000000ZL
1.9214,2013-06-17 00:00:00,HF000000ZL
1.9408,2013-07-15 00:00:00,HF000000ZL
1.9671,2013-08-15 00:00:00,HF000000ZL
1.9925,2013-09-16 00:00:00,HF000000ZL
2.1057,2013-10-15 00:00:00,HF000000ZL
1.9802,2013-11-15 00:00:00,HF000000ZL
1.9887,2013-12-16 00:00:00,HF000000ZL
2.0521,2014-01-15 00:00:00,HF000000ZL
2.095,2014-02-17 00:00:00,HF000000ZL
2.0207,2014-03-17 00:00:00,HF000000ZL
2.0238,2014-04-15 00:00:00,HF000000ZL
2.0238,2014-04-21 00:00:00,HF000000ZL
1.9482,2014-05-15 00:00:00,HF000000ZL
2.0068,2014-06-16 00:00:00,HF000000ZL
2.0426,2014-07-15 00:00:00,HF000000ZL
2.1324,2014-08-15 00:00:00,HF000000ZL
2.2186,2014-09-15 00:00:00,HF000000ZL
2.2547,2014-10-15 00:00:00,HF000000ZL
2.2022,2014-11-17 00:00:00,HF000000ZL
2.5875,2014-12-15 00:00:00,HF000000ZL
2.5599,2015-01-15 00:00:00,HF000000ZL
2.709,2015-02-16 00:00:00,HF000000ZL
2.8105,2015-03-16 00:00:00,HF000000ZL
3.2926,2015-04-15 00:00:00,HF000000ZL
3.637,2015-05-15 00:00:00,HF000000ZL
4.4305,2015-06-15 00:00:00,HF000000ZL
3.5751,2015-07-15 00:00:00,HF000000ZL
