value,date,id
1.0,2010-01-06 00:00:00,HF0000011L
1.0056,2010-01-20 00:00:00,HF0000011L
0.9959,2010-01-29 00:00:00,HF0000011L
1.0109,2010-02-20 00:00:00,HF0000011L
1.0109,2010-02-26 00:00:00,HF0000011L
0.9955,2010-03-19 00:00:00,HF0000011L
0.9995,2010-03-26 00:00:00,HF0000011L
1.0223,2010-04-20 00:00:00,HF0000011L
0.9762,2010-04-30 00:00:00,HF0000011L
0.9581,2010-05-20 00:00:00,HF0000011L
0.9743,2010-05-28 00:00:00,HF0000011L
0.9912,2010-06-20 00:00:00,HF0000011L
1.0003,2010-06-25 00:00:00,HF0000011L
1.0382,2010-07-20 00:00:00,HF0000011L
1.0685,2010-07-30 00:00:00,HF0000011L
1.1302,2010-08-20 00:00:00,HF0000011L
1.1258,2010-08-27 00:00:00,HF0000011L
1.1645,2010-09-20 00:00:00,HF0000011L
1.1933,2010-09-30 00:00:00,HF0000011L
1.1672,2010-10-20 00:00:00,HF0000011L
1.2014,2010-10-29 00:00:00,HF0000011L
1.2162,2010-11-19 00:00:00,HF0000011L
1.2675,2010-11-26 00:00:00,HF0000011L
1.2577,2010-12-20 00:00:00,HF0000011L
1.2059,2010-12-31 00:00:00,HF0000011L
1.0538,2011-01-20 00:00:00,HF0000011L
1.0641,2011-01-28 00:00:00,HF0000011L
1.132,2011-02-18 00:00:00,HF0000011L
1.1439,2011-02-25 00:00:00,HF0000011L
1.1382,2011-03-04 00:00:00,HF0000011L
1.1431,2011-03-11 00:00:00,HF0000011L
1.1294,2011-03-18 00:00:00,HF0000011L
1.1315,2011-03-25 00:00:00,HF0000011L
1.0862,2011-04-01 00:00:00,HF0000011L
1.1041,2011-04-08 00:00:00,HF0000011L
1.0925,2011-04-15 00:00:00,HF0000011L
1.1057,2011-04-20 00:00:00,HF0000011L
1.1136,2011-04-22 00:00:00,HF0000011L
1.0507,2011-04-29 00:00:00,HF0000011L
1.0556,2011-05-06 00:00:00,HF0000011L
1.0699,2011-05-13 00:00:00,HF0000011L
1.0713,2011-05-20 00:00:00,HF0000011L
1.0103,2011-05-27 00:00:00,HF0000011L
1.024,2011-06-03 00:00:00,HF0000011L
1.0247,2011-06-10 00:00:00,HF0000011L
1.0154,2011-06-17 00:00:00,HF0000011L
1.0109,2011-06-20 00:00:00,HF0000011L
1.0267,2011-06-24 00:00:00,HF0000011L
1.0412,2011-07-01 00:00:00,HF0000011L
1.073,2011-07-08 00:00:00,HF0000011L
1.1099,2011-07-15 00:00:00,HF0000011L
1.1165,2011-07-20 00:00:00,HF0000011L
1.1211,2011-07-22 00:00:00,HF0000011L
1.1375,2011-07-29 00:00:00,HF0000011L
1.1356,2011-08-05 00:00:00,HF0000011L
1.1674,2011-08-12 00:00:00,HF0000011L
1.166,2011-08-19 00:00:00,HF0000011L
1.1685,2011-08-26 00:00:00,HF0000011L
1.1327,2011-09-02 00:00:00,HF0000011L
1.1066,2011-09-09 00:00:00,HF0000011L
1.0858,2011-09-16 00:00:00,HF0000011L
1.0752,2011-09-20 00:00:00,HF0000011L
1.0586,2011-09-23 00:00:00,HF0000011L
1.0355,2011-09-30 00:00:00,HF0000011L
1.0634,2011-10-14 00:00:00,HF0000011L
1.0376,2011-10-20 00:00:00,HF0000011L
1.0192,2011-10-21 00:00:00,HF0000011L
1.0848,2011-10-28 00:00:00,HF0000011L
1.098,2011-11-04 00:00:00,HF0000011L
1.0841,2011-11-11 00:00:00,HF0000011L
1.085,2011-11-18 00:00:00,HF0000011L
1.1082,2011-11-25 00:00:00,HF0000011L
