value,date,id
1.0,2009-03-20 00:00:00,HF0000013S
1.0132,2009-03-31 00:00:00,HF0000013S
1.0527,2009-04-17 00:00:00,HF0000013S
1.0496,2009-04-30 00:00:00,HF0000013S
1.0889,2009-05-08 00:00:00,HF0000013S
1.0913,2009-05-15 00:00:00,HF0000013S
1.0849,2009-05-29 00:00:00,HF0000013S
1.1085,2009-06-30 00:00:00,HF0000013S
1.2232,2009-07-31 00:00:00,HF0000013S
1.2232,2009-08-03 00:00:00,HF0000013S
1.044,2009-08-31 00:00:00,HF0000013S
1.0013,2009-09-30 00:00:00,HF0000013S
1.1276,2009-10-30 00:00:00,HF0000013S
1.2387,2009-11-30 00:00:00,HF0000013S
1.2953,2009-12-31 00:00:00,HF0000013S
1.3178,2010-01-08 00:00:00,HF0000013S
1.3727,2010-01-15 00:00:00,HF0000013S
1.2866,2010-01-22 00:00:00,HF0000013S
1.275,2010-01-29 00:00:00,HF0000013S
1.2347,2010-02-05 00:00:00,HF0000013S
1.2532,2010-02-12 00:00:00,HF0000013S
1.3152,2010-02-26 00:00:00,HF0000013S
1.3055,2010-03-05 00:00:00,HF0000013S
1.286,2010-03-12 00:00:00,HF0000013S
1.2959,2010-03-19 00:00:00,HF0000013S
1.3224,2010-03-26 00:00:00,HF0000013S
1.3612,2010-03-31 00:00:00,HF0000013S
1.382,2010-04-02 00:00:00,HF0000013S
1.4167,2010-04-09 00:00:00,HF0000013S
1.4427,2010-04-16 00:00:00,HF0000013S
1.4634,2010-04-23 00:00:00,HF0000013S
1.3905,2010-04-30 00:00:00,HF0000013S
1.3778,2010-05-07 00:00:00,HF0000013S
1.3696,2010-05-14 00:00:00,HF0000013S
1.338,2010-05-21 00:00:00,HF0000013S
1.3931,2010-05-28 00:00:00,HF0000013S
1.3624,2010-05-31 00:00:00,HF0000013S
1.3507,2010-06-04 00:00:00,HF0000013S
1.3773,2010-06-11 00:00:00,HF0000013S
1.3264,2010-06-18 00:00:00,HF0000013S
1.3159,2010-06-25 00:00:00,HF0000013S
1.2791,2010-06-30 00:00:00,HF0000013S
1.2628,2010-07-02 00:00:00,HF0000013S
1.2912,2010-07-09 00:00:00,HF0000013S
1.2685,2010-07-16 00:00:00,HF0000013S
1.3221,2010-07-23 00:00:00,HF0000013S
1.3422,2010-07-30 00:00:00,HF0000013S
1.3872,2010-08-06 00:00:00,HF0000013S
1.3796,2010-08-13 00:00:00,HF0000013S
1.3583,2010-08-20 00:00:00,HF0000013S
1.3893,2010-08-27 00:00:00,HF0000013S
1.4283,2010-08-31 00:00:00,HF0000013S
1.4448,2010-09-03 00:00:00,HF0000013S
1.4867,2010-09-10 00:00:00,HF0000013S
1.4713,2010-09-17 00:00:00,HF0000013S
1.4797,2010-09-30 00:00:00,HF0000013S
1.4582,2010-10-22 00:00:00,HF0000013S
1.502,2010-10-29 00:00:00,HF0000013S
1.5644,2010-11-05 00:00:00,HF0000013S
1.5096,2010-11-12 00:00:00,HF0000013S
1.5307,2010-11-19 00:00:00,HF0000013S
1.5907,2010-11-26 00:00:00,HF0000013S
1.5428,2010-11-30 00:00:00,HF0000013S
1.5156,2010-12-03 00:00:00,HF0000013S
1.5299,2010-12-10 00:00:00,HF0000013S
1.5523,2010-12-17 00:00:00,HF0000013S
1.4716,2010-12-24 00:00:00,HF0000013S
1.4601,2010-12-31 00:00:00,HF0000013S
1.4434,2011-01-07 00:00:00,HF0000013S
1.3853,2011-01-14 00:00:00,HF0000013S
1.3331,2011-01-21 00:00:00,HF0000013S
1.3369,2011-01-31 00:00:00,HF0000013S
1.3594,2011-02-11 00:00:00,HF0000013S
1.3842,2011-02-18 00:00:00,HF0000013S
1.3741,2011-02-25 00:00:00,HF0000013S
1.3977,2011-02-28 00:00:00,HF0000013S
1.415,2011-03-04 00:00:00,HF0000013S
1.4335,2011-03-11 00:00:00,HF0000013S
1.4167,2011-03-18 00:00:00,HF0000013S
1.4326,2011-03-25 00:00:00,HF0000013S
1.3758,2011-03-31 00:00:00,HF0000013S
1.4079,2011-04-08 00:00:00,HF0000013S
1.4167,2011-04-15 00:00:00,HF0000013S
1.465,2011-04-22 00:00:00,HF0000013S
1.4118,2011-04-29 00:00:00,HF0000013S
1.4227,2011-05-06 00:00:00,HF0000013S
1.4264,2011-05-13 00:00:00,HF0000013S
1.4214,2011-05-20 00:00:00,HF0000013S
1.4214,2011-05-27 00:00:00,HF0000013S
1.3747,2011-06-10 00:00:00,HF0000013S
1.3366,2011-06-17 00:00:00,HF0000013S
1.3613,2011-06-24 00:00:00,HF0000013S
1.3807,2011-06-30 00:00:00,HF0000013S
1.3769,2011-07-01 00:00:00,HF0000013S
1.4059,2011-07-08 00:00:00,HF0000013S
1.4348,2011-07-15 00:00:00,HF0000013S
1.4194,2011-07-22 00:00:00,HF0000013S
1.3983,2011-07-29 00:00:00,HF0000013S
1.4,2011-08-05 00:00:00,HF0000013S
1.4097,2011-08-12 00:00:00,HF0000013S
1.3808,2011-08-19 00:00:00,HF0000013S
1.3898,2011-08-26 00:00:00,HF0000013S
1.3763,2011-08-31 00:00:00,HF0000013S
1.3576,2011-09-02 00:00:00,HF0000013S
1.3319,2011-09-09 00:00:00,HF0000013S
1.3212,2011-09-16 00:00:00,HF0000013S
1.2831,2011-09-23 00:00:00,HF0000013S
1.2426,2011-09-30 00:00:00,HF0000013S
1.2678,2011-10-14 00:00:00,HF0000013S
1.2144,2011-10-21 00:00:00,HF0000013S
1.2817,2011-10-28 00:00:00,HF0000013S
1.3089,2011-11-04 00:00:00,HF0000013S
1.2954,2011-11-11 00:00:00,HF0000013S
1.2778,2011-11-18 00:00:00,HF0000013S
1.314,2011-11-25 00:00:00,HF0000013S
1.3052,2011-12-02 00:00:00,HF0000013S
1.2467,2011-12-09 00:00:00,HF0000013S
