value,date,id
1.0,2008-08-01 00:00:00,HF0000014R
2.05,2010-02-26 00:00:00,HF0000014R
1.99,2010-03-31 00:00:00,HF0000014R
1.93,2010-04-30 00:00:00,HF0000014R
2.11,2010-05-31 00:00:00,HF0000014R
2.03,2010-06-30 00:00:00,HF0000014R
2.03,2010-07-30 00:00:00,HF0000014R
2.02,2010-08-31 00:00:00,HF0000014R
2.12,2010-09-30 00:00:00,HF0000014R
2.32,2010-10-29 00:00:00,HF0000014R
2.29,2010-11-30 00:00:00,HF0000014R
2.21,2010-12-31 00:00:00,HF0000014R
2.28,2011-01-28 00:00:00,HF0000014R
2.33,2011-02-28 00:00:00,HF0000014R
2.33,2011-03-31 00:00:00,HF0000014R
2.31,2011-04-29 00:00:00,HF0000014R
2.28,2011-05-31 00:00:00,HF0000014R
2.26,2011-06-30 00:00:00,HF0000014R
2.29,2011-07-31 00:00:00,HF0000014R
2.26,2011-08-31 00:00:00,HF0000014R
2.42,2011-09-30 00:00:00,HF0000014R
2.43,2011-10-31 00:00:00,HF0000014R
2.42,2011-11-30 00:00:00,HF0000014R
2.4,2011-12-30 00:00:00,HF0000014R
2.39,2012-01-31 00:00:00,HF0000014R
2.38,2012-02-29 00:00:00,HF0000014R
2.39,2012-03-30 00:00:00,HF0000014R
2.39,2012-04-27 00:00:00,HF0000014R
2.39,2012-05-25 00:00:00,HF0000014R
