value,date,id
1.0,2007-08-11 00:00:00,HF0000014T
3.85,2010-02-26 00:00:00,HF0000014T
3.75,2010-03-31 00:00:00,HF0000014T
3.74,2010-04-30 00:00:00,HF0000014T
3.91,2010-05-31 00:00:00,HF0000014T
3.51,2010-06-30 00:00:00,HF0000014T
3.37,2010-07-30 00:00:00,HF0000014T
3.37,2010-08-31 00:00:00,HF0000014T
3.19,2010-09-30 00:00:00,HF0000014T
3.35,2010-10-29 00:00:00,HF0000014T
3.68,2010-11-30 00:00:00,HF0000014T
4.08,2010-12-31 00:00:00,HF0000014T
4.21,2011-01-28 00:00:00,HF0000014T
3.88,2011-02-28 00:00:00,HF0000014T
3.91,2011-03-31 00:00:00,HF0000014T
3.71,2011-04-29 00:00:00,HF0000014T
3.74,2011-05-31 00:00:00,HF0000014T
3.81,2011-06-30 00:00:00,HF0000014T
3.85,2011-07-31 00:00:00,HF0000014T
3.86,2011-08-31 00:00:00,HF0000014T
3.85,2011-09-30 00:00:00,HF0000014T
3.84,2011-10-31 00:00:00,HF0000014T
3.87,2011-11-30 00:00:00,HF0000014T
4.08,2011-12-30 00:00:00,HF0000014T
3.88,2012-01-31 00:00:00,HF0000014T
3.8,2012-02-29 00:00:00,HF0000014T
3.83,2012-03-30 00:00:00,HF0000014T
3.97,2012-04-27 00:00:00,HF0000014T
4.31,2012-05-25 00:00:00,HF0000014T
4.29,2012-06-30 00:00:00,HF0000014T
4.319,2012-07-31 00:00:00,HF0000014T
4.535,2012-08-31 00:00:00,HF0000014T
4.319,2012-09-30 00:00:00,HF0000014T
5.23,2012-10-31 00:00:00,HF0000014T
5.281,2012-11-30 00:00:00,HF0000014T
5.26,2012-12-31 00:00:00,HF0000014T
