value,date,id
1.0,2011-04-29 00:00:00,HF0000018P
0.9999,2011-05-10 00:00:00,HF0000018P
0.9822,2011-05-20 00:00:00,HF0000018P
0.9383,2011-05-27 00:00:00,HF0000018P
0.9542,2011-06-03 00:00:00,HF0000018P
0.9555,2011-06-10 00:00:00,HF0000018P
0.9389,2011-06-17 00:00:00,HF0000018P
0.9548,2011-06-24 00:00:00,HF0000018P
0.9666,2011-07-01 00:00:00,HF0000018P
0.9892,2011-07-08 00:00:00,HF0000018P
1.0077,2011-07-15 00:00:00,HF0000018P
1.0082,2011-07-22 00:00:00,HF0000018P
1.0026,2011-07-29 00:00:00,HF0000018P
0.976,2011-08-05 00:00:00,HF0000018P
0.9392,2011-08-10 00:00:00,HF0000018P
0.9163,2011-08-12 00:00:00,HF0000018P
0.9365,2011-08-19 00:00:00,HF0000018P
0.9514,2011-08-26 00:00:00,HF0000018P
0.9405,2011-09-02 00:00:00,HF0000018P
0.9223,2011-09-09 00:00:00,HF0000018P
0.9173,2011-09-16 00:00:00,HF0000018P
0.908,2011-09-23 00:00:00,HF0000018P
0.8867,2011-10-10 00:00:00,HF0000018P
0.8605,2011-10-21 00:00:00,HF0000018P
0.8685,2011-10-28 00:00:00,HF0000018P
0.8746,2011-11-04 00:00:00,HF0000018P
0.8726,2011-11-10 00:00:00,HF0000018P
0.8708,2011-11-11 00:00:00,HF0000018P
0.8486,2011-11-18 00:00:00,HF0000018P
0.8492,2011-11-25 00:00:00,HF0000018P
0.8444,2011-12-02 00:00:00,HF0000018P
0.8426,2011-12-09 00:00:00,HF0000018P
0.8429,2011-12-16 00:00:00,HF0000018P
0.8409,2011-12-23 00:00:00,HF0000018P
0.8441,2011-12-30 00:00:00,HF0000018P
0.8434,2012-01-06 00:00:00,HF0000018P
0.8454,2012-01-10 00:00:00,HF0000018P
0.8425,2012-01-20 00:00:00,HF0000018P
0.8416,2012-02-03 00:00:00,HF0000018P
0.839,2012-02-10 00:00:00,HF0000018P
0.8449,2012-02-17 00:00:00,HF0000018P
0.8596,2012-02-24 00:00:00,HF0000018P
0.8641,2012-03-02 00:00:00,HF0000018P
0.8726,2012-03-09 00:00:00,HF0000018P
0.8787,2012-03-16 00:00:00,HF0000018P
0.8495,2012-03-23 00:00:00,HF0000018P
0.8245,2012-04-06 00:00:00,HF0000018P
0.8224,2012-04-10 00:00:00,HF0000018P
0.8243,2012-04-13 00:00:00,HF0000018P
0.8299,2012-04-20 00:00:00,HF0000018P
0.8276,2012-04-27 00:00:00,HF0000018P
0.8315,2012-05-04 00:00:00,HF0000018P
0.8298,2012-05-10 00:00:00,HF0000018P
0.83,2012-05-11 00:00:00,HF0000018P
0.8362,2012-05-18 00:00:00,HF0000018P
0.8464,2012-05-25 00:00:00,HF0000018P
0.8529,2012-06-01 00:00:00,HF0000018P
0.8574,2012-06-08 00:00:00,HF0000018P
0.8674,2012-06-15 00:00:00,HF0000018P
0.8534,2012-06-21 00:00:00,HF0000018P
0.8612,2012-06-29 00:00:00,HF0000018P
0.8866,2012-07-06 00:00:00,HF0000018P
0.8796,2012-07-10 00:00:00,HF0000018P
0.8938,2012-07-13 00:00:00,HF0000018P
0.8649,2012-07-20 00:00:00,HF0000018P
0.8417,2012-07-27 00:00:00,HF0000018P
0.8377,2012-08-03 00:00:00,HF0000018P
0.8397,2012-08-10 00:00:00,HF0000018P
0.8308,2012-08-17 00:00:00,HF0000018P
0.8346,2012-08-24 00:00:00,HF0000018P
0.8281,2012-08-31 00:00:00,HF0000018P
0.8333,2012-09-07 00:00:00,HF0000018P
0.8335,2012-09-10 00:00:00,HF0000018P
0.8318,2012-09-14 00:00:00,HF0000018P
0.8236,2012-09-21 00:00:00,HF0000018P
0.8234,2012-09-28 00:00:00,HF0000018P
0.8226,2012-10-10 00:00:00,HF0000018P
0.8226,2012-10-12 00:00:00,HF0000018P
0.8231,2012-10-19 00:00:00,HF0000018P
0.8234,2012-10-26 00:00:00,HF0000018P
0.8239,2012-11-02 00:00:00,HF0000018P
0.8245,2012-11-09 00:00:00,HF0000018P
0.8246,2012-11-16 00:00:00,HF0000018P
0.8251,2012-11-23 00:00:00,HF0000018P
0.8233,2012-11-30 00:00:00,HF0000018P
0.8235,2012-12-07 00:00:00,HF0000018P
0.8218,2012-12-10 00:00:00,HF0000018P
0.8219,2012-12-14 00:00:00,HF0000018P
0.8219,2012-12-21 00:00:00,HF0000018P
0.8231,2012-12-28 00:00:00,HF0000018P
0.8268,2013-01-04 00:00:00,HF0000018P
0.8272,2013-01-10 00:00:00,HF0000018P
0.8229,2013-01-11 00:00:00,HF0000018P
0.8307,2013-01-18 00:00:00,HF0000018P
0.829,2013-01-25 00:00:00,HF0000018P
0.8329,2013-02-01 00:00:00,HF0000018P
0.832,2013-02-08 00:00:00,HF0000018P
0.8153,2013-02-22 00:00:00,HF0000018P
0.8221,2013-03-01 00:00:00,HF0000018P
0.818,2013-03-08 00:00:00,HF0000018P
0.8226,2013-03-15 00:00:00,HF0000018P
0.8398,2013-03-22 00:00:00,HF0000018P
0.8405,2013-03-29 00:00:00,HF0000018P
0.8266,2013-04-03 00:00:00,HF0000018P
0.8204,2013-04-10 00:00:00,HF0000018P
0.8229,2013-04-12 00:00:00,HF0000018P
0.8238,2013-04-19 00:00:00,HF0000018P
0.8158,2013-04-26 00:00:00,HF0000018P
0.8177,2013-05-03 00:00:00,HF0000018P
0.8166,2013-05-10 00:00:00,HF0000018P
0.8192,2013-05-17 00:00:00,HF0000018P
0.8195,2013-05-24 00:00:00,HF0000018P
0.8234,2013-05-31 00:00:00,HF0000018P
0.8164,2013-06-07 00:00:00,HF0000018P
0.8164,2013-06-09 00:00:00,HF0000018P
0.8197,2013-06-14 00:00:00,HF0000018P
0.819,2013-06-21 00:00:00,HF0000018P
0.8158,2013-06-28 00:00:00,HF0000018P
0.8185,2013-07-05 00:00:00,HF0000018P
0.8168,2013-07-10 00:00:00,HF0000018P
0.8172,2013-07-12 00:00:00,HF0000018P
0.8156,2013-07-19 00:00:00,HF0000018P
0.8165,2013-07-26 00:00:00,HF0000018P
0.8178,2013-08-02 00:00:00,HF0000018P
0.8133,2013-08-09 00:00:00,HF0000018P
0.8102,2013-08-16 00:00:00,HF0000018P
0.8139,2013-08-23 00:00:00,HF0000018P
0.8131,2013-08-30 00:00:00,HF0000018P
0.8152,2013-09-06 00:00:00,HF0000018P
0.8142,2013-09-10 00:00:00,HF0000018P
0.8126,2013-09-13 00:00:00,HF0000018P
0.8147,2013-09-18 00:00:00,HF0000018P
0.8175,2013-09-27 00:00:00,HF0000018P
0.8179,2013-10-10 00:00:00,HF0000018P
0.8178,2013-10-11 00:00:00,HF0000018P
0.8166,2013-10-18 00:00:00,HF0000018P
0.8137,2013-10-25 00:00:00,HF0000018P
0.8112,2013-11-01 00:00:00,HF0000018P
0.809,2013-11-08 00:00:00,HF0000018P
0.8096,2013-11-15 00:00:00,HF0000018P
0.8109,2013-11-22 00:00:00,HF0000018P
0.8128,2013-11-29 00:00:00,HF0000018P
0.8126,2013-12-06 00:00:00,HF0000018P
0.8119,2013-12-10 00:00:00,HF0000018P
0.8119,2013-12-13 00:00:00,HF0000018P
0.8121,2013-12-20 00:00:00,HF0000018P
0.8152,2013-12-27 00:00:00,HF0000018P
0.8171,2014-01-03 00:00:00,HF0000018P
0.8134,2014-01-10 00:00:00,HF0000018P
0.8165,2014-01-17 00:00:00,HF0000018P
0.8213,2014-01-24 00:00:00,HF0000018P
0.8214,2014-01-30 00:00:00,HF0000018P
0.8248,2014-02-07 00:00:00,HF0000018P
0.8254,2014-02-10 00:00:00,HF0000018P
0.8256,2014-02-14 00:00:00,HF0000018P
0.8252,2014-02-21 00:00:00,HF0000018P
0.8207,2014-02-28 00:00:00,HF0000018P
0.8244,2014-03-07 00:00:00,HF0000018P
0.8184,2014-03-10 00:00:00,HF0000018P
0.8152,2014-03-14 00:00:00,HF0000018P
0.818,2014-03-21 00:00:00,HF0000018P
0.8146,2014-03-28 00:00:00,HF0000018P
0.8155,2014-04-04 00:00:00,HF0000018P
0.8161,2014-04-10 00:00:00,HF0000018P
0.8162,2014-04-11 00:00:00,HF0000018P
0.8178,2014-04-18 00:00:00,HF0000018P
0.814,2014-04-25 00:00:00,HF0000018P
0.8146,2014-04-30 00:00:00,HF0000018P
0.8141,2014-05-09 00:00:00,HF0000018P
0.814,2014-05-16 00:00:00,HF0000018P
0.8146,2014-05-23 00:00:00,HF0000018P
0.816,2014-05-30 00:00:00,HF0000018P
0.8157,2014-06-06 00:00:00,HF0000018P
0.8139,2014-06-10 00:00:00,HF0000018P
0.8137,2014-06-13 00:00:00,HF0000018P
0.8139,2014-06-20 00:00:00,HF0000018P
0.8149,2014-06-27 00:00:00,HF0000018P
0.8153,2014-07-04 00:00:00,HF0000018P
0.8146,2014-07-11 00:00:00,HF0000018P
0.8156,2014-07-18 00:00:00,HF0000018P
0.8158,2014-07-25 00:00:00,HF0000018P
0.8173,2014-08-01 00:00:00,HF0000018P
0.8187,2014-08-08 00:00:00,HF0000018P
0.8231,2014-08-15 00:00:00,HF0000018P
0.8272,2014-08-22 00:00:00,HF0000018P
0.8256,2014-08-29 00:00:00,HF0000018P
0.8312,2014-09-05 00:00:00,HF0000018P
0.8303,2014-09-10 00:00:00,HF0000018P
0.8317,2014-09-12 00:00:00,HF0000018P
0.8312,2014-09-19 00:00:00,HF0000018P
0.8322,2014-09-26 00:00:00,HF0000018P
0.8358,2014-09-30 00:00:00,HF0000018P
0.8332,2014-10-10 00:00:00,HF0000018P
0.8315,2014-10-17 00:00:00,HF0000018P
0.8269,2014-10-24 00:00:00,HF0000018P
0.8335,2014-10-31 00:00:00,HF0000018P
0.8382,2014-11-07 00:00:00,HF0000018P
0.8403,2014-11-10 00:00:00,HF0000018P
0.8337,2014-11-14 00:00:00,HF0000018P
0.8428,2014-11-21 00:00:00,HF0000018P
0.8588,2014-11-28 00:00:00,HF0000018P
0.8806,2014-12-05 00:00:00,HF0000018P
0.8716,2014-12-10 00:00:00,HF0000018P
0.8644,2014-12-12 00:00:00,HF0000018P
0.9061,2014-12-19 00:00:00,HF0000018P
0.905,2014-12-26 00:00:00,HF0000018P
0.9274,2014-12-31 00:00:00,HF0000018P
0.9062,2015-01-09 00:00:00,HF0000018P
0.9616,2015-01-16 00:00:00,HF0000018P
0.9277,2015-01-23 00:00:00,HF0000018P
0.9219,2015-01-30 00:00:00,HF0000018P
0.9812,2015-02-06 00:00:00,HF0000018P
1.0222,2015-02-13 00:00:00,HF0000018P
1.0818,2015-02-17 00:00:00,HF0000018P
1.0634,2015-02-27 00:00:00,HF0000018P
1.1141,2015-03-06 00:00:00,HF0000018P
1.1346,2015-03-10 00:00:00,HF0000018P
1.1808,2015-03-13 00:00:00,HF0000018P
1.2969,2015-03-20 00:00:00,HF0000018P
1.3739,2015-03-27 00:00:00,HF0000018P
1.648,2015-04-03 00:00:00,HF0000018P
1.5832,2015-04-10 00:00:00,HF0000018P
1.3505,2015-04-17 00:00:00,HF0000018P
1.4704,2015-04-24 00:00:00,HF0000018P
1.4863,2015-04-30 00:00:00,HF0000018P
1.4967,2015-05-08 00:00:00,HF0000018P
1.7121,2015-05-15 00:00:00,HF0000018P
1.8795,2015-05-22 00:00:00,HF0000018P
1.839,2015-05-29 00:00:00,HF0000018P
1.9593,2015-06-05 00:00:00,HF0000018P
1.8791,2015-06-10 00:00:00,HF0000018P
1.8813,2015-06-12 00:00:00,HF0000018P
1.7836,2015-06-19 00:00:00,HF0000018P
1.739,2015-06-26 00:00:00,HF0000018P
1.6284,2015-07-03 00:00:00,HF0000018P
1.636,2015-07-10 00:00:00,HF0000018P
1.6918,2015-07-17 00:00:00,HF0000018P
1.667,2015-07-24 00:00:00,HF0000018P
1.6003,2015-07-31 00:00:00,HF0000018P
1.4755,2015-08-07 00:00:00,HF0000018P
