value,date,id
1.0,2010-06-10 00:00:00,HF0000019V
0.9926,2010-06-30 00:00:00,HF0000019V
1.0995,2010-07-31 00:00:00,HF0000019V
1.095,2010-08-31 00:00:00,HF0000019V
1.0982,2010-09-30 00:00:00,HF0000019V
1.2253,2010-10-31 00:00:00,HF0000019V
1.1452,2010-11-30 00:00:00,HF0000019V
1.1069,2010-12-31 00:00:00,HF0000019V
1.0869,2011-01-31 00:00:00,HF0000019V
1.1088,2011-02-28 00:00:00,HF0000019V
1.1331,2011-03-31 00:00:00,HF0000019V
1.155,2011-04-30 00:00:00,HF0000019V
1.1178,2011-05-31 00:00:00,HF0000019V
1.12,2011-06-30 00:00:00,HF0000019V
1.1098,2011-07-31 00:00:00,HF0000019V
1.0934,2011-08-31 00:00:00,HF0000019V
1.0001,2011-09-30 00:00:00,HF0000019V
1.0788,2011-10-31 00:00:00,HF0000019V
1.021,2011-11-30 00:00:00,HF0000019V
1.002,2011-12-31 00:00:00,HF0000019V
1.05,2012-01-31 00:00:00,HF0000019V
1.106,2012-02-29 00:00:00,HF0000019V
1.0608,2012-03-31 00:00:00,HF0000019V
1.1137,2012-04-30 00:00:00,HF0000019V
1.1281,2012-05-31 00:00:00,HF0000019V
1.0753,2012-06-29 00:00:00,HF0000019V
1.0133,2012-07-31 00:00:00,HF0000019V
0.9829,2012-08-31 00:00:00,HF0000019V
1.0493,2012-09-28 00:00:00,HF0000019V
1.0643,2012-10-31 00:00:00,HF0000019V
0.9786,2012-11-30 00:00:00,HF0000019V
1.1369,2012-12-31 00:00:00,HF0000019V
1.1952,2013-01-31 00:00:00,HF0000019V
1.1925,2013-02-28 00:00:00,HF0000019V
1.1968,2013-03-29 00:00:00,HF0000019V
1.1968,2013-03-31 00:00:00,HF0000019V
1.144,2013-04-30 00:00:00,HF0000019V
1.2904,2013-05-31 00:00:00,HF0000019V
1.1144,2013-06-28 00:00:00,HF0000019V
1.1144,2013-06-30 00:00:00,HF0000019V
0.9565,2013-07-31 00:00:00,HF0000019V
1.0878,2013-08-31 00:00:00,HF0000019V
1.171,2013-09-30 00:00:00,HF0000019V
1.1312,2013-10-31 00:00:00,HF0000019V
1.1483,2013-11-30 00:00:00,HF0000019V
0.9655,2013-12-31 00:00:00,HF0000019V
0.8734,2014-01-31 00:00:00,HF0000019V
0.9058,2014-02-28 00:00:00,HF0000019V
0.8355,2014-03-31 00:00:00,HF0000019V
0.8147,2014-04-30 00:00:00,HF0000019V
0.8191,2014-05-31 00:00:00,HF0000019V
0.8251,2014-06-30 00:00:00,HF0000019V
0.9901,2014-07-31 00:00:00,HF0000019V
0.9983,2014-08-31 00:00:00,HF0000019V
1.0532,2014-09-30 00:00:00,HF0000019V
1.0053,2014-10-31 00:00:00,HF0000019V
1.043,2014-11-30 00:00:00,HF0000019V
1.3193,2014-12-31 00:00:00,HF0000019V
1.3441,2015-01-31 00:00:00,HF0000019V
1.4024,2015-02-28 00:00:00,HF0000019V
1.7465,2015-03-31 00:00:00,HF0000019V
2.2467,2015-04-30 00:00:00,HF0000019V
2.6558,2015-05-31 00:00:00,HF0000019V
2.2659,2015-06-30 00:00:00,HF0000019V
1.7702,2015-07-31 00:00:00,HF0000019V
