value,date,id
1.0,2010-08-25 00:00:00,HF000001BZ
1.0166,2010-09-30 00:00:00,HF000001BZ
1.068,2010-10-29 00:00:00,HF000001BZ
1.0884,2010-11-30 00:00:00,HF000001BZ
1.0828,2010-12-31 00:00:00,HF000001BZ
1.0081,2011-01-31 00:00:00,HF000001BZ
1.0335,2011-02-28 00:00:00,HF000001BZ
1.0368,2011-03-04 00:00:00,HF000001BZ
1.0371,2011-03-11 00:00:00,HF000001BZ
1.0289,2011-03-15 00:00:00,HF000001BZ
1.0285,2011-03-18 00:00:00,HF000001BZ
1.0361,2011-03-25 00:00:00,HF000001BZ
1.0205,2011-03-31 00:00:00,HF000001BZ
1.0345,2011-04-01 00:00:00,HF000001BZ
1.0453,2011-04-08 00:00:00,HF000001BZ
1.051,2011-04-15 00:00:00,HF000001BZ
1.0481,2011-04-22 00:00:00,HF000001BZ
1.0246,2011-04-29 00:00:00,HF000001BZ
1.0152,2011-05-06 00:00:00,HF000001BZ
1.0187,2011-05-13 00:00:00,HF000001BZ
1.0195,2011-05-20 00:00:00,HF000001BZ
0.9716,2011-05-27 00:00:00,HF000001BZ
0.975,2011-05-31 00:00:00,HF000001BZ
0.9753,2011-06-03 00:00:00,HF000001BZ
0.9825,2011-06-10 00:00:00,HF000001BZ
0.9739,2011-06-17 00:00:00,HF000001BZ
0.995,2011-06-24 00:00:00,HF000001BZ
1.0029,2011-06-30 00:00:00,HF000001BZ
1.0209,2011-07-08 00:00:00,HF000001BZ
1.0336,2011-07-15 00:00:00,HF000001BZ
1.0241,2011-07-22 00:00:00,HF000001BZ
1.0118,2011-07-29 00:00:00,HF000001BZ
1.0171,2011-08-05 00:00:00,HF000001BZ
1.0234,2011-08-12 00:00:00,HF000001BZ
1.0258,2011-08-15 00:00:00,HF000001BZ
1.0174,2011-08-19 00:00:00,HF000001BZ
1.0236,2011-08-26 00:00:00,HF000001BZ
1.023,2011-08-31 00:00:00,HF000001BZ
1.0162,2011-09-02 00:00:00,HF000001BZ
1.0055,2011-09-09 00:00:00,HF000001BZ
1.0007,2011-09-15 00:00:00,HF000001BZ
0.992,2011-09-23 00:00:00,HF000001BZ
0.9829,2011-09-30 00:00:00,HF000001BZ
0.9765,2011-10-14 00:00:00,HF000001BZ
0.9595,2011-10-21 00:00:00,HF000001BZ
0.9762,2011-10-28 00:00:00,HF000001BZ
0.9753,2011-10-31 00:00:00,HF000001BZ
0.9814,2011-11-04 00:00:00,HF000001BZ
0.9823,2011-11-11 00:00:00,HF000001BZ
0.9867,2011-11-15 00:00:00,HF000001BZ
0.9731,2011-11-18 00:00:00,HF000001BZ
0.9764,2011-11-25 00:00:00,HF000001BZ
0.9783,2011-11-30 00:00:00,HF000001BZ
0.9812,2011-12-02 00:00:00,HF000001BZ
0.971,2011-12-09 00:00:00,HF000001BZ
0.9457,2011-12-15 00:00:00,HF000001BZ
0.9528,2011-12-16 00:00:00,HF000001BZ
0.9479,2011-12-23 00:00:00,HF000001BZ
0.9331,2011-12-30 00:00:00,HF000001BZ
0.9074,2012-01-06 00:00:00,HF000001BZ
0.9092,2012-01-13 00:00:00,HF000001BZ
