value,date,id
1.0,2011-01-31 00:00:00,HF000001CE
1.0034,2011-02-28 00:00:00,HF000001CE
0.9806,2011-03-31 00:00:00,HF000001CE
0.9863,2011-04-29 00:00:00,HF000001CE
0.9554,2011-05-31 00:00:00,HF000001CE
0.9592,2011-06-30 00:00:00,HF000001CE
0.9695,2011-07-29 00:00:00,HF000001CE
0.9553,2011-08-31 00:00:00,HF000001CE
0.8762,2011-09-30 00:00:00,HF000001CE
0.8916,2011-10-31 00:00:00,HF000001CE
0.9029,2011-11-30 00:00:00,HF000001CE
0.8217,2011-12-31 00:00:00,HF000001CE
0.7771,2012-01-31 00:00:00,HF000001CE
0.8189,2012-02-29 00:00:00,HF000001CE
0.7862,2012-03-31 00:00:00,HF000001CE
0.8,2012-04-28 00:00:00,HF000001CE
0.8186,2012-05-31 00:00:00,HF000001CE
0.854,2012-06-29 00:00:00,HF000001CE
0.8332,2012-07-31 00:00:00,HF000001CE
0.8298,2012-08-31 00:00:00,HF000001CE
0.8547,2012-09-29 00:00:00,HF000001CE
0.8782,2012-10-31 00:00:00,HF000001CE
0.7814,2012-11-30 00:00:00,HF000001CE
0.8198,2012-12-31 00:00:00,HF000001CE
0.8692,2013-01-31 00:00:00,HF000001CE
0.9198,2013-02-28 00:00:00,HF000001CE
0.9543,2013-03-29 00:00:00,HF000001CE
0.918,2013-04-28 00:00:00,HF000001CE
1.0316,2013-05-31 00:00:00,HF000001CE
0.9679,2013-06-28 00:00:00,HF000001CE
1.0728,2013-07-31 00:00:00,HF000001CE
1.096,2013-08-30 00:00:00,HF000001CE
1.1608,2013-09-30 00:00:00,HF000001CE
1.1101,2013-10-31 00:00:00,HF000001CE
1.1595,2013-11-29 00:00:00,HF000001CE
1.1518,2013-12-31 00:00:00,HF000001CE
1.2275,2014-01-30 00:00:00,HF000001CE
1.2405,2014-02-28 00:00:00,HF000001CE
1.1879,2014-03-31 00:00:00,HF000001CE
1.1405,2014-04-30 00:00:00,HF000001CE
1.2119,2014-05-30 00:00:00,HF000001CE
1.2402,2014-06-30 00:00:00,HF000001CE
1.2689,2014-07-31 00:00:00,HF000001CE
1.3133,2014-08-29 00:00:00,HF000001CE
1.3812,2014-09-30 00:00:00,HF000001CE
1.392,2014-10-31 00:00:00,HF000001CE
1.448719,2014-11-28 00:00:00,HF000001CE
1.35399,2014-12-31 00:00:00,HF000001CE
1.5043,2015-01-30 00:00:00,HF000001CE
1.651,2015-02-28 00:00:00,HF000001CE
2.0004,2015-03-31 00:00:00,HF000001CE
2.2326,2015-04-30 00:00:00,HF000001CE
2.5834,2015-05-29 00:00:00,HF000001CE
2.1872,2015-06-30 00:00:00,HF000001CE
1.8555,2015-07-31 00:00:00,HF000001CE
