value,date,id
1.0,2011-03-15 00:00:00,HF000001DD
1.0,2011-03-25 00:00:00,HF000001DD
0.9994,2011-04-01 00:00:00,HF000001DD
1.0019,2011-04-08 00:00:00,HF000001DD
1.0064,2011-04-15 00:00:00,HF000001DD
1.0068,2011-04-22 00:00:00,HF000001DD
0.9974,2011-04-29 00:00:00,HF000001DD
0.9971,2011-05-06 00:00:00,HF000001DD
0.9986,2011-05-13 00:00:00,HF000001DD
0.9934,2011-05-20 00:00:00,HF000001DD
0.9827,2011-05-27 00:00:00,HF000001DD
0.9829,2011-06-03 00:00:00,HF000001DD
0.9826,2011-06-10 00:00:00,HF000001DD
0.9806,2011-06-17 00:00:00,HF000001DD
0.9918,2011-06-24 00:00:00,HF000001DD
0.9923,2011-07-01 00:00:00,HF000001DD
1.0064,2011-07-08 00:00:00,HF000001DD
1.0111,2011-07-15 00:00:00,HF000001DD
1.0084,2011-07-22 00:00:00,HF000001DD
1.0027,2011-07-29 00:00:00,HF000001DD
1.0031,2011-08-05 00:00:00,HF000001DD
1.0032,2011-08-12 00:00:00,HF000001DD
0.9949,2011-08-19 00:00:00,HF000001DD
1.0001,2011-08-26 00:00:00,HF000001DD
0.9809,2011-09-02 00:00:00,HF000001DD
0.9741,2011-09-09 00:00:00,HF000001DD
0.9716,2011-09-16 00:00:00,HF000001DD
0.969,2011-09-23 00:00:00,HF000001DD
0.9559,2011-09-30 00:00:00,HF000001DD
0.9586,2011-10-14 00:00:00,HF000001DD
0.9532,2011-10-21 00:00:00,HF000001DD
0.9613,2011-10-28 00:00:00,HF000001DD
0.9684,2011-11-04 00:00:00,HF000001DD
0.9661,2011-11-11 00:00:00,HF000001DD
0.9605,2011-11-18 00:00:00,HF000001DD
0.9495,2011-11-25 00:00:00,HF000001DD
0.9482,2011-12-02 00:00:00,HF000001DD
0.9474,2011-12-09 00:00:00,HF000001DD
0.944,2011-12-16 00:00:00,HF000001DD
0.9423,2011-12-23 00:00:00,HF000001DD
0.9411,2011-12-30 00:00:00,HF000001DD
0.9379,2012-01-06 00:00:00,HF000001DD
0.9384,2012-01-13 00:00:00,HF000001DD
0.939,2012-01-20 00:00:00,HF000001DD
0.9323,2012-01-30 00:00:00,HF000001DD
0.9323,2012-02-03 00:00:00,HF000001DD
0.9363,2012-02-10 00:00:00,HF000001DD
0.9403,2012-02-17 00:00:00,HF000001DD
0.9801,2012-02-24 00:00:00,HF000001DD
0.9675,2012-03-02 00:00:00,HF000001DD
0.961,2012-03-09 00:00:00,HF000001DD
0.9319,2012-03-16 00:00:00,HF000001DD
0.9307,2012-03-23 00:00:00,HF000001DD
0.9306,2012-03-30 00:00:00,HF000001DD
0.9297,2012-04-06 00:00:00,HF000001DD
0.9328,2012-04-13 00:00:00,HF000001DD
0.9463,2012-04-20 00:00:00,HF000001DD
0.9479,2012-04-27 00:00:00,HF000001DD
0.9461,2012-05-04 00:00:00,HF000001DD
0.9438,2012-05-11 00:00:00,HF000001DD
0.9622,2012-05-18 00:00:00,HF000001DD
0.9823,2012-05-25 00:00:00,HF000001DD
0.9949,2012-06-01 00:00:00,HF000001DD
0.9926,2012-06-08 00:00:00,HF000001DD
1.0147,2012-06-15 00:00:00,HF000001DD
0.9883,2012-06-25 00:00:00,HF000001DD
0.9885,2012-06-29 00:00:00,HF000001DD
1.021,2012-07-06 00:00:00,HF000001DD
1.0273,2012-07-13 00:00:00,HF000001DD
1.0039,2012-07-20 00:00:00,HF000001DD
1.0003,2012-07-27 00:00:00,HF000001DD
0.9977,2012-08-03 00:00:00,HF000001DD
1.0052,2012-08-10 00:00:00,HF000001DD
0.9913,2012-08-17 00:00:00,HF000001DD
0.9888,2012-08-24 00:00:00,HF000001DD
0.9602,2012-08-31 00:00:00,HF000001DD
0.9738,2012-09-07 00:00:00,HF000001DD
0.968,2012-09-14 00:00:00,HF000001DD
0.9483,2012-09-21 00:00:00,HF000001DD
0.9527,2012-09-28 00:00:00,HF000001DD
0.9521,2012-10-08 00:00:00,HF000001DD
0.9521,2012-10-12 00:00:00,HF000001DD
0.9544,2012-10-19 00:00:00,HF000001DD
0.9377,2012-10-26 00:00:00,HF000001DD
0.946,2012-11-02 00:00:00,HF000001DD
0.9316,2012-11-09 00:00:00,HF000001DD
0.9308,2012-11-16 00:00:00,HF000001DD
0.9284,2012-11-23 00:00:00,HF000001DD
0.9229,2012-11-30 00:00:00,HF000001DD
0.9249,2012-12-07 00:00:00,HF000001DD
