value,date,id
1.0,2011-04-29 00:00:00,HF000001GH
1.0,2011-05-06 00:00:00,HF000001GH
0.9986,2011-05-13 00:00:00,HF000001GH
0.9944,2011-05-20 00:00:00,HF000001GH
0.9715,2011-05-27 00:00:00,HF000001GH
0.9849,2011-06-03 00:00:00,HF000001GH
0.9906,2011-06-10 00:00:00,HF000001GH
0.9942,2011-06-15 00:00:00,HF000001GH
0.9846,2011-06-17 00:00:00,HF000001GH
1.012,2011-06-24 00:00:00,HF000001GH
1.0226,2011-07-01 00:00:00,HF000001GH
1.0332,2011-07-08 00:00:00,HF000001GH
1.033,2011-07-15 00:00:00,HF000001GH
1.0123,2011-07-22 00:00:00,HF000001GH
1.006,2011-07-29 00:00:00,HF000001GH
1.0083,2011-08-05 00:00:00,HF000001GH
1.0243,2011-08-12 00:00:00,HF000001GH
1.0215,2011-08-15 00:00:00,HF000001GH
0.9927,2011-08-19 00:00:00,HF000001GH
1.011,2011-08-26 00:00:00,HF000001GH
0.9762,2011-09-02 00:00:00,HF000001GH
0.9703,2011-09-09 00:00:00,HF000001GH
0.9661,2011-09-16 00:00:00,HF000001GH
0.9401,2011-09-23 00:00:00,HF000001GH
0.9096,2011-09-30 00:00:00,HF000001GH
0.9247,2011-10-14 00:00:00,HF000001GH
0.8662,2011-10-21 00:00:00,HF000001GH
0.9104,2011-10-28 00:00:00,HF000001GH
0.9388,2011-11-04 00:00:00,HF000001GH
0.9146,2011-11-11 00:00:00,HF000001GH
0.9431,2011-11-15 00:00:00,HF000001GH
0.8938,2011-11-18 00:00:00,HF000001GH
0.8818,2011-11-25 00:00:00,HF000001GH
0.8891,2011-12-02 00:00:00,HF000001GH
0.8584,2011-12-09 00:00:00,HF000001GH
0.7841,2011-12-15 00:00:00,HF000001GH
0.7966,2011-12-16 00:00:00,HF000001GH
0.7945,2011-12-23 00:00:00,HF000001GH
0.7861,2011-12-30 00:00:00,HF000001GH
0.7458,2012-01-06 00:00:00,HF000001GH
0.7686,2012-01-13 00:00:00,HF000001GH
0.7683,2012-01-20 00:00:00,HF000001GH
0.7801,2012-02-03 00:00:00,HF000001GH
0.7926,2012-02-10 00:00:00,HF000001GH
0.8055,2012-02-15 00:00:00,HF000001GH
0.8074,2012-02-17 00:00:00,HF000001GH
0.8191,2012-02-24 00:00:00,HF000001GH
0.8214,2012-03-02 00:00:00,HF000001GH
0.8362,2012-03-09 00:00:00,HF000001GH
0.8537,2012-03-16 00:00:00,HF000001GH
0.8184,2012-03-23 00:00:00,HF000001GH
0.7705,2012-03-30 00:00:00,HF000001GH
0.7839,2012-04-06 00:00:00,HF000001GH
0.7849,2012-04-13 00:00:00,HF000001GH
0.7915,2012-04-20 00:00:00,HF000001GH
0.7764,2012-04-27 00:00:00,HF000001GH
0.7877,2012-05-04 00:00:00,HF000001GH
