value,date,id
1.0,2011-04-15 00:00:00,HF000001KJ
0.9996,2011-04-22 00:00:00,HF000001KJ
0.9983,2011-04-29 00:00:00,HF000001KJ
0.998,2011-05-05 00:00:00,HF000001KJ
0.9979,2011-05-06 00:00:00,HF000001KJ
0.9976,2011-05-13 00:00:00,HF000001KJ
0.9973,2011-05-20 00:00:00,HF000001KJ
0.9784,2011-05-27 00:00:00,HF000001KJ
0.9979,2011-06-03 00:00:00,HF000001KJ
0.9928,2011-06-10 00:00:00,HF000001KJ
0.9843,2011-06-17 00:00:00,HF000001KJ
0.9887,2011-06-24 00:00:00,HF000001KJ
0.9887,2011-06-30 00:00:00,HF000001KJ
1.0038,2011-07-08 00:00:00,HF000001KJ
1.0187,2011-07-15 00:00:00,HF000001KJ
1.0136,2011-07-22 00:00:00,HF000001KJ
1.0097,2011-07-29 00:00:00,HF000001KJ
1.0185,2011-08-05 00:00:00,HF000001KJ
1.0217,2011-08-12 00:00:00,HF000001KJ
1.0217,2011-08-15 00:00:00,HF000001KJ
1.0189,2011-08-19 00:00:00,HF000001KJ
1.0171,2011-08-26 00:00:00,HF000001KJ
1.0124,2011-09-02 00:00:00,HF000001KJ
1.0095,2011-09-05 00:00:00,HF000001KJ
1.009,2011-09-16 00:00:00,HF000001KJ
1.0123,2011-09-23 00:00:00,HF000001KJ
1.0079,2011-09-30 00:00:00,HF000001KJ
1.0058,2011-10-14 00:00:00,HF000001KJ
0.9987,2011-10-21 00:00:00,HF000001KJ
0.9988,2011-10-28 00:00:00,HF000001KJ
0.9917,2011-11-04 00:00:00,HF000001KJ
0.997,2011-11-11 00:00:00,HF000001KJ
0.997,2011-11-15 00:00:00,HF000001KJ
0.9999,2011-11-18 00:00:00,HF000001KJ
1.0006,2011-11-25 00:00:00,HF000001KJ
0.9921,2011-12-02 00:00:00,HF000001KJ
0.9903,2011-12-09 00:00:00,HF000001KJ
1.0003,2011-12-16 00:00:00,HF000001KJ
1.0015,2011-12-23 00:00:00,HF000001KJ
1.0031,2011-12-30 00:00:00,HF000001KJ
0.9987,2012-01-06 00:00:00,HF000001KJ
0.9891,2012-01-13 00:00:00,HF000001KJ
0.9836,2012-01-20 00:00:00,HF000001KJ
0.9881,2012-02-03 00:00:00,HF000001KJ
0.9973,2012-02-10 00:00:00,HF000001KJ
0.9978,2012-02-17 00:00:00,HF000001KJ
1.0127,2012-02-24 00:00:00,HF000001KJ
1.0152,2012-03-02 00:00:00,HF000001KJ
1.0248,2012-03-09 00:00:00,HF000001KJ
1.0197,2012-03-16 00:00:00,HF000001KJ
1.0186,2012-03-23 00:00:00,HF000001KJ
1.0217,2012-03-30 00:00:00,HF000001KJ
1.0232,2012-04-06 00:00:00,HF000001KJ
1.0247,2012-04-13 00:00:00,HF000001KJ
1.0262,2012-04-20 00:00:00,HF000001KJ
1.0103,2012-04-27 00:00:00,HF000001KJ
1.0108,2012-05-04 00:00:00,HF000001KJ
1.0125,2012-05-07 00:00:00,HF000001KJ
1.0163,2012-05-11 00:00:00,HF000001KJ
1.0275,2012-05-18 00:00:00,HF000001KJ
1.0235,2012-05-25 00:00:00,HF000001KJ
1.0279,2012-06-01 00:00:00,HF000001KJ
1.0284,2012-06-08 00:00:00,HF000001KJ
1.0328,2012-06-15 00:00:00,HF000001KJ
1.0345,2012-06-29 00:00:00,HF000001KJ
1.0466,2012-07-06 00:00:00,HF000001KJ
1.0505,2012-07-13 00:00:00,HF000001KJ
1.0503,2012-07-20 00:00:00,HF000001KJ
1.0449,2012-07-27 00:00:00,HF000001KJ
1.0504,2012-08-03 00:00:00,HF000001KJ
1.0581,2012-08-10 00:00:00,HF000001KJ
1.0641,2012-08-17 00:00:00,HF000001KJ
1.0664,2012-08-24 00:00:00,HF000001KJ
1.0649,2012-08-31 00:00:00,HF000001KJ
1.0689,2012-09-05 00:00:00,HF000001KJ
1.0571,2012-09-07 00:00:00,HF000001KJ
1.0551,2012-09-14 00:00:00,HF000001KJ
1.0521,2012-09-21 00:00:00,HF000001KJ
1.0322,2012-09-28 00:00:00,HF000001KJ
1.0428,2012-10-12 00:00:00,HF000001KJ
1.0508,2012-10-19 00:00:00,HF000001KJ
1.05,2012-10-26 00:00:00,HF000001KJ
1.0638,2012-11-02 00:00:00,HF000001KJ
1.063,2012-11-05 00:00:00,HF000001KJ
1.0649,2012-11-09 00:00:00,HF000001KJ
1.0675,2012-11-16 00:00:00,HF000001KJ
1.0673,2012-11-23 00:00:00,HF000001KJ
1.0532,2012-11-30 00:00:00,HF000001KJ
1.0445,2012-12-07 00:00:00,HF000001KJ
1.0299,2012-12-14 00:00:00,HF000001KJ
1.0393,2012-12-21 00:00:00,HF000001KJ
1.0551,2012-12-28 00:00:00,HF000001KJ
1.0446,2013-01-04 00:00:00,HF000001KJ
1.0585,2013-01-11 00:00:00,HF000001KJ
1.0703,2013-01-18 00:00:00,HF000001KJ
1.0533,2013-01-25 00:00:00,HF000001KJ
1.0451,2013-02-01 00:00:00,HF000001KJ
1.0438,2013-02-08 00:00:00,HF000001KJ
1.0819,2013-02-22 00:00:00,HF000001KJ
1.079,2013-03-01 00:00:00,HF000001KJ
1.0886,2013-03-08 00:00:00,HF000001KJ
1.0911,2013-03-15 00:00:00,HF000001KJ
1.0851,2013-03-22 00:00:00,HF000001KJ
1.0971,2013-03-29 00:00:00,HF000001KJ
1.0885,2013-04-03 00:00:00,HF000001KJ
1.0919,2013-04-12 00:00:00,HF000001KJ
1.0882,2013-04-19 00:00:00,HF000001KJ
1.0883,2013-04-26 00:00:00,HF000001KJ
1.0866,2013-05-03 00:00:00,HF000001KJ
1.0841,2013-05-06 00:00:00,HF000001KJ
1.0886,2013-05-10 00:00:00,HF000001KJ
1.0978,2013-05-17 00:00:00,HF000001KJ
1.1016,2013-05-24 00:00:00,HF000001KJ
1.0997,2013-05-31 00:00:00,HF000001KJ
1.0986,2013-06-07 00:00:00,HF000001KJ
1.11,2013-06-14 00:00:00,HF000001KJ
1.1033,2013-06-21 00:00:00,HF000001KJ
1.1161,2013-06-28 00:00:00,HF000001KJ
1.1174,2013-07-05 00:00:00,HF000001KJ
1.1398,2013-07-12 00:00:00,HF000001KJ
1.142,2013-07-19 00:00:00,HF000001KJ
1.1531,2013-07-26 00:00:00,HF000001KJ
1.1536,2013-08-02 00:00:00,HF000001KJ
1.1655,2013-08-09 00:00:00,HF000001KJ
1.145,2013-08-16 00:00:00,HF000001KJ
1.1571,2013-08-23 00:00:00,HF000001KJ
1.1595,2013-08-30 00:00:00,HF000001KJ
1.1382,2013-09-05 00:00:00,HF000001KJ
1.1393,2013-09-06 00:00:00,HF000001KJ
1.1131,2013-09-13 00:00:00,HF000001KJ
1.13,2013-09-18 00:00:00,HF000001KJ
1.1459,2013-09-27 00:00:00,HF000001KJ
1.1502,2013-09-30 00:00:00,HF000001KJ
1.1574,2013-10-11 00:00:00,HF000001KJ
1.1639,2013-10-18 00:00:00,HF000001KJ
1.1767,2013-10-25 00:00:00,HF000001KJ
1.1634,2013-11-01 00:00:00,HF000001KJ
1.1651,2013-11-05 00:00:00,HF000001KJ
1.1599,2013-11-08 00:00:00,HF000001KJ
1.1635,2013-11-15 00:00:00,HF000001KJ
1.163,2013-11-22 00:00:00,HF000001KJ
1.1639,2013-11-29 00:00:00,HF000001KJ
1.1747,2013-12-06 00:00:00,HF000001KJ
1.1947,2013-12-13 00:00:00,HF000001KJ
1.1913,2013-12-20 00:00:00,HF000001KJ
1.1911,2013-12-27 00:00:00,HF000001KJ
1.1937,2014-01-03 00:00:00,HF000001KJ
1.1782,2014-01-10 00:00:00,HF000001KJ
1.1851,2014-01-17 00:00:00,HF000001KJ
1.2057,2014-01-24 00:00:00,HF000001KJ
1.2183,2014-01-30 00:00:00,HF000001KJ
1.2252,2014-02-07 00:00:00,HF000001KJ
1.2217,2014-02-14 00:00:00,HF000001KJ
1.2308,2014-02-21 00:00:00,HF000001KJ
1.2255,2014-02-28 00:00:00,HF000001KJ
1.2393,2014-03-07 00:00:00,HF000001KJ
1.2395,2014-03-14 00:00:00,HF000001KJ
1.2309,2014-03-21 00:00:00,HF000001KJ
1.2209,2014-03-28 00:00:00,HF000001KJ
1.2281,2014-04-04 00:00:00,HF000001KJ
1.2142,2014-04-11 00:00:00,HF000001KJ
1.2234,2014-04-18 00:00:00,HF000001KJ
1.2012,2014-04-25 00:00:00,HF000001KJ
1.2067,2014-04-30 00:00:00,HF000001KJ
1.2036,2014-05-05 00:00:00,HF000001KJ
1.1909,2014-05-09 00:00:00,HF000001KJ
1.1881,2014-05-16 00:00:00,HF000001KJ
1.1914,2014-05-23 00:00:00,HF000001KJ
1.1835,2014-05-30 00:00:00,HF000001KJ
1.1839,2014-06-06 00:00:00,HF000001KJ
1.1796,2014-06-13 00:00:00,HF000001KJ
1.1734,2014-06-20 00:00:00,HF000001KJ
1.1855,2014-06-27 00:00:00,HF000001KJ
1.1969,2014-07-04 00:00:00,HF000001KJ
1.2098,2014-07-11 00:00:00,HF000001KJ
1.2235,2014-07-18 00:00:00,HF000001KJ
1.2002,2014-07-25 00:00:00,HF000001KJ
1.178,2014-08-01 00:00:00,HF000001KJ
1.1852,2014-08-08 00:00:00,HF000001KJ
1.1983,2014-08-15 00:00:00,HF000001KJ
1.2026,2014-08-22 00:00:00,HF000001KJ
1.1976,2014-08-29 00:00:00,HF000001KJ
1.1819,2014-09-05 00:00:00,HF000001KJ
1.2051,2014-09-12 00:00:00,HF000001KJ
1.2036,2014-09-19 00:00:00,HF000001KJ
1.2221,2014-09-26 00:00:00,HF000001KJ
1.2361,2014-09-30 00:00:00,HF000001KJ
1.248,2014-10-10 00:00:00,HF000001KJ
1.2447,2014-10-17 00:00:00,HF000001KJ
1.2394,2014-10-24 00:00:00,HF000001KJ
1.2455,2014-10-31 00:00:00,HF000001KJ
1.2413,2014-11-05 00:00:00,HF000001KJ
1.237,2014-11-07 00:00:00,HF000001KJ
1.2194,2014-11-14 00:00:00,HF000001KJ
1.2238,2014-11-21 00:00:00,HF000001KJ
1.1924,2014-11-28 00:00:00,HF000001KJ
1.1184,2014-12-05 00:00:00,HF000001KJ
1.1359,2014-12-12 00:00:00,HF000001KJ
1.0985,2014-12-19 00:00:00,HF000001KJ
1.0998,2014-12-26 00:00:00,HF000001KJ
1.0848,2014-12-31 00:00:00,HF000001KJ
1.0995,2015-01-09 00:00:00,HF000001KJ
1.0992,2015-01-16 00:00:00,HF000001KJ
1.1132,2015-01-23 00:00:00,HF000001KJ
1.1266,2015-01-30 00:00:00,HF000001KJ
1.1281,2015-02-05 00:00:00,HF000001KJ
1.1353,2015-02-06 00:00:00,HF000001KJ
1.1443,2015-02-13 00:00:00,HF000001KJ
1.1485,2015-02-17 00:00:00,HF000001KJ
1.1578,2015-02-27 00:00:00,HF000001KJ
1.1916,2015-03-06 00:00:00,HF000001KJ
1.1903,2015-03-13 00:00:00,HF000001KJ
1.1882,2015-03-20 00:00:00,HF000001KJ
1.2081,2015-03-27 00:00:00,HF000001KJ
1.2143,2015-04-03 00:00:00,HF000001KJ
1.1909,2015-04-10 00:00:00,HF000001KJ
1.1528,2015-04-17 00:00:00,HF000001KJ
1.1825,2015-04-24 00:00:00,HF000001KJ
1.1772,2015-04-30 00:00:00,HF000001KJ
1.1793,2015-05-05 00:00:00,HF000001KJ
1.1574,2015-05-08 00:00:00,HF000001KJ
1.1589,2015-05-15 00:00:00,HF000001KJ
1.1813,2015-05-22 00:00:00,HF000001KJ
1.2222,2015-05-29 00:00:00,HF000001KJ
1.2403,2015-06-05 00:00:00,HF000001KJ
1.2615,2015-06-12 00:00:00,HF000001KJ
1.2638,2015-06-19 00:00:00,HF000001KJ
1.3053,2015-06-26 00:00:00,HF000001KJ
1.3043,2015-07-03 00:00:00,HF000001KJ
1.2859,2015-07-10 00:00:00,HF000001KJ
1.3073,2015-07-17 00:00:00,HF000001KJ
1.3044,2015-07-24 00:00:00,HF000001KJ
1.3075,2015-07-31 00:00:00,HF000001KJ
1.3071,2015-08-07 00:00:00,HF000001KJ
