value,date,id
1.0,2011-05-11 00:00:00,HF000001LW
0.9965,2011-05-13 00:00:00,HF000001LW
0.9867,2011-05-20 00:00:00,HF000001LW
0.9801,2011-05-27 00:00:00,HF000001LW
0.9824,2011-05-31 00:00:00,HF000001LW
0.9826,2011-06-03 00:00:00,HF000001LW
0.9804,2011-06-10 00:00:00,HF000001LW
0.9745,2011-06-17 00:00:00,HF000001LW
0.9789,2011-06-25 00:00:00,HF000001LW
0.9899,2011-06-30 00:00:00,HF000001LW
0.9905,2011-07-01 00:00:00,HF000001LW
1.004,2011-07-08 00:00:00,HF000001LW
1.0037,2011-07-15 00:00:00,HF000001LW
1.002,2011-07-22 00:00:00,HF000001LW
1.0112,2011-07-29 00:00:00,HF000001LW
1.0004,2011-08-05 00:00:00,HF000001LW
1.0223,2011-08-12 00:00:00,HF000001LW
0.9995,2011-08-19 00:00:00,HF000001LW
0.9968,2011-08-26 00:00:00,HF000001LW
0.9861,2011-08-31 00:00:00,HF000001LW
0.9845,2011-09-02 00:00:00,HF000001LW
0.9792,2011-09-09 00:00:00,HF000001LW
0.977,2011-09-16 00:00:00,HF000001LW
0.9726,2011-09-23 00:00:00,HF000001LW
0.9732,2011-09-30 00:00:00,HF000001LW
0.98,2011-10-14 00:00:00,HF000001LW
0.9799,2011-10-21 00:00:00,HF000001LW
0.9937,2011-10-28 00:00:00,HF000001LW
0.9932,2011-10-31 00:00:00,HF000001LW
0.9932,2011-11-04 00:00:00,HF000001LW
0.9831,2011-11-11 00:00:00,HF000001LW
0.963,2011-11-18 00:00:00,HF000001LW
0.9633,2011-11-25 00:00:00,HF000001LW
0.9538,2011-11-30 00:00:00,HF000001LW
0.954,2011-12-02 00:00:00,HF000001LW
0.9437,2011-12-09 00:00:00,HF000001LW
0.9342,2011-12-16 00:00:00,HF000001LW
0.9181,2011-12-23 00:00:00,HF000001LW
0.9167,2011-12-30 00:00:00,HF000001LW
0.8814,2012-01-06 00:00:00,HF000001LW
0.8864,2012-01-13 00:00:00,HF000001LW
0.8883,2012-01-20 00:00:00,HF000001LW
0.8833,2012-01-31 00:00:00,HF000001LW
0.8935,2012-02-03 00:00:00,HF000001LW
0.9025,2012-02-10 00:00:00,HF000001LW
0.8983,2012-02-17 00:00:00,HF000001LW
0.9371,2012-02-24 00:00:00,HF000001LW
0.9257,2012-02-29 00:00:00,HF000001LW
0.9524,2012-03-02 00:00:00,HF000001LW
0.9567,2012-03-09 00:00:00,HF000001LW
0.9426,2012-03-16 00:00:00,HF000001LW
0.9178,2012-03-23 00:00:00,HF000001LW
0.9015,2012-03-30 00:00:00,HF000001LW
0.9164,2012-04-06 00:00:00,HF000001LW
0.9373,2012-04-13 00:00:00,HF000001LW
0.9471,2012-04-20 00:00:00,HF000001LW
0.9256,2012-04-27 00:00:00,HF000001LW
0.9459,2012-05-04 00:00:00,HF000001LW
0.9224,2012-05-11 00:00:00,HF000001LW
0.9221,2012-05-18 00:00:00,HF000001LW
0.9294,2012-05-25 00:00:00,HF000001LW
0.9487,2012-05-31 00:00:00,HF000001LW
0.9517,2012-06-01 00:00:00,HF000001LW
0.929,2012-06-08 00:00:00,HF000001LW
0.953,2012-06-15 00:00:00,HF000001LW
0.9402,2012-06-21 00:00:00,HF000001LW
0.9547,2012-06-29 00:00:00,HF000001LW
0.9945,2012-07-06 00:00:00,HF000001LW
1.0083,2012-07-13 00:00:00,HF000001LW
0.9727,2012-07-20 00:00:00,HF000001LW
0.9533,2012-07-27 00:00:00,HF000001LW
0.9427,2012-07-31 00:00:00,HF000001LW
0.9847,2012-08-03 00:00:00,HF000001LW
1.0196,2012-08-10 00:00:00,HF000001LW
0.9808,2012-08-17 00:00:00,HF000001LW
0.9802,2012-08-24 00:00:00,HF000001LW
0.9695,2012-08-31 00:00:00,HF000001LW
1.0085,2012-09-07 00:00:00,HF000001LW
0.9868,2012-09-14 00:00:00,HF000001LW
0.9693,2012-09-21 00:00:00,HF000001LW
0.9718,2012-09-28 00:00:00,HF000001LW
0.9796,2012-10-12 00:00:00,HF000001LW
0.9904,2012-10-19 00:00:00,HF000001LW
0.9533,2012-10-26 00:00:00,HF000001LW
0.9626,2012-10-31 00:00:00,HF000001LW
0.9704,2012-11-02 00:00:00,HF000001LW
0.9472,2012-11-09 00:00:00,HF000001LW
0.9462,2012-11-16 00:00:00,HF000001LW
0.9445,2012-11-23 00:00:00,HF000001LW
0.9454,2012-11-30 00:00:00,HF000001LW
0.9673,2012-12-07 00:00:00,HF000001LW
1.0045,2012-12-14 00:00:00,HF000001LW
1.0022,2012-12-21 00:00:00,HF000001LW
1.0496,2012-12-31 00:00:00,HF000001LW
1.0509,2013-01-04 00:00:00,HF000001LW
1.0455,2013-01-11 00:00:00,HF000001LW
1.0937,2013-01-18 00:00:00,HF000001LW
1.0787,2013-01-25 00:00:00,HF000001LW
1.0912,2013-01-31 00:00:00,HF000001LW
1.1119,2013-02-01 00:00:00,HF000001LW
1.1393,2013-02-08 00:00:00,HF000001LW
1.0735,2013-02-22 00:00:00,HF000001LW
1.0853,2013-02-28 00:00:00,HF000001LW
1.0954,2013-03-01 00:00:00,HF000001LW
1.0782,2013-03-08 00:00:00,HF000001LW
1.0619,2013-03-15 00:00:00,HF000001LW
1.0794,2013-03-22 00:00:00,HF000001LW
1.0685,2013-03-29 00:00:00,HF000001LW
1.0315,2013-04-03 00:00:00,HF000001LW
1.0157,2013-04-12 00:00:00,HF000001LW
1.016,2013-04-19 00:00:00,HF000001LW
1.0106,2013-04-26 00:00:00,HF000001LW
1.0362,2013-05-03 00:00:00,HF000001LW
1.0688,2013-05-10 00:00:00,HF000001LW
1.1075,2013-05-17 00:00:00,HF000001LW
1.1381,2013-05-24 00:00:00,HF000001LW
1.1713,2013-05-31 00:00:00,HF000001LW
1.113,2013-06-07 00:00:00,HF000001LW
1.0916,2013-06-14 00:00:00,HF000001LW
1.0743,2013-06-21 00:00:00,HF000001LW
1.0471,2013-06-28 00:00:00,HF000001LW
1.0686,2013-07-05 00:00:00,HF000001LW
1.0948,2013-07-12 00:00:00,HF000001LW
1.0804,2013-07-19 00:00:00,HF000001LW
1.083,2013-07-26 00:00:00,HF000001LW
1.0543,2013-07-31 00:00:00,HF000001LW
1.0764,2013-08-02 00:00:00,HF000001LW
1.1089,2013-08-09 00:00:00,HF000001LW
1.0705,2013-08-16 00:00:00,HF000001LW
1.1157,2013-08-23 00:00:00,HF000001LW
1.0916,2013-08-30 00:00:00,HF000001LW
1.1326,2013-09-06 00:00:00,HF000001LW
1.082,2013-09-13 00:00:00,HF000001LW
1.0964,2013-09-18 00:00:00,HF000001LW
1.1209,2013-09-27 00:00:00,HF000001LW
1.1348,2013-09-30 00:00:00,HF000001LW
1.1303,2013-10-11 00:00:00,HF000001LW
1.0717,2013-10-18 00:00:00,HF000001LW
1.0286,2013-10-25 00:00:00,HF000001LW
1.0238,2013-10-31 00:00:00,HF000001LW
1.0234,2013-11-01 00:00:00,HF000001LW
0.9829,2013-11-08 00:00:00,HF000001LW
0.9908,2013-11-15 00:00:00,HF000001LW
0.9928,2013-11-22 00:00:00,HF000001LW
1.0039,2013-11-29 00:00:00,HF000001LW
0.9867,2013-12-06 00:00:00,HF000001LW
0.9866,2013-12-13 00:00:00,HF000001LW
0.9867,2013-12-20 00:00:00,HF000001LW
0.9884,2013-12-27 00:00:00,HF000001LW
0.9884,2013-12-31 00:00:00,HF000001LW
0.9883,2014-01-03 00:00:00,HF000001LW
