value,date,id
1.0,2011-03-10 00:00:00,HF000001LX
1.0,2011-03-11 00:00:00,HF000001LX
0.9999,2011-03-14 00:00:00,HF000001LX
0.9984,2011-03-15 00:00:00,HF000001LX
1.0009,2011-03-16 00:00:00,HF000001LX
0.9954,2011-03-17 00:00:00,HF000001LX
0.998,2011-03-18 00:00:00,HF000001LX
0.9955,2011-03-21 00:00:00,HF000001LX
0.9979,2011-03-22 00:00:00,HF000001LX
1.001,2011-03-23 00:00:00,HF000001LX
1.002,2011-03-24 00:00:00,HF000001LX
1.0043,2011-03-25 00:00:00,HF000001LX
0.9987,2011-03-28 00:00:00,HF000001LX
0.9889,2011-03-29 00:00:00,HF000001LX
0.9925,2011-03-30 00:00:00,HF000001LX
0.9913,2011-03-31 00:00:00,HF000001LX
0.9942,2011-04-01 00:00:00,HF000001LX
0.9979,2011-04-06 00:00:00,HF000001LX
1.0063,2011-04-07 00:00:00,HF000001LX
1.0085,2011-04-08 00:00:00,HF000001LX
1.0037,2011-04-11 00:00:00,HF000001LX
1.0008,2011-04-12 00:00:00,HF000001LX
1.0115,2011-04-13 00:00:00,HF000001LX
1.0075,2011-04-14 00:00:00,HF000001LX
1.0078,2011-04-15 00:00:00,HF000001LX
1.0034,2011-04-18 00:00:00,HF000001LX
0.9931,2011-04-19 00:00:00,HF000001LX
0.9902,2011-04-20 00:00:00,HF000001LX
0.9975,2011-04-21 00:00:00,HF000001LX
0.9933,2011-04-22 00:00:00,HF000001LX
0.9882,2011-04-25 00:00:00,HF000001LX
0.9873,2011-04-26 00:00:00,HF000001LX
0.9848,2011-04-27 00:00:00,HF000001LX
0.9675,2011-04-28 00:00:00,HF000001LX
0.9695,2011-04-29 00:00:00,HF000001LX
0.9793,2011-05-03 00:00:00,HF000001LX
0.9661,2011-05-04 00:00:00,HF000001LX
0.9618,2011-05-05 00:00:00,HF000001LX
0.9624,2011-05-06 00:00:00,HF000001LX
0.9629,2011-05-09 00:00:00,HF000001LX
0.9643,2011-05-10 00:00:00,HF000001LX
0.9651,2011-05-11 00:00:00,HF000001LX
0.9593,2011-05-12 00:00:00,HF000001LX
0.9564,2011-05-13 00:00:00,HF000001LX
0.9488,2011-05-16 00:00:00,HF000001LX
0.9504,2011-05-17 00:00:00,HF000001LX
0.9565,2011-05-18 00:00:00,HF000001LX
0.9513,2011-05-19 00:00:00,HF000001LX
0.9481,2011-05-20 00:00:00,HF000001LX
0.9285,2011-05-23 00:00:00,HF000001LX
0.9303,2011-05-24 00:00:00,HF000001LX
0.9204,2011-05-25 00:00:00,HF000001LX
0.9168,2011-05-26 00:00:00,HF000001LX
