value,date,id
1.0,2011-05-26 00:00:00,HF000001MG
1.0,2011-06-20 00:00:00,HF000001MG
1.0168,2011-07-20 00:00:00,HF000001MG
0.9618,2011-08-19 00:00:00,HF000001MG
0.9234,2011-09-20 00:00:00,HF000001MG
0.8667,2011-10-20 00:00:00,HF000001MG
0.8811,2011-11-18 00:00:00,HF000001MG
0.8513,2011-12-20 00:00:00,HF000001MG
0.887,2012-01-20 00:00:00,HF000001MG
0.8905,2012-02-20 00:00:00,HF000001MG
0.9113,2012-03-20 00:00:00,HF000001MG
0.917,2012-04-20 00:00:00,HF000001MG
0.9529,2012-05-18 00:00:00,HF000001MG
0.9542,2012-06-20 00:00:00,HF000001MG
0.9167,2012-07-20 00:00:00,HF000001MG
0.8892,2012-08-20 00:00:00,HF000001MG
0.877,2012-09-20 00:00:00,HF000001MG
0.9145,2012-10-19 00:00:00,HF000001MG
0.863,2012-11-20 00:00:00,HF000001MG
0.9375,2012-12-20 00:00:00,HF000001MG
1.0241,2013-01-18 00:00:00,HF000001MG
1.0375,2013-02-20 00:00:00,HF000001MG
0.9949,2013-03-20 00:00:00,HF000001MG
1.028,2013-04-19 00:00:00,HF000001MG
1.0458,2013-05-20 00:00:00,HF000001MG
0.9707,2013-06-20 00:00:00,HF000001MG
0.9628,2013-07-19 00:00:00,HF000001MG
1.0008,2013-08-20 00:00:00,HF000001MG
1.0603,2013-09-18 00:00:00,HF000001MG
1.2094,2013-10-18 00:00:00,HF000001MG
1.2789,2013-11-20 00:00:00,HF000001MG
1.2637,2013-12-20 00:00:00,HF000001MG
1.1275,2014-03-20 00:00:00,HF000001MG
1.1833,2014-06-20 00:00:00,HF000001MG
1.293,2014-09-19 00:00:00,HF000001MG
1.462123,2014-12-19 00:00:00,HF000001MG
1.6081,2015-03-20 00:00:00,HF000001MG
1.8813,2015-06-19 00:00:00,HF000001MG
