value,date,id
1.0,2011-05-20 00:00:00,HF000001MH
0.8509,2011-12-20 00:00:00,HF000001MH
0.9108,2012-03-20 00:00:00,HF000001MH
0.9535,2012-06-20 00:00:00,HF000001MH
0.8764,2012-09-20 00:00:00,HF000001MH
0.9368,2012-12-20 00:00:00,HF000001MH
0.9941,2013-03-20 00:00:00,HF000001MH
0.9698,2013-06-20 00:00:00,HF000001MH
1.0592,2013-09-18 00:00:00,HF000001MH
1.2622,2013-12-20 00:00:00,HF000001MH
1.1263,2014-03-20 00:00:00,HF000001MH
1.1818,2014-06-20 00:00:00,HF000001MH
1.2912,2014-09-19 00:00:00,HF000001MH
1.459823,2014-12-19 00:00:00,HF000001MH
1.6049,2015-03-20 00:00:00,HF000001MH
1.8764,2015-06-19 00:00:00,HF000001MH
