value,date,id
1.0,2011-06-15 00:00:00,HF000001OH
1.0523,2011-06-24 00:00:00,HF000001OH
1.0534,2011-07-08 00:00:00,HF000001OH
1.0617,2011-07-15 00:00:00,HF000001OH
1.0483,2011-07-20 00:00:00,HF000001OH
1.0524,2011-07-22 00:00:00,HF000001OH
1.0151,2011-07-29 00:00:00,HF000001OH
0.9811,2011-08-05 00:00:00,HF000001OH
0.9847,2011-08-12 00:00:00,HF000001OH
0.9593,2011-08-19 00:00:00,HF000001OH
0.9832,2011-08-26 00:00:00,HF000001OH
0.9615,2011-09-02 00:00:00,HF000001OH
0.9282,2011-09-09 00:00:00,HF000001OH
0.9183,2011-09-16 00:00:00,HF000001OH
0.8908,2011-09-23 00:00:00,HF000001OH
0.8745,2011-09-30 00:00:00,HF000001OH
0.8925,2011-10-14 00:00:00,HF000001OH
0.8584,2011-10-20 00:00:00,HF000001OH
0.857,2011-10-21 00:00:00,HF000001OH
0.9326,2011-10-28 00:00:00,HF000001OH
0.9364,2011-11-04 00:00:00,HF000001OH
0.9086,2011-11-11 00:00:00,HF000001OH
0.8689,2011-11-18 00:00:00,HF000001OH
0.8428,2011-11-25 00:00:00,HF000001OH
0.8361,2011-12-02 00:00:00,HF000001OH
0.8088,2011-12-09 00:00:00,HF000001OH
0.8163,2011-12-16 00:00:00,HF000001OH
0.8087,2011-12-23 00:00:00,HF000001OH
0.7973,2011-12-30 00:00:00,HF000001OH
0.7979,2012-01-06 00:00:00,HF000001OH
0.8189,2012-01-13 00:00:00,HF000001OH
0.8658,2012-01-20 00:00:00,HF000001OH
0.8777,2012-02-03 00:00:00,HF000001OH
0.8826,2012-02-10 00:00:00,HF000001OH
0.8713,2012-02-17 00:00:00,HF000001OH
0.9022,2012-02-24 00:00:00,HF000001OH
0.9347,2012-03-02 00:00:00,HF000001OH
0.951,2012-03-09 00:00:00,HF000001OH
0.9526,2012-03-16 00:00:00,HF000001OH
0.9147,2012-03-23 00:00:00,HF000001OH
0.8905,2012-03-30 00:00:00,HF000001OH
0.9233,2012-04-06 00:00:00,HF000001OH
0.9476,2012-04-13 00:00:00,HF000001OH
0.956,2012-04-20 00:00:00,HF000001OH
0.9431,2012-04-27 00:00:00,HF000001OH
0.9604,2012-05-04 00:00:00,HF000001OH
0.9408,2012-05-11 00:00:00,HF000001OH
0.9336,2012-05-18 00:00:00,HF000001OH
0.9094,2012-05-25 00:00:00,HF000001OH
0.9382,2012-06-01 00:00:00,HF000001OH
0.9293,2012-06-08 00:00:00,HF000001OH
0.9293,2012-06-15 00:00:00,HF000001OH
0.8934,2012-06-29 00:00:00,HF000001OH
0.8816,2012-07-06 00:00:00,HF000001OH
0.8901,2012-07-13 00:00:00,HF000001OH
0.8451,2012-07-20 00:00:00,HF000001OH
0.8219,2012-07-27 00:00:00,HF000001OH
0.8254,2012-08-03 00:00:00,HF000001OH
0.8349,2012-08-10 00:00:00,HF000001OH
0.8094,2012-08-17 00:00:00,HF000001OH
0.7831,2012-08-24 00:00:00,HF000001OH
0.7811,2012-08-31 00:00:00,HF000001OH
0.8257,2012-09-07 00:00:00,HF000001OH
0.8113,2012-09-14 00:00:00,HF000001OH
0.7655,2012-09-21 00:00:00,HF000001OH
0.8533,2012-09-28 00:00:00,HF000001OH
0.8574,2012-10-12 00:00:00,HF000001OH
0.877,2012-10-19 00:00:00,HF000001OH
0.8466,2012-10-26 00:00:00,HF000001OH
0.8802,2012-11-02 00:00:00,HF000001OH
0.8637,2012-11-09 00:00:00,HF000001OH
0.8436,2012-11-16 00:00:00,HF000001OH
0.838,2012-11-23 00:00:00,HF000001OH
0.8408,2012-11-30 00:00:00,HF000001OH
0.8583,2012-12-07 00:00:00,HF000001OH
0.9077,2012-12-14 00:00:00,HF000001OH
0.9278,2012-12-21 00:00:00,HF000001OH
0.9496,2012-12-28 00:00:00,HF000001OH
0.978,2013-01-11 00:00:00,HF000001OH
1.0518,2013-01-18 00:00:00,HF000001OH
1.0523,2013-01-25 00:00:00,HF000001OH
1.1422,2013-02-01 00:00:00,HF000001OH
1.1257,2013-02-08 00:00:00,HF000001OH
1.0335,2013-02-22 00:00:00,HF000001OH
1.0818,2013-03-01 00:00:00,HF000001OH
1.0595,2013-03-08 00:00:00,HF000001OH
1.0262,2013-03-15 00:00:00,HF000001OH
1.0758,2013-03-22 00:00:00,HF000001OH
