value,date,id
1.0,2011-06-27 00:00:00,HF000001RU
0.9999,2011-06-30 00:00:00,HF000001RU
1.0002,2011-07-01 00:00:00,HF000001RU
0.9989,2011-07-08 00:00:00,HF000001RU
0.9994,2011-07-15 00:00:00,HF000001RU
0.9982,2011-07-22 00:00:00,HF000001RU
0.9976,2011-07-29 00:00:00,HF000001RU
1.0001,2011-08-05 00:00:00,HF000001RU
1.0018,2011-08-12 00:00:00,HF000001RU
1.0011,2011-08-19 00:00:00,HF000001RU
1.0005,2011-08-26 00:00:00,HF000001RU
0.9994,2011-08-31 00:00:00,HF000001RU
0.9966,2011-09-02 00:00:00,HF000001RU
0.9946,2011-09-09 00:00:00,HF000001RU
0.9956,2011-09-16 00:00:00,HF000001RU
0.9981,2011-09-23 00:00:00,HF000001RU
0.9913,2011-09-30 00:00:00,HF000001RU
0.9895,2011-10-14 00:00:00,HF000001RU
0.982,2011-10-21 00:00:00,HF000001RU
0.9854,2011-10-28 00:00:00,HF000001RU
0.9867,2011-10-31 00:00:00,HF000001RU
0.9801,2011-11-04 00:00:00,HF000001RU
0.9819,2011-11-11 00:00:00,HF000001RU
0.9812,2011-11-18 00:00:00,HF000001RU
0.9777,2011-11-25 00:00:00,HF000001RU
0.9749,2011-11-30 00:00:00,HF000001RU
0.9732,2011-12-02 00:00:00,HF000001RU
0.9733,2011-12-09 00:00:00,HF000001RU
0.9731,2011-12-16 00:00:00,HF000001RU
0.9709,2011-12-23 00:00:00,HF000001RU
0.9657,2011-12-30 00:00:00,HF000001RU
0.9632,2012-01-06 00:00:00,HF000001RU
0.9594,2012-01-13 00:00:00,HF000001RU
0.9647,2012-01-20 00:00:00,HF000001RU
0.965,2012-01-31 00:00:00,HF000001RU
0.9631,2012-02-03 00:00:00,HF000001RU
0.9658,2012-02-10 00:00:00,HF000001RU
0.9639,2012-02-17 00:00:00,HF000001RU
0.9679,2012-02-24 00:00:00,HF000001RU
0.9696,2012-02-29 00:00:00,HF000001RU
0.9757,2012-03-02 00:00:00,HF000001RU
0.9836,2012-03-09 00:00:00,HF000001RU
0.9935,2012-03-16 00:00:00,HF000001RU
0.9864,2012-03-23 00:00:00,HF000001RU
0.9889,2012-03-30 00:00:00,HF000001RU
0.9875,2012-04-06 00:00:00,HF000001RU
0.9851,2012-04-13 00:00:00,HF000001RU
0.9828,2012-04-20 00:00:00,HF000001RU
0.9778,2012-04-27 00:00:00,HF000001RU
0.9862,2012-05-04 00:00:00,HF000001RU
0.9846,2012-05-11 00:00:00,HF000001RU
0.9928,2012-05-18 00:00:00,HF000001RU
0.992,2012-05-25 00:00:00,HF000001RU
0.9925,2012-05-31 00:00:00,HF000001RU
0.9962,2012-06-01 00:00:00,HF000001RU
0.9907,2012-06-08 00:00:00,HF000001RU
0.9921,2012-06-15 00:00:00,HF000001RU
1.001,2012-06-21 00:00:00,HF000001RU
0.9945,2012-06-29 00:00:00,HF000001RU
0.9976,2012-07-06 00:00:00,HF000001RU
0.9993,2012-07-13 00:00:00,HF000001RU
0.9975,2012-07-20 00:00:00,HF000001RU
0.9902,2012-07-27 00:00:00,HF000001RU
0.9834,2012-07-31 00:00:00,HF000001RU
0.9958,2012-08-03 00:00:00,HF000001RU
0.9907,2012-08-10 00:00:00,HF000001RU
0.9891,2012-08-17 00:00:00,HF000001RU
0.9928,2012-08-24 00:00:00,HF000001RU
0.9959,2012-08-31 00:00:00,HF000001RU
0.9934,2012-09-07 00:00:00,HF000001RU
0.9912,2012-09-14 00:00:00,HF000001RU
0.985,2012-09-21 00:00:00,HF000001RU
0.9883,2012-09-28 00:00:00,HF000001RU
0.9822,2012-10-12 00:00:00,HF000001RU
0.982,2012-10-19 00:00:00,HF000001RU
0.9641,2012-10-26 00:00:00,HF000001RU
0.9687,2012-10-31 00:00:00,HF000001RU
0.9689,2012-11-02 00:00:00,HF000001RU
0.9543,2012-11-09 00:00:00,HF000001RU
0.9563,2012-11-16 00:00:00,HF000001RU
0.9539,2012-11-23 00:00:00,HF000001RU
0.9524,2012-11-30 00:00:00,HF000001RU
0.9512,2012-12-07 00:00:00,HF000001RU
0.9505,2012-12-14 00:00:00,HF000001RU
0.9509,2012-12-21 00:00:00,HF000001RU
