value,date,id
1.0,2011-08-15 00:00:00,HF000001SK
0.9934,2011-08-19 00:00:00,HF000001SK
1.003,2011-08-26 00:00:00,HF000001SK
0.9572,2011-09-02 00:00:00,HF000001SK
0.929,2011-09-09 00:00:00,HF000001SK
0.9382,2011-09-16 00:00:00,HF000001SK
0.8967,2011-09-23 00:00:00,HF000001SK
0.8361,2011-09-30 00:00:00,HF000001SK
0.8144,2011-10-14 00:00:00,HF000001SK
0.7902,2011-10-20 00:00:00,HF000001SK
0.7787,2011-10-21 00:00:00,HF000001SK
0.8514,2011-10-28 00:00:00,HF000001SK
0.8809,2011-11-04 00:00:00,HF000001SK
0.9145,2011-11-11 00:00:00,HF000001SK
0.9156,2011-11-18 00:00:00,HF000001SK
0.9104,2011-11-25 00:00:00,HF000001SK
0.8896,2011-12-02 00:00:00,HF000001SK
0.8433,2011-12-09 00:00:00,HF000001SK
0.7976,2011-12-16 00:00:00,HF000001SK
0.7344,2011-12-23 00:00:00,HF000001SK
0.7144,2011-12-30 00:00:00,HF000001SK
0.6831,2012-01-06 00:00:00,HF000001SK
0.7159,2012-01-13 00:00:00,HF000001SK
0.72,2012-01-20 00:00:00,HF000001SK
0.7469,2012-02-03 00:00:00,HF000001SK
0.7809,2012-02-10 00:00:00,HF000001SK
0.7804,2012-02-17 00:00:00,HF000001SK
0.8267,2012-02-24 00:00:00,HF000001SK
0.853,2012-03-02 00:00:00,HF000001SK
0.882,2012-03-09 00:00:00,HF000001SK
0.9013,2012-03-16 00:00:00,HF000001SK
0.8974,2012-03-23 00:00:00,HF000001SK
0.8124,2012-03-30 00:00:00,HF000001SK
0.8488,2012-04-06 00:00:00,HF000001SK
0.8749,2012-04-13 00:00:00,HF000001SK
0.8795,2012-04-20 00:00:00,HF000001SK
0.8391,2012-04-27 00:00:00,HF000001SK
0.9027,2012-05-04 00:00:00,HF000001SK
0.8832,2012-05-11 00:00:00,HF000001SK
0.8944,2012-05-18 00:00:00,HF000001SK
0.9189,2012-05-25 00:00:00,HF000001SK
0.9917,2012-06-01 00:00:00,HF000001SK
0.9516,2012-06-08 00:00:00,HF000001SK
1.0414,2012-06-15 00:00:00,HF000001SK
0.9619,2012-06-29 00:00:00,HF000001SK
0.9968,2012-07-06 00:00:00,HF000001SK
1.0109,2012-07-13 00:00:00,HF000001SK
0.998,2012-07-20 00:00:00,HF000001SK
0.9565,2012-07-27 00:00:00,HF000001SK
0.9648,2012-08-03 00:00:00,HF000001SK
1.0031,2012-08-10 00:00:00,HF000001SK
0.9418,2012-08-17 00:00:00,HF000001SK
0.9355,2012-08-24 00:00:00,HF000001SK
0.9175,2012-08-31 00:00:00,HF000001SK
0.9772,2012-09-07 00:00:00,HF000001SK
0.9527,2012-09-14 00:00:00,HF000001SK
0.8954,2012-09-21 00:00:00,HF000001SK
0.8785,2012-09-28 00:00:00,HF000001SK
0.9027,2012-10-12 00:00:00,HF000001SK
0.9146,2012-10-19 00:00:00,HF000001SK
0.8628,2012-10-26 00:00:00,HF000001SK
0.8968,2012-11-02 00:00:00,HF000001SK
0.8693,2012-11-09 00:00:00,HF000001SK
0.8643,2012-11-16 00:00:00,HF000001SK
0.8676,2012-11-23 00:00:00,HF000001SK
0.7692,2012-11-30 00:00:00,HF000001SK
0.8068,2012-12-07 00:00:00,HF000001SK
0.8519,2012-12-14 00:00:00,HF000001SK
0.8679,2012-12-21 00:00:00,HF000001SK
