value,date,id
1.0,2011-11-04 00:00:00,HF0000022J
1.0002,2011-11-18 00:00:00,HF0000022J
1.0002,2011-11-25 00:00:00,HF0000022J
0.9994,2011-12-02 00:00:00,HF0000022J
0.9944,2011-12-09 00:00:00,HF0000022J
0.9892,2011-12-16 00:00:00,HF0000022J
0.988,2011-12-30 00:00:00,HF0000022J
0.9844,2012-01-06 00:00:00,HF0000022J
0.9963,2012-01-13 00:00:00,HF0000022J
0.9909,2012-01-20 00:00:00,HF0000022J
0.9966,2012-02-03 00:00:00,HF0000022J
1.0058,2012-02-10 00:00:00,HF0000022J
1.0081,2012-02-17 00:00:00,HF0000022J
1.0155,2012-02-24 00:00:00,HF0000022J
1.0104,2012-03-02 00:00:00,HF0000022J
1.0466,2012-03-09 00:00:00,HF0000022J
1.1006,2012-03-16 00:00:00,HF0000022J
1.0635,2012-03-23 00:00:00,HF0000022J
1.0093,2012-03-30 00:00:00,HF0000022J
1.0265,2012-04-06 00:00:00,HF0000022J
1.0276,2012-04-13 00:00:00,HF0000022J
1.0234,2012-04-20 00:00:00,HF0000022J
1.0179,2012-04-27 00:00:00,HF0000022J
1.0199,2012-05-04 00:00:00,HF0000022J
1.0208,2012-05-11 00:00:00,HF0000022J
1.0147,2012-05-18 00:00:00,HF0000022J
1.0115,2012-05-25 00:00:00,HF0000022J
1.0228,2012-06-01 00:00:00,HF0000022J
1.072,2012-06-08 00:00:00,HF0000022J
1.1397,2012-06-15 00:00:00,HF0000022J
1.1044,2012-06-21 00:00:00,HF0000022J
1.088,2012-06-29 00:00:00,HF0000022J
1.0665,2012-07-06 00:00:00,HF0000022J
1.0732,2012-07-13 00:00:00,HF0000022J
1.0807,2012-07-20 00:00:00,HF0000022J
1.0532,2012-07-27 00:00:00,HF0000022J
1.0632,2012-08-03 00:00:00,HF0000022J
1.0882,2012-08-10 00:00:00,HF0000022J
1.0957,2012-08-17 00:00:00,HF0000022J
1.0951,2012-08-24 00:00:00,HF0000022J
1.045,2012-08-31 00:00:00,HF0000022J
1.0725,2012-09-07 00:00:00,HF0000022J
1.0529,2012-09-14 00:00:00,HF0000022J
0.9879,2012-09-21 00:00:00,HF0000022J
