value,date,id
1.0,2011-08-29 00:00:00,HF0000023W
1.0696,2011-09-30 00:00:00,HF0000023W
1.031,2011-10-31 00:00:00,HF0000023W
1.1444,2011-11-11 00:00:00,HF0000023W
1.125,2011-11-18 00:00:00,HF0000023W
1.1961,2011-11-25 00:00:00,HF0000023W
1.1935,2011-11-30 00:00:00,HF0000023W
1.2146,2011-12-09 00:00:00,HF0000023W
1.2328,2011-12-16 00:00:00,HF0000023W
1.2314,2011-12-23 00:00:00,HF0000023W
1.2947,2011-12-30 00:00:00,HF0000023W
2.2272,2012-01-13 00:00:00,HF0000023W
2.0,2012-01-31 00:00:00,HF0000023W
2.0,2012-02-10 00:00:00,HF0000023W
2.0319,2012-02-29 00:00:00,HF0000023W
2.0147,2012-03-09 00:00:00,HF0000023W
1.9788,2012-03-16 00:00:00,HF0000023W
1.9845,2012-03-30 00:00:00,HF0000023W
2.0427,2012-04-20 00:00:00,HF0000023W
2.041,2012-04-27 00:00:00,HF0000023W
2.0737,2012-05-11 00:00:00,HF0000023W
2.0281,2012-05-18 00:00:00,HF0000023W
1.8756,2012-05-25 00:00:00,HF0000023W
1.8887,2012-05-31 00:00:00,HF0000023W
2.0266,2012-06-08 00:00:00,HF0000023W
1.9578,2012-06-15 00:00:00,HF0000023W
1.9668,2012-06-29 00:00:00,HF0000023W
1.9133,2012-07-06 00:00:00,HF0000023W
1.9223,2012-07-13 00:00:00,HF0000023W
1.9807,2012-07-20 00:00:00,HF0000023W
2.075,2012-07-27 00:00:00,HF0000023W
2.0742,2012-08-03 00:00:00,HF0000023W
2.0481,2012-08-10 00:00:00,HF0000023W
1.9776,2012-08-17 00:00:00,HF0000023W
1.9916,2012-08-24 00:00:00,HF0000023W
2.0006,2012-08-31 00:00:00,HF0000023W
1.9969,2012-09-07 00:00:00,HF0000023W
1.8982,2012-09-14 00:00:00,HF0000023W
1.3565,2012-09-21 00:00:00,HF0000023W
1.4402,2012-09-28 00:00:00,HF0000023W
1.4412,2012-10-12 00:00:00,HF0000023W
1.4487,2012-10-19 00:00:00,HF0000023W
1.2934,2012-10-26 00:00:00,HF0000023W
1.3478,2012-11-02 00:00:00,HF0000023W
1.2271,2012-11-09 00:00:00,HF0000023W
1.3067,2012-11-16 00:00:00,HF0000023W
1.2671,2012-11-23 00:00:00,HF0000023W
1.2252,2012-11-30 00:00:00,HF0000023W
1.1845,2012-12-07 00:00:00,HF0000023W
1.5456,2012-12-14 00:00:00,HF0000023W
1.5611,2012-12-21 00:00:00,HF0000023W
1.7888,2012-12-31 00:00:00,HF0000023W
1.8165,2013-01-11 00:00:00,HF0000023W
1.7581,2013-01-18 00:00:00,HF0000023W
1.6387,2013-01-25 00:00:00,HF0000023W
1.9188,2013-02-01 00:00:00,HF0000023W
2.0039,2013-02-08 00:00:00,HF0000023W
1.8038,2013-02-22 00:00:00,HF0000023W
1.9818,2013-03-01 00:00:00,HF0000023W
1.6884,2013-03-08 00:00:00,HF0000023W
1.8004,2013-03-15 00:00:00,HF0000023W
1.8604,2013-03-22 00:00:00,HF0000023W
1.7341,2013-03-29 00:00:00,HF0000023W
1.8057,2013-04-12 00:00:00,HF0000023W
2.0055,2013-04-19 00:00:00,HF0000023W
2.0055,2013-04-22 00:00:00,HF0000023W
2.0055,2013-04-26 00:00:00,HF0000023W
2.0055,2013-05-02 00:00:00,HF0000023W
1.991556,2013-05-03 00:00:00,HF0000023W
1.856418,2013-05-10 00:00:00,HF0000023W
1.601355,2013-05-17 00:00:00,HF0000023W
1.517617,2013-05-24 00:00:00,HF0000023W
1.417011,2013-05-31 00:00:00,HF0000023W
1.156615,2013-06-07 00:00:00,HF0000023W
1.191161,2013-06-14 00:00:00,HF0000023W
1.183885,2013-06-21 00:00:00,HF0000023W
1.212148,2013-06-28 00:00:00,HF0000023W
1.169087,2013-07-05 00:00:00,HF0000023W
1.149868,2013-07-12 00:00:00,HF0000023W
1.145798,2013-07-19 00:00:00,HF0000023W
1.141376,2013-07-26 00:00:00,HF0000023W
1.072557,2013-08-02 00:00:00,HF0000023W
1.018225,2013-08-09 00:00:00,HF0000023W
0.977272,2013-08-16 00:00:00,HF0000023W
0.999345,2013-08-23 00:00:00,HF0000023W
0.990454,2013-08-30 00:00:00,HF0000023W
0.974348,2013-09-06 00:00:00,HF0000023W
0.953839,2013-09-13 00:00:00,HF0000023W
0.907706,2013-09-18 00:00:00,HF0000023W
0.92955,2013-09-27 00:00:00,HF0000023W
0.932277,2013-09-30 00:00:00,HF0000023W
0.954059,2013-10-11 00:00:00,HF0000023W
0.960928,2013-10-18 00:00:00,HF0000023W
0.948079,2013-10-25 00:00:00,HF0000023W
0.929387,2013-11-01 00:00:00,HF0000023W
0.936587,2013-11-04 00:00:00,HF0000023W
0.933692,2013-11-05 00:00:00,HF0000023W
0.934237,2013-11-06 00:00:00,HF0000023W
0.921328,2013-11-07 00:00:00,HF0000023W
0.911219,2013-11-08 00:00:00,HF0000023W
0.904423,2013-11-11 00:00:00,HF0000023W
0.91115,2013-11-12 00:00:00,HF0000023W
0.913717,2013-11-13 00:00:00,HF0000023W
0.924302,2013-11-14 00:00:00,HF0000023W
0.921284,2013-11-15 00:00:00,HF0000023W
0.930739,2013-11-18 00:00:00,HF0000023W
0.924684,2013-11-19 00:00:00,HF0000023W
0.913139,2013-11-20 00:00:00,HF0000023W
0.919812,2013-11-21 00:00:00,HF0000023W
0.91475,2013-11-22 00:00:00,HF0000023W
0.908479,2013-11-25 00:00:00,HF0000023W
0.917079,2013-11-26 00:00:00,HF0000023W
0.922715,2013-11-27 00:00:00,HF0000023W
0.938843,2013-11-28 00:00:00,HF0000023W
0.929657,2013-11-29 00:00:00,HF0000023W
0.930984,2013-12-02 00:00:00,HF0000023W
0.945328,2013-12-03 00:00:00,HF0000023W
0.980856,2013-12-04 00:00:00,HF0000023W
0.970051,2013-12-05 00:00:00,HF0000023W
0.950582,2013-12-06 00:00:00,HF0000023W
0.970043,2013-12-09 00:00:00,HF0000023W
0.967316,2013-12-10 00:00:00,HF0000023W
0.925711,2013-12-11 00:00:00,HF0000023W
0.905853,2013-12-12 00:00:00,HF0000023W
0.8579,2013-12-13 00:00:00,HF0000023W
0.816663,2013-12-16 00:00:00,HF0000023W
0.799208,2013-12-17 00:00:00,HF0000023W
0.802044,2013-12-18 00:00:00,HF0000023W
0.722452,2013-12-20 00:00:00,HF0000023W
0.689344,2013-12-27 00:00:00,HF0000023W
0.689344,2013-12-31 00:00:00,HF0000023W
0.689344,2014-01-03 00:00:00,HF0000023W
0.696917,2014-01-10 00:00:00,HF0000023W
0.645496,2014-01-17 00:00:00,HF0000023W
0.625395,2014-01-24 00:00:00,HF0000023W
0.67193,2014-01-30 00:00:00,HF0000023W
0.656591,2014-02-07 00:00:00,HF0000023W
0.628057,2014-02-14 00:00:00,HF0000023W
0.628057,2014-02-17 00:00:00,HF0000023W
0.628057,2014-02-18 00:00:00,HF0000023W
0.628057,2014-02-19 00:00:00,HF0000023W
0.628057,2014-02-20 00:00:00,HF0000023W
0.63105,2014-02-21 00:00:00,HF0000023W
0.704244,2014-02-24 00:00:00,HF0000023W
0.73479,2014-02-25 00:00:00,HF0000023W
0.739699,2014-02-26 00:00:00,HF0000023W
0.755699,2014-02-27 00:00:00,HF0000023W
0.748865,2014-02-28 00:00:00,HF0000023W
0.761597,2014-03-03 00:00:00,HF0000023W
0.801294,2014-03-04 00:00:00,HF0000023W
0.784584,2014-03-05 00:00:00,HF0000023W
0.777223,2014-03-06 00:00:00,HF0000023W
0.752931,2014-03-07 00:00:00,HF0000023W
0.872827,2014-03-10 00:00:00,HF0000023W
0.887012,2014-03-11 00:00:00,HF0000023W
0.877011,2014-03-12 00:00:00,HF0000023W
0.863588,2014-03-13 00:00:00,HF0000023W
0.886257,2014-03-14 00:00:00,HF0000023W
0.883805,2014-03-17 00:00:00,HF0000023W
0.848229,2014-03-18 00:00:00,HF0000023W
0.872892,2014-03-19 00:00:00,HF0000023W
0.846637,2014-03-20 00:00:00,HF0000023W
0.868421,2014-03-21 00:00:00,HF0000023W
0.864927,2014-03-24 00:00:00,HF0000023W
0.888764,2014-03-25 00:00:00,HF0000023W
0.897157,2014-03-26 00:00:00,HF0000023W
0.860871,2014-03-27 00:00:00,HF0000023W
0.843281,2014-03-28 00:00:00,HF0000023W
0.914354,2014-03-31 00:00:00,HF0000023W
0.909895,2014-04-01 00:00:00,HF0000023W
0.896953,2014-04-02 00:00:00,HF0000023W
0.884432,2014-04-03 00:00:00,HF0000023W
0.914517,2014-04-04 00:00:00,HF0000023W
0.914517,2014-04-08 00:00:00,HF0000023W
0.894164,2014-04-09 00:00:00,HF0000023W
0.893257,2014-04-10 00:00:00,HF0000023W
0.899744,2014-04-11 00:00:00,HF0000023W
0.878761,2014-04-14 00:00:00,HF0000023W
0.883008,2014-04-15 00:00:00,HF0000023W
0.883008,2014-04-16 00:00:00,HF0000023W
0.879477,2014-04-17 00:00:00,HF0000023W
0.868035,2014-04-18 00:00:00,HF0000023W
0.85221,2014-04-21 00:00:00,HF0000023W
0.850168,2014-04-22 00:00:00,HF0000023W
0.849168,2014-04-23 00:00:00,HF0000023W
0.872308,2014-04-24 00:00:00,HF0000023W
0.854934,2014-04-25 00:00:00,HF0000023W
0.836612,2014-04-28 00:00:00,HF0000023W
0.835703,2014-04-29 00:00:00,HF0000023W
0.839339,2014-04-30 00:00:00,HF0000023W
0.83043,2014-05-05 00:00:00,HF0000023W
0.819157,2014-05-06 00:00:00,HF0000023W
0.812248,2014-05-07 00:00:00,HF0000023W
0.814066,2014-05-08 00:00:00,HF0000023W
0.810793,2014-05-09 00:00:00,HF0000023W
0.814611,2014-05-12 00:00:00,HF0000023W
0.815702,2014-05-13 00:00:00,HF0000023W
0.835521,2014-05-14 00:00:00,HF0000023W
0.840612,2014-05-15 00:00:00,HF0000023W
0.834976,2014-05-16 00:00:00,HF0000023W
0.840249,2014-05-19 00:00:00,HF0000023W
0.839522,2014-05-20 00:00:00,HF0000023W
0.836431,2014-05-21 00:00:00,HF0000023W
0.834249,2014-05-22 00:00:00,HF0000023W
0.824249,2014-05-23 00:00:00,HF0000023W
0.830431,2014-05-26 00:00:00,HF0000023W
0.826613,2014-05-27 00:00:00,HF0000023W
0.82334,2014-05-28 00:00:00,HF0000023W
0.830613,2014-05-29 00:00:00,HF0000023W
0.83334,2014-05-30 00:00:00,HF0000023W
0.827704,2014-06-03 00:00:00,HF0000023W
0.828191,2014-06-04 00:00:00,HF0000023W
0.823983,2014-06-05 00:00:00,HF0000023W
0.821072,2014-06-06 00:00:00,HF0000023W
0.813242,2014-06-09 00:00:00,HF0000023W
0.806214,2014-06-10 00:00:00,HF0000023W
0.786787,2014-06-11 00:00:00,HF0000023W
0.786129,2014-06-12 00:00:00,HF0000023W
0.795474,2014-06-13 00:00:00,HF0000023W
0.792083,2014-06-16 00:00:00,HF0000023W
0.759107,2014-06-17 00:00:00,HF0000023W
0.77336,2014-06-18 00:00:00,HF0000023W
0.772382,2014-06-19 00:00:00,HF0000023W
0.776402,2014-06-20 00:00:00,HF0000023W
0.856496,2014-06-23 00:00:00,HF0000023W
0.840423,2014-06-24 00:00:00,HF0000023W
0.850677,2014-06-25 00:00:00,HF0000023W
0.888644,2014-06-26 00:00:00,HF0000023W
0.879172,2014-06-27 00:00:00,HF0000023W
0.818817,2014-06-30 00:00:00,HF0000023W
0.805015,2014-07-01 00:00:00,HF0000023W
0.78822,2014-07-02 00:00:00,HF0000023W
0.821045,2014-07-03 00:00:00,HF0000023W
0.80267,2014-07-04 00:00:00,HF0000023W
0.782284,2014-07-07 00:00:00,HF0000023W
0.746567,2014-07-08 00:00:00,HF0000023W
0.720444,2014-07-09 00:00:00,HF0000023W
0.744245,2014-07-10 00:00:00,HF0000023W
0.71603,2014-07-11 00:00:00,HF0000023W
0.737053,2014-07-14 00:00:00,HF0000023W
0.726132,2014-07-15 00:00:00,HF0000023W
0.71625,2014-07-16 00:00:00,HF0000023W
0.695226,2014-07-17 00:00:00,HF0000023W
0.720207,2014-07-18 00:00:00,HF0000023W
0.763644,2014-07-21 00:00:00,HF0000023W
0.777207,2014-07-22 00:00:00,HF0000023W
0.785634,2014-07-23 00:00:00,HF0000023W
0.751845,2014-07-24 00:00:00,HF0000023W
0.765961,2014-07-25 00:00:00,HF0000023W
0.712128,2014-07-28 00:00:00,HF0000023W
0.695563,2014-07-29 00:00:00,HF0000023W
0.661417,2014-07-30 00:00:00,HF0000023W
0.644024,2014-07-31 00:00:00,HF0000023W
0.635152,2014-08-01 00:00:00,HF0000023W
0.628585,2014-08-04 00:00:00,HF0000023W
0.635176,2014-08-05 00:00:00,HF0000023W
0.622353,2014-08-06 00:00:00,HF0000023W
0.618816,2014-08-07 00:00:00,HF0000023W
0.622176,2014-08-08 00:00:00,HF0000023W
0.623003,2014-08-11 00:00:00,HF0000023W
0.621094,2014-08-12 00:00:00,HF0000023W
0.625423,2014-08-13 00:00:00,HF0000023W
0.650433,2014-08-14 00:00:00,HF0000023W
0.65378,2014-08-15 00:00:00,HF0000023W
0.656703,2014-08-18 00:00:00,HF0000023W
0.636874,2014-08-19 00:00:00,HF0000023W
0.643241,2014-08-20 00:00:00,HF0000023W
0.643105,2014-08-21 00:00:00,HF0000023W
0.63569,2014-08-22 00:00:00,HF0000023W
0.639601,2014-08-25 00:00:00,HF0000023W
0.641658,2014-08-26 00:00:00,HF0000023W
0.638486,2014-08-27 00:00:00,HF0000023W
0.652121,2014-08-28 00:00:00,HF0000023W
0.651951,2014-08-29 00:00:00,HF0000023W
0.662923,2014-09-01 00:00:00,HF0000023W
0.662929,2014-09-02 00:00:00,HF0000023W
0.670409,2014-09-03 00:00:00,HF0000023W
0.680197,2014-09-04 00:00:00,HF0000023W
0.700828,2014-09-05 00:00:00,HF0000023W
0.714483,2014-09-09 00:00:00,HF0000023W
0.724356,2014-09-10 00:00:00,HF0000023W
0.734138,2014-09-11 00:00:00,HF0000023W
0.723374,2014-09-12 00:00:00,HF0000023W
0.70831,2014-09-15 00:00:00,HF0000023W
0.699363,2014-09-16 00:00:00,HF0000023W
0.70169,2014-09-17 00:00:00,HF0000023W
0.706083,2014-09-18 00:00:00,HF0000023W
0.743856,2014-09-19 00:00:00,HF0000023W
0.802102,2014-09-22 00:00:00,HF0000023W
0.802693,2014-09-23 00:00:00,HF0000023W
0.791488,2014-09-24 00:00:00,HF0000023W
0.798624,2014-09-25 00:00:00,HF0000023W
0.7882,2014-09-26 00:00:00,HF0000023W
0.793316,2014-09-29 00:00:00,HF0000023W
0.768841,2014-09-30 00:00:00,HF0000023W
0.77429,2014-10-08 00:00:00,HF0000023W
