value,date,id
1.0,2011-11-17 00:00:00,HF0000025N
1.0151,2013-11-29 00:00:00,HF0000025N
1.0452,2013-12-06 00:00:00,HF0000025N
1.0835,2013-12-13 00:00:00,HF0000025N
1.0155,2013-12-20 00:00:00,HF0000025N
1.0715,2013-12-27 00:00:00,HF0000025N
1.0565,2014-01-03 00:00:00,HF0000025N
1.0158,2014-01-10 00:00:00,HF0000025N
1.0526,2014-01-17 00:00:00,HF0000025N
1.068,2014-01-24 00:00:00,HF0000025N
1.0391,2014-02-07 00:00:00,HF0000025N
1.0361,2014-02-14 00:00:00,HF0000025N
1.0352,2014-02-21 00:00:00,HF0000025N
0.9732,2014-02-28 00:00:00,HF0000025N
0.9586,2014-03-07 00:00:00,HF0000025N
0.9512,2014-03-14 00:00:00,HF0000025N
0.9423,2014-03-21 00:00:00,HF0000025N
0.9461,2014-03-28 00:00:00,HF0000025N
0.9587,2014-04-04 00:00:00,HF0000025N
0.9942,2014-04-11 00:00:00,HF0000025N
0.9602,2014-04-18 00:00:00,HF0000025N
0.9283,2014-04-25 00:00:00,HF0000025N
0.9085,2014-05-09 00:00:00,HF0000025N
0.9223,2014-05-16 00:00:00,HF0000025N
0.94,2014-05-23 00:00:00,HF0000025N
0.9518,2014-05-30 00:00:00,HF0000025N
0.9415,2014-06-06 00:00:00,HF0000025N
0.9617,2014-06-13 00:00:00,HF0000025N
0.9382,2014-06-20 00:00:00,HF0000025N
0.9313,2014-06-27 00:00:00,HF0000025N
0.9417,2014-07-04 00:00:00,HF0000025N
0.9276,2014-07-11 00:00:00,HF0000025N
0.9426,2014-07-18 00:00:00,HF0000025N
1.0017,2014-07-25 00:00:00,HF0000025N
1.028,2014-08-01 00:00:00,HF0000025N
1.0029,2014-08-08 00:00:00,HF0000025N
1.0179,2014-08-15 00:00:00,HF0000025N
1.0149,2014-08-22 00:00:00,HF0000025N
1.0082,2014-08-29 00:00:00,HF0000025N
1.0523,2014-09-05 00:00:00,HF0000025N
1.0409,2014-09-12 00:00:00,HF0000025N
1.0331,2014-09-19 00:00:00,HF0000025N
1.032,2014-09-26 00:00:00,HF0000025N
1.0176,2014-10-10 00:00:00,HF0000025N
1.0148,2014-10-17 00:00:00,HF0000025N
1.0106,2014-10-24 00:00:00,HF0000025N
1.0435,2014-10-31 00:00:00,HF0000025N
1.0363,2014-11-07 00:00:00,HF0000025N
