value,date,id
1.0,2012-04-11 00:00:00,HF0000027G
0.9999,2012-04-13 00:00:00,HF0000027G
1.001,2012-04-20 00:00:00,HF0000027G
0.9623,2012-04-27 00:00:00,HF0000027G
0.9687,2012-05-04 00:00:00,HF0000027G
0.9501,2012-05-11 00:00:00,HF0000027G
0.9525,2012-05-15 00:00:00,HF0000027G
0.9548,2012-05-18 00:00:00,HF0000027G
0.9723,2012-05-25 00:00:00,HF0000027G
0.9782,2012-06-01 00:00:00,HF0000027G
0.9718,2012-06-08 00:00:00,HF0000027G
0.9657,2012-06-15 00:00:00,HF0000027G
0.9701,2012-06-21 00:00:00,HF0000027G
0.979,2012-06-29 00:00:00,HF0000027G
0.988,2012-07-06 00:00:00,HF0000027G
0.9858,2012-07-13 00:00:00,HF0000027G
0.9765,2012-07-20 00:00:00,HF0000027G
0.9746,2012-07-27 00:00:00,HF0000027G
0.9803,2012-08-03 00:00:00,HF0000027G
0.9803,2012-08-10 00:00:00,HF0000027G
0.9791,2012-08-15 00:00:00,HF0000027G
0.9746,2012-08-17 00:00:00,HF0000027G
0.9873,2012-08-24 00:00:00,HF0000027G
0.9762,2012-08-31 00:00:00,HF0000027G
0.9913,2012-09-07 00:00:00,HF0000027G
0.9836,2012-09-14 00:00:00,HF0000027G
0.971,2012-09-21 00:00:00,HF0000027G
0.9766,2012-09-28 00:00:00,HF0000027G
0.9803,2012-10-12 00:00:00,HF0000027G
0.9844,2012-10-15 00:00:00,HF0000027G
0.9898,2012-10-19 00:00:00,HF0000027G
0.9714,2012-10-26 00:00:00,HF0000027G
0.976,2012-10-31 00:00:00,HF0000027G
0.9762,2012-11-02 00:00:00,HF0000027G
0.9709,2012-11-09 00:00:00,HF0000027G
0.9717,2012-11-15 00:00:00,HF0000027G
0.9669,2012-11-16 00:00:00,HF0000027G
0.9679,2012-11-23 00:00:00,HF0000027G
0.9576,2012-11-30 00:00:00,HF0000027G
0.976,2012-12-07 00:00:00,HF0000027G
0.9981,2012-12-14 00:00:00,HF0000027G
0.9988,2012-12-21 00:00:00,HF0000027G
1.0404,2012-12-28 00:00:00,HF0000027G
1.046,2012-12-31 00:00:00,HF0000027G
1.0546,2013-01-04 00:00:00,HF0000027G
1.0322,2013-01-11 00:00:00,HF0000027G
1.0673,2013-01-15 00:00:00,HF0000027G
1.0619,2013-01-18 00:00:00,HF0000027G
1.0725,2013-01-25 00:00:00,HF0000027G
1.0902,2013-01-31 00:00:00,HF0000027G
1.0961,2013-02-01 00:00:00,HF0000027G
1.1123,2013-02-08 00:00:00,HF0000027G
1.0776,2013-02-22 00:00:00,HF0000027G
1.1053,2013-02-28 00:00:00,HF0000027G
1.1177,2013-03-01 00:00:00,HF0000027G
1.059,2013-03-08 00:00:00,HF0000027G
1.0649,2013-03-15 00:00:00,HF0000027G
1.1037,2013-03-22 00:00:00,HF0000027G
1.0993,2013-03-29 00:00:00,HF0000027G
1.0725,2013-04-03 00:00:00,HF0000027G
1.0891,2013-04-12 00:00:00,HF0000027G
1.0859,2013-04-15 00:00:00,HF0000027G
1.1508,2013-04-19 00:00:00,HF0000027G
1.1164,2013-04-26 00:00:00,HF0000027G
1.1427,2013-05-03 00:00:00,HF0000027G
1.1606,2013-05-10 00:00:00,HF0000027G
1.1609,2013-05-15 00:00:00,HF0000027G
1.1735,2013-05-17 00:00:00,HF0000027G
1.2111,2013-05-24 00:00:00,HF0000027G
1.2134,2013-05-31 00:00:00,HF0000027G
1.1489,2013-06-07 00:00:00,HF0000027G
1.1685,2013-06-14 00:00:00,HF0000027G
1.144,2013-06-21 00:00:00,HF0000027G
1.1307,2013-06-28 00:00:00,HF0000027G
1.137,2013-07-05 00:00:00,HF0000027G
1.1252,2013-07-12 00:00:00,HF0000027G
1.1325,2013-07-15 00:00:00,HF0000027G
1.1332,2013-07-19 00:00:00,HF0000027G
1.1374,2013-07-26 00:00:00,HF0000027G
1.0827,2013-07-31 00:00:00,HF0000027G
1.1311,2013-08-02 00:00:00,HF0000027G
1.1215,2013-08-09 00:00:00,HF0000027G
1.1276,2013-08-15 00:00:00,HF0000027G
1.1069,2013-08-16 00:00:00,HF0000027G
1.1745,2013-08-23 00:00:00,HF0000027G
1.1274,2013-08-30 00:00:00,HF0000027G
1.2349,2013-09-06 00:00:00,HF0000027G
1.2214,2013-09-13 00:00:00,HF0000027G
1.2636,2013-09-18 00:00:00,HF0000027G
1.2965,2013-09-27 00:00:00,HF0000027G
1.3099,2013-09-30 00:00:00,HF0000027G
1.3394,2013-10-11 00:00:00,HF0000027G
1.3229,2013-10-15 00:00:00,HF0000027G
1.262,2013-10-18 00:00:00,HF0000027G
1.1984,2013-10-25 00:00:00,HF0000027G
1.1789,2013-10-31 00:00:00,HF0000027G
1.1769,2013-11-01 00:00:00,HF0000027G
1.1578,2013-11-08 00:00:00,HF0000027G
1.185,2013-11-15 00:00:00,HF0000027G
