value,date,id
1.0,2012-02-22 00:00:00,HF000002CC
1.0085,2012-02-24 00:00:00,HF000002CC
1.0193,2012-03-02 00:00:00,HF000002CC
1.0152,2012-03-09 00:00:00,HF000002CC
1.0054,2012-03-16 00:00:00,HF000002CC
1.0045,2012-03-22 00:00:00,HF000002CC
0.9701,2012-03-30 00:00:00,HF000002CC
0.9881,2012-04-06 00:00:00,HF000002CC
0.9971,2012-04-13 00:00:00,HF000002CC
1.0065,2012-04-20 00:00:00,HF000002CC
0.9981,2012-04-23 00:00:00,HF000002CC
1.0348,2012-05-04 00:00:00,HF000002CC
1.0117,2012-05-11 00:00:00,HF000002CC
0.9983,2012-05-18 00:00:00,HF000002CC
1.0157,2012-05-22 00:00:00,HF000002CC
1.0153,2012-06-01 00:00:00,HF000002CC
1.0104,2012-06-08 00:00:00,HF000002CC
1.021,2012-06-15 00:00:00,HF000002CC
1.0007,2012-06-25 00:00:00,HF000002CC
1.0086,2012-07-06 00:00:00,HF000002CC
1.0154,2012-07-13 00:00:00,HF000002CC
0.9946,2012-07-20 00:00:00,HF000002CC
0.9812,2012-07-23 00:00:00,HF000002CC
0.9776,2012-08-03 00:00:00,HF000002CC
0.9936,2012-08-10 00:00:00,HF000002CC
0.9656,2012-08-17 00:00:00,HF000002CC
0.9578,2012-08-22 00:00:00,HF000002CC
1.0059,2012-08-31 00:00:00,HF000002CC
0.9529,2012-09-07 00:00:00,HF000002CC
0.9806,2012-10-22 00:00:00,HF000002CC
0.9241,2012-11-22 00:00:00,HF000002CC
0.8995,2012-11-30 00:00:00,HF000002CC
0.9321,2012-12-07 00:00:00,HF000002CC
0.9573,2012-12-14 00:00:00,HF000002CC
0.9843,2012-12-21 00:00:00,HF000002CC
0.9822,2012-12-24 00:00:00,HF000002CC
1.0285,2012-12-31 00:00:00,HF000002CC
1.0198,2013-01-04 00:00:00,HF000002CC
1.0179,2013-01-11 00:00:00,HF000002CC
1.0589,2013-01-18 00:00:00,HF000002CC
1.05,2013-01-22 00:00:00,HF000002CC
0.9528,2013-03-15 00:00:00,HF000002CC
0.9833,2013-03-22 00:00:00,HF000002CC
0.9536,2013-03-29 00:00:00,HF000002CC
0.9594,2013-04-19 00:00:00,HF000002CC
0.9581,2013-04-22 00:00:00,HF000002CC
0.9472,2013-05-03 00:00:00,HF000002CC
0.9599,2013-05-10 00:00:00,HF000002CC
0.981,2013-05-17 00:00:00,HF000002CC
0.9911,2013-05-22 00:00:00,HF000002CC
0.9913,2013-05-31 00:00:00,HF000002CC
0.9728,2013-06-07 00:00:00,HF000002CC
0.9571,2013-06-14 00:00:00,HF000002CC
0.9301,2013-06-21 00:00:00,HF000002CC
0.9087,2013-06-28 00:00:00,HF000002CC
0.9108,2013-07-05 00:00:00,HF000002CC
0.905,2013-07-12 00:00:00,HF000002CC
0.8858,2013-07-19 00:00:00,HF000002CC
0.8829,2013-07-22 00:00:00,HF000002CC
