value,date,id
1.0,2011-08-23 00:00:00,HF000002HE
0.999,2011-08-31 00:00:00,HF000002HE
0.9647,2011-09-30 00:00:00,HF000002HE
1.0001,2011-10-31 00:00:00,HF000002HE
0.9954,2011-11-30 00:00:00,HF000002HE
0.9856,2011-12-31 00:00:00,HF000002HE
0.9763,2012-01-31 00:00:00,HF000002HE
1.0698,2012-02-29 00:00:00,HF000002HE
1.04833,2012-03-31 00:00:00,HF000002HE
1.0399,2012-04-30 00:00:00,HF000002HE
0.9385,2012-05-31 00:00:00,HF000002HE
0.9118,2012-06-29 00:00:00,HF000002HE
0.9118,2012-06-30 00:00:00,HF000002HE
0.8917,2012-07-31 00:00:00,HF000002HE
0.9123,2012-08-03 00:00:00,HF000002HE
0.9109,2012-08-31 00:00:00,HF000002HE
0.9558,2012-09-28 00:00:00,HF000002HE
0.954,2012-09-30 00:00:00,HF000002HE
0.9884,2012-10-31 00:00:00,HF000002HE
1.0103,2012-11-02 00:00:00,HF000002HE
1.0139,2012-11-30 00:00:00,HF000002HE
1.1092,2012-12-31 00:00:00,HF000002HE
1.1404,2013-01-31 00:00:00,HF000002HE
1.1317,2013-02-28 00:00:00,HF000002HE
1.1385,2013-03-28 00:00:00,HF000002HE
1.1123,2013-03-31 00:00:00,HF000002HE
1.0965,2013-04-30 00:00:00,HF000002HE
1.2638,2013-05-31 00:00:00,HF000002HE
1.1708,2013-06-30 00:00:00,HF000002HE
1.1803,2013-07-31 00:00:00,HF000002HE
1.2653,2013-08-31 00:00:00,HF000002HE
1.2895,2013-09-30 00:00:00,HF000002HE
1.3412,2013-10-31 00:00:00,HF000002HE
1.3764,2013-11-29 00:00:00,HF000002HE
1.4607,2013-12-31 00:00:00,HF000002HE
1.5123,2014-01-31 00:00:00,HF000002HE
1.545,2014-02-28 00:00:00,HF000002HE
1.3754,2014-03-31 00:00:00,HF000002HE
1.2437,2014-04-30 00:00:00,HF000002HE
1.3234,2014-05-30 00:00:00,HF000002HE
1.3046,2014-06-30 00:00:00,HF000002HE
1.2596,2014-07-31 00:00:00,HF000002HE
1.2569,2014-08-29 00:00:00,HF000002HE
1.2204,2014-09-30 00:00:00,HF000002HE
1.2097,2014-10-31 00:00:00,HF000002HE
1.2009,2014-11-28 00:00:00,HF000002HE
1.1237,2014-12-31 00:00:00,HF000002HE
1.1781,2015-01-30 00:00:00,HF000002HE
1.1639,2015-02-27 00:00:00,HF000002HE
1.2011,2015-03-31 00:00:00,HF000002HE
1.5836,2015-04-30 00:00:00,HF000002HE
