value,date,id
1.0,2011-09-23 00:00:00,HF000002IS
1.0044,2011-09-30 00:00:00,HF000002IS
1.0044,2011-10-08 00:00:00,HF000002IS
1.0162,2011-10-14 00:00:00,HF000002IS
1.0106,2011-10-21 00:00:00,HF000002IS
1.0351,2011-10-28 00:00:00,HF000002IS
1.1289,2011-11-04 00:00:00,HF000002IS
1.2084,2011-11-11 00:00:00,HF000002IS
1.1208,2011-11-18 00:00:00,HF000002IS
1.0949,2011-11-25 00:00:00,HF000002IS
1.3225,2011-12-02 00:00:00,HF000002IS
1.3657,2011-12-09 00:00:00,HF000002IS
1.186,2011-12-16 00:00:00,HF000002IS
1.2467,2011-12-23 00:00:00,HF000002IS
1.0821,2011-12-30 00:00:00,HF000002IS
1.2604,2012-01-06 00:00:00,HF000002IS
1.4864,2012-01-13 00:00:00,HF000002IS
1.4554,2012-01-20 00:00:00,HF000002IS
1.4963,2012-02-03 00:00:00,HF000002IS
1.4081,2012-02-10 00:00:00,HF000002IS
1.5473,2012-02-17 00:00:00,HF000002IS
1.5005,2012-02-24 00:00:00,HF000002IS
1.4552,2012-03-02 00:00:00,HF000002IS
1.5318,2012-03-09 00:00:00,HF000002IS
1.5421,2012-03-16 00:00:00,HF000002IS
1.6247,2012-03-23 00:00:00,HF000002IS
1.6127,2012-03-30 00:00:00,HF000002IS
1.6092,2012-04-06 00:00:00,HF000002IS
1.8031,2012-04-13 00:00:00,HF000002IS
1.8286,2012-04-20 00:00:00,HF000002IS
1.7389,2012-04-27 00:00:00,HF000002IS
1.77,2012-05-04 00:00:00,HF000002IS
1.86,2012-05-11 00:00:00,HF000002IS
2.0007,2012-05-18 00:00:00,HF000002IS
2.0549,2012-05-31 00:00:00,HF000002IS
2.0057,2012-06-08 00:00:00,HF000002IS
2.0468,2012-06-15 00:00:00,HF000002IS
2.115,2012-06-21 00:00:00,HF000002IS
2.144,2012-06-29 00:00:00,HF000002IS
2.1646,2012-07-06 00:00:00,HF000002IS
2.2008,2012-07-13 00:00:00,HF000002IS
2.0828,2012-07-20 00:00:00,HF000002IS
2.4069,2012-07-27 00:00:00,HF000002IS
2.2892,2012-08-03 00:00:00,HF000002IS
2.3474,2012-08-10 00:00:00,HF000002IS
2.3485,2012-08-17 00:00:00,HF000002IS
1.8984,2012-09-21 00:00:00,HF000002IS
2.3489,2012-10-22 00:00:00,HF000002IS
2.8602,2012-11-22 00:00:00,HF000002IS
2.3268,2012-12-21 00:00:00,HF000002IS
2.2844,2013-01-22 00:00:00,HF000002IS
2.3874,2013-02-22 00:00:00,HF000002IS
2.2507,2013-03-22 00:00:00,HF000002IS
2.4497,2013-04-22 00:00:00,HF000002IS
2.4484,2013-05-22 00:00:00,HF000002IS
2.5349,2013-06-21 00:00:00,HF000002IS
2.4786,2013-07-22 00:00:00,HF000002IS
2.6,2013-08-22 00:00:00,HF000002IS
2.6394,2013-09-22 00:00:00,HF000002IS
2.7308,2013-10-22 00:00:00,HF000002IS
2.6778,2013-11-22 00:00:00,HF000002IS
