value,date,id
1.0,2012-04-23 00:00:00,HF000002JC
1.0015,2012-04-27 00:00:00,HF000002JC
1.0072,2012-05-04 00:00:00,HF000002JC
1.0131,2012-05-11 00:00:00,HF000002JC
1.014,2012-05-18 00:00:00,HF000002JC
1.0103,2012-05-25 00:00:00,HF000002JC
1.0242,2012-05-31 00:00:00,HF000002JC
1.0219,2012-06-01 00:00:00,HF000002JC
1.013,2012-06-08 00:00:00,HF000002JC
1.0135,2012-06-15 00:00:00,HF000002JC
1.008,2012-06-21 00:00:00,HF000002JC
1.0048,2012-06-29 00:00:00,HF000002JC
1.0089,2012-07-06 00:00:00,HF000002JC
1.005,2012-07-13 00:00:00,HF000002JC
0.9968,2012-07-20 00:00:00,HF000002JC
0.999,2012-07-27 00:00:00,HF000002JC
0.9936,2012-07-31 00:00:00,HF000002JC
1.0034,2012-08-03 00:00:00,HF000002JC
1.0107,2012-08-10 00:00:00,HF000002JC
1.0008,2012-08-17 00:00:00,HF000002JC
1.0127,2012-08-24 00:00:00,HF000002JC
1.0072,2012-08-31 00:00:00,HF000002JC
1.0269,2012-09-07 00:00:00,HF000002JC
1.0135,2012-09-14 00:00:00,HF000002JC
0.9924,2012-09-21 00:00:00,HF000002JC
1.0107,2012-09-28 00:00:00,HF000002JC
1.0254,2012-10-12 00:00:00,HF000002JC
1.0345,2012-10-19 00:00:00,HF000002JC
1.0135,2012-10-26 00:00:00,HF000002JC
1.0205,2012-10-31 00:00:00,HF000002JC
1.0302,2012-11-02 00:00:00,HF000002JC
1.0188,2012-11-09 00:00:00,HF000002JC
1.0119,2012-11-16 00:00:00,HF000002JC
1.0223,2012-11-23 00:00:00,HF000002JC
1.0013,2012-11-30 00:00:00,HF000002JC
1.02,2012-12-07 00:00:00,HF000002JC
1.0349,2012-12-14 00:00:00,HF000002JC
1.0344,2012-12-21 00:00:00,HF000002JC
1.076,2012-12-31 00:00:00,HF000002JC
1.0698,2013-01-04 00:00:00,HF000002JC
1.0871,2013-01-11 00:00:00,HF000002JC
1.141,2013-01-18 00:00:00,HF000002JC
1.1119,2013-01-25 00:00:00,HF000002JC
1.1189,2013-01-31 00:00:00,HF000002JC
1.1242,2013-02-01 00:00:00,HF000002JC
1.1445,2013-02-08 00:00:00,HF000002JC
1.1797,2013-02-22 00:00:00,HF000002JC
1.1666,2013-02-28 00:00:00,HF000002JC
1.1872,2013-03-01 00:00:00,HF000002JC
1.19,2013-03-08 00:00:00,HF000002JC
1.1674,2013-03-15 00:00:00,HF000002JC
1.1794,2013-03-22 00:00:00,HF000002JC
1.1441,2013-03-29 00:00:00,HF000002JC
1.1329,2013-04-03 00:00:00,HF000002JC
1.1364,2013-04-12 00:00:00,HF000002JC
1.1375,2013-04-19 00:00:00,HF000002JC
1.1334,2013-04-26 00:00:00,HF000002JC
1.1387,2013-05-03 00:00:00,HF000002JC
1.1577,2013-05-10 00:00:00,HF000002JC
1.1827,2013-05-17 00:00:00,HF000002JC
1.1965,2013-05-24 00:00:00,HF000002JC
1.2001,2013-05-31 00:00:00,HF000002JC
1.1591,2013-06-07 00:00:00,HF000002JC
1.1522,2013-06-14 00:00:00,HF000002JC
1.144,2013-06-21 00:00:00,HF000002JC
1.1302,2013-06-28 00:00:00,HF000002JC
1.1668,2013-07-05 00:00:00,HF000002JC
1.1918,2013-07-12 00:00:00,HF000002JC
1.1926,2013-07-19 00:00:00,HF000002JC
1.2118,2013-07-26 00:00:00,HF000002JC
