value,date,id
1.0,2012-05-28 00:00:00,HF000002KF
0.9996,2012-05-31 00:00:00,HF000002KF
0.9989,2012-06-01 00:00:00,HF000002KF
0.9901,2012-06-08 00:00:00,HF000002KF
1.0021,2012-06-15 00:00:00,HF000002KF
0.9966,2012-06-21 00:00:00,HF000002KF
0.9836,2012-06-29 00:00:00,HF000002KF
0.9774,2012-07-06 00:00:00,HF000002KF
0.9599,2012-07-13 00:00:00,HF000002KF
0.9516,2012-07-20 00:00:00,HF000002KF
0.9373,2012-07-27 00:00:00,HF000002KF
0.9352,2012-07-31 00:00:00,HF000002KF
0.9413,2012-08-03 00:00:00,HF000002KF
0.9493,2012-08-10 00:00:00,HF000002KF
0.9317,2012-08-15 00:00:00,HF000002KF
0.936,2012-08-17 00:00:00,HF000002KF
0.9204,2012-08-24 00:00:00,HF000002KF
0.9222,2012-08-31 00:00:00,HF000002KF
0.9445,2012-09-07 00:00:00,HF000002KF
0.9391,2012-09-14 00:00:00,HF000002KF
0.9083,2012-09-21 00:00:00,HF000002KF
0.9341,2012-09-28 00:00:00,HF000002KF
0.9523,2012-10-12 00:00:00,HF000002KF
0.9499,2012-10-15 00:00:00,HF000002KF
0.9662,2012-10-19 00:00:00,HF000002KF
0.9459,2012-10-26 00:00:00,HF000002KF
0.9515,2012-10-31 00:00:00,HF000002KF
0.9676,2012-11-09 00:00:00,HF000002KF
0.9538,2012-11-15 00:00:00,HF000002KF
0.9507,2012-11-16 00:00:00,HF000002KF
0.9594,2012-11-23 00:00:00,HF000002KF
0.9632,2012-11-30 00:00:00,HF000002KF
1.0098,2012-12-07 00:00:00,HF000002KF
1.0276,2012-12-14 00:00:00,HF000002KF
1.0315,2012-12-21 00:00:00,HF000002KF
1.065,2012-12-28 00:00:00,HF000002KF
1.0648,2012-12-31 00:00:00,HF000002KF
1.0846,2013-01-04 00:00:00,HF000002KF
1.0619,2013-01-11 00:00:00,HF000002KF
1.0845,2013-01-15 00:00:00,HF000002KF
1.0766,2013-01-18 00:00:00,HF000002KF
1.0628,2013-01-25 00:00:00,HF000002KF
1.0867,2013-01-31 00:00:00,HF000002KF
1.0931,2013-02-01 00:00:00,HF000002KF
1.1113,2013-02-08 00:00:00,HF000002KF
1.084,2013-02-22 00:00:00,HF000002KF
1.1099,2013-02-28 00:00:00,HF000002KF
1.1071,2013-03-01 00:00:00,HF000002KF
1.0869,2013-03-08 00:00:00,HF000002KF
1.0838,2013-03-15 00:00:00,HF000002KF
1.0955,2013-03-22 00:00:00,HF000002KF
1.0548,2013-03-29 00:00:00,HF000002KF
1.054,2013-04-03 00:00:00,HF000002KF
1.0416,2013-04-12 00:00:00,HF000002KF
1.0292,2013-04-15 00:00:00,HF000002KF
1.0537,2013-04-19 00:00:00,HF000002KF
1.0287,2013-04-26 00:00:00,HF000002KF
1.0441,2013-05-03 00:00:00,HF000002KF
1.0627,2013-05-10 00:00:00,HF000002KF
1.0483,2013-05-15 00:00:00,HF000002KF
1.0778,2013-05-17 00:00:00,HF000002KF
1.0588,2013-05-24 00:00:00,HF000002KF
1.0672,2013-05-31 00:00:00,HF000002KF
1.0429,2013-06-07 00:00:00,HF000002KF
1.0155,2013-06-14 00:00:00,HF000002KF
0.971,2013-06-21 00:00:00,HF000002KF
0.9629,2013-06-28 00:00:00,HF000002KF
0.9606,2013-07-05 00:00:00,HF000002KF
1.0021,2013-07-12 00:00:00,HF000002KF
1.0059,2013-07-15 00:00:00,HF000002KF
0.9785,2013-07-19 00:00:00,HF000002KF
1.0001,2013-07-26 00:00:00,HF000002KF
0.9964,2013-07-31 00:00:00,HF000002KF
1.0151,2013-08-02 00:00:00,HF000002KF
1.0002,2013-08-09 00:00:00,HF000002KF
1.038,2013-08-15 00:00:00,HF000002KF
1.0338,2013-08-16 00:00:00,HF000002KF
1.0203,2013-08-23 00:00:00,HF000002KF
1.0234,2013-08-30 00:00:00,HF000002KF
1.0558,2013-09-06 00:00:00,HF000002KF
1.1123,2013-09-13 00:00:00,HF000002KF
1.0797,2013-09-18 00:00:00,HF000002KF
1.0498,2013-09-27 00:00:00,HF000002KF
1.0603,2013-09-30 00:00:00,HF000002KF
1.0633,2013-10-11 00:00:00,HF000002KF
1.0658,2013-10-15 00:00:00,HF000002KF
1.0528,2013-10-18 00:00:00,HF000002KF
1.0363,2013-10-25 00:00:00,HF000002KF
1.0713,2013-10-31 00:00:00,HF000002KF
1.0796,2013-11-01 00:00:00,HF000002KF
1.0714,2013-11-08 00:00:00,HF000002KF
1.0662,2013-11-15 00:00:00,HF000002KF
1.1076,2013-11-22 00:00:00,HF000002KF
1.1038,2013-11-29 00:00:00,HF000002KF
1.1178,2013-12-06 00:00:00,HF000002KF
1.0887,2013-12-13 00:00:00,HF000002KF
1.0357,2013-12-20 00:00:00,HF000002KF
1.0315,2013-12-27 00:00:00,HF000002KF
1.0391,2013-12-31 00:00:00,HF000002KF
1.0276,2014-01-03 00:00:00,HF000002KF
1.0005,2014-01-10 00:00:00,HF000002KF
1.0067,2014-01-15 00:00:00,HF000002KF
0.999,2014-01-17 00:00:00,HF000002KF
1.0107,2014-01-24 00:00:00,HF000002KF
0.9965,2014-01-30 00:00:00,HF000002KF
0.998,2014-02-07 00:00:00,HF000002KF
1.024,2014-02-14 00:00:00,HF000002KF
1.0217,2014-02-21 00:00:00,HF000002KF
0.9979,2014-02-28 00:00:00,HF000002KF
0.9896,2014-03-07 00:00:00,HF000002KF
0.9569,2014-03-14 00:00:00,HF000002KF
0.9918,2014-03-21 00:00:00,HF000002KF
1.0037,2014-03-28 00:00:00,HF000002KF
1.0023,2014-03-31 00:00:00,HF000002KF
1.0077,2014-04-04 00:00:00,HF000002KF
1.0595,2014-04-11 00:00:00,HF000002KF
1.0351,2014-04-15 00:00:00,HF000002KF
1.025,2014-04-18 00:00:00,HF000002KF
1.0096,2014-04-25 00:00:00,HF000002KF
1.0092,2014-04-30 00:00:00,HF000002KF
1.0103,2014-05-09 00:00:00,HF000002KF
1.0181,2014-05-15 00:00:00,HF000002KF
1.0186,2014-05-16 00:00:00,HF000002KF
1.0229,2014-05-23 00:00:00,HF000002KF
1.0242,2014-05-30 00:00:00,HF000002KF
1.0221,2014-06-06 00:00:00,HF000002KF
1.0431,2014-06-13 00:00:00,HF000002KF
1.039,2014-06-20 00:00:00,HF000002KF
1.037,2014-06-27 00:00:00,HF000002KF
1.0422,2014-06-30 00:00:00,HF000002KF
1.0435,2014-07-04 00:00:00,HF000002KF
1.049,2014-07-11 00:00:00,HF000002KF
1.06,2014-07-15 00:00:00,HF000002KF
1.0757,2014-07-18 00:00:00,HF000002KF
1.121,2014-07-25 00:00:00,HF000002KF
1.1461,2014-07-31 00:00:00,HF000002KF
1.1383,2014-08-01 00:00:00,HF000002KF
1.1302,2014-08-08 00:00:00,HF000002KF
1.1431,2014-08-15 00:00:00,HF000002KF
1.1381,2014-08-22 00:00:00,HF000002KF
1.1375,2014-08-29 00:00:00,HF000002KF
1.195,2014-09-05 00:00:00,HF000002KF
1.1825,2014-09-12 00:00:00,HF000002KF
1.1726,2014-09-15 00:00:00,HF000002KF
1.1664,2014-09-19 00:00:00,HF000002KF
1.1677,2014-09-26 00:00:00,HF000002KF
1.1643,2014-09-30 00:00:00,HF000002KF
1.1711,2014-10-10 00:00:00,HF000002KF
1.155,2014-10-15 00:00:00,HF000002KF
1.1491,2014-10-17 00:00:00,HF000002KF
1.1318,2014-10-24 00:00:00,HF000002KF
1.1943,2014-10-31 00:00:00,HF000002KF
1.1988,2014-11-07 00:00:00,HF000002KF
1.2603,2014-11-14 00:00:00,HF000002KF
1.2413,2014-11-21 00:00:00,HF000002KF
1.3479,2014-11-28 00:00:00,HF000002KF
1.4928,2014-12-05 00:00:00,HF000002KF
1.5161,2014-12-12 00:00:00,HF000002KF
1.4974,2014-12-15 00:00:00,HF000002KF
1.6458,2014-12-19 00:00:00,HF000002KF
1.6548,2014-12-26 00:00:00,HF000002KF
1.6994,2014-12-31 00:00:00,HF000002KF
1.6861,2015-01-09 00:00:00,HF000002KF
1.7187,2015-01-15 00:00:00,HF000002KF
1.7304,2015-01-16 00:00:00,HF000002KF
1.6765,2015-01-23 00:00:00,HF000002KF
