value,date,id
1.0,2012-06-04 00:00:00,HF000002KG
0.973,2012-06-29 00:00:00,HF000002KG
0.9001,2012-07-31 00:00:00,HF000002KG
0.9158,2012-08-31 00:00:00,HF000002KG
0.9026,2012-09-28 00:00:00,HF000002KG
0.9047,2012-10-31 00:00:00,HF000002KG
0.8638,2012-11-15 00:00:00,HF000002KG
0.8653,2012-11-16 00:00:00,HF000002KG
0.8408,2012-11-30 00:00:00,HF000002KG
0.8806,2012-12-14 00:00:00,HF000002KG
0.8877,2012-12-31 00:00:00,HF000002KG
0.9018,2013-01-15 00:00:00,HF000002KG
0.958,2013-01-31 00:00:00,HF000002KG
0.9588,2013-02-01 00:00:00,HF000002KG
0.9795,2013-02-08 00:00:00,HF000002KG
0.8712,2013-02-22 00:00:00,HF000002KG
0.927,2013-02-28 00:00:00,HF000002KG
0.9295,2013-03-01 00:00:00,HF000002KG
0.8654,2013-03-08 00:00:00,HF000002KG
0.8567,2013-03-15 00:00:00,HF000002KG
0.8919,2013-03-22 00:00:00,HF000002KG
0.8699,2013-03-29 00:00:00,HF000002KG
0.8476,2013-04-03 00:00:00,HF000002KG
0.8495,2013-04-12 00:00:00,HF000002KG
0.897,2013-04-19 00:00:00,HF000002KG
0.8419,2013-04-26 00:00:00,HF000002KG
0.8645,2013-05-03 00:00:00,HF000002KG
0.9166,2013-05-10 00:00:00,HF000002KG
0.9412,2013-05-17 00:00:00,HF000002KG
0.9526,2013-05-24 00:00:00,HF000002KG
0.9935,2013-05-31 00:00:00,HF000002KG
0.9589,2013-06-07 00:00:00,HF000002KG
0.9937,2013-06-14 00:00:00,HF000002KG
0.9782,2013-06-21 00:00:00,HF000002KG
0.9268,2013-06-28 00:00:00,HF000002KG
0.9712,2013-07-05 00:00:00,HF000002KG
0.9539,2013-07-12 00:00:00,HF000002KG
0.9613,2013-07-19 00:00:00,HF000002KG
1.0156,2013-07-26 00:00:00,HF000002KG
1.0045,2013-08-02 00:00:00,HF000002KG
1.0068,2013-08-09 00:00:00,HF000002KG
0.9886,2013-08-16 00:00:00,HF000002KG
1.067,2013-08-23 00:00:00,HF000002KG
1.0241,2013-08-30 00:00:00,HF000002KG
1.0703,2013-09-06 00:00:00,HF000002KG
1.0494,2013-09-13 00:00:00,HF000002KG
1.0585,2013-09-18 00:00:00,HF000002KG
1.098,2013-09-27 00:00:00,HF000002KG
1.11,2013-09-30 00:00:00,HF000002KG
1.1254,2013-10-11 00:00:00,HF000002KG
1.1629,2013-10-18 00:00:00,HF000002KG
1.1327,2013-10-25 00:00:00,HF000002KG
1.1176,2013-10-31 00:00:00,HF000002KG
1.1153,2013-11-01 00:00:00,HF000002KG
1.0922,2013-11-08 00:00:00,HF000002KG
1.1465,2013-11-15 00:00:00,HF000002KG
1.183,2013-11-22 00:00:00,HF000002KG
1.2442,2013-11-29 00:00:00,HF000002KG
1.1483,2013-12-06 00:00:00,HF000002KG
1.1433,2013-12-13 00:00:00,HF000002KG
1.0482,2013-12-20 00:00:00,HF000002KG
1.0394,2013-12-27 00:00:00,HF000002KG
1.0267,2013-12-31 00:00:00,HF000002KG
1.017,2014-01-03 00:00:00,HF000002KG
0.9866,2014-01-10 00:00:00,HF000002KG
1.0579,2014-01-15 00:00:00,HF000002KG
1.0387,2014-01-17 00:00:00,HF000002KG
1.1,2014-01-24 00:00:00,HF000002KG
1.0463,2014-01-30 00:00:00,HF000002KG
1.127,2014-02-07 00:00:00,HF000002KG
1.1217,2014-02-14 00:00:00,HF000002KG
1.0816,2014-02-21 00:00:00,HF000002KG
1.0059,2014-02-28 00:00:00,HF000002KG
0.9991,2014-03-07 00:00:00,HF000002KG
0.9924,2014-03-14 00:00:00,HF000002KG
0.9917,2014-03-21 00:00:00,HF000002KG
0.9885,2014-03-28 00:00:00,HF000002KG
0.9823,2014-03-31 00:00:00,HF000002KG
1.0041,2014-04-04 00:00:00,HF000002KG
1.0105,2014-04-11 00:00:00,HF000002KG
0.9819,2014-04-15 00:00:00,HF000002KG
0.9869,2014-04-18 00:00:00,HF000002KG
0.9632,2014-04-25 00:00:00,HF000002KG
0.9785,2014-04-30 00:00:00,HF000002KG
0.9375,2014-05-09 00:00:00,HF000002KG
0.9367,2014-05-15 00:00:00,HF000002KG
0.9479,2014-05-16 00:00:00,HF000002KG
0.8909,2014-05-23 00:00:00,HF000002KG
0.8963,2014-05-30 00:00:00,HF000002KG
0.8892,2014-06-06 00:00:00,HF000002KG
0.9032,2014-06-13 00:00:00,HF000002KG
0.8841,2014-06-20 00:00:00,HF000002KG
