value,date,id
1.0,2012-08-31 00:00:00,HF000003FS
0.9969,2012-09-29 00:00:00,HF000003FS
1.0012,2012-10-31 00:00:00,HF000003FS
0.9853,2012-11-30 00:00:00,HF000003FS
1.008,2012-12-31 00:00:00,HF000003FS
1.0978,2013-01-31 00:00:00,HF000003FS
1.1245,2013-02-28 00:00:00,HF000003FS
1.1443,2013-03-29 00:00:00,HF000003FS
1.1604,2013-04-28 00:00:00,HF000003FS
1.1604,2013-05-02 00:00:00,HF000003FS
1.351866,2013-05-31 00:00:00,HF000003FS
1.24290444,2013-06-28 00:00:00,HF000003FS
1.31194824,2013-07-31 00:00:00,HF000003FS
1.35256224,2013-08-30 00:00:00,HF000003FS
1.47034284,2013-09-30 00:00:00,HF000003FS
1.3727532,2013-10-31 00:00:00,HF000003FS
1.41174264,2013-11-29 00:00:00,HF000003FS
1.41117794,2013-12-31 00:00:00,HF000003FS
1.4228954,2014-01-30 00:00:00,HF000003FS
1.45522431,2014-02-28 00:00:00,HF000003FS
1.42120131,2014-03-31 00:00:00,HF000003FS
1.40284866,2014-04-30 00:00:00,HF000003FS
1.42670711,2014-05-30 00:00:00,HF000003FS
1.50703527,2014-06-30 00:00:00,HF000003FS
1.56816373,2014-07-31 00:00:00,HF000003FS
1.55065812,2014-08-29 00:00:00,HF000003FS
1.66458575,2014-09-30 00:00:00,HF000003FS
1.68279723,2014-10-31 00:00:00,HF000003FS
1.72404129,2014-11-28 00:00:00,HF000003FS
1.67909846,2014-12-31 00:00:00,HF000003FS
1.8354066,2015-01-30 00:00:00,HF000003FS
1.87634714,2015-02-28 00:00:00,HF000003FS
2.09827308,2015-03-31 00:00:00,HF000003FS
2.30466985,2015-04-30 00:00:00,HF000003FS
2.69318142,2015-05-29 00:00:00,HF000003FS
2.63685289,2015-06-30 00:00:00,HF000003FS
2.56471284,2015-07-31 00:00:00,HF000003FS
