value,date,id
1.0,2012-07-30 00:00:00,HF000003HH
1.018,2012-08-06 00:00:00,HF000003HH
1.009,2012-08-10 00:00:00,HF000003HH
1.001,2012-08-17 00:00:00,HF000003HH
0.995,2012-08-24 00:00:00,HF000003HH
0.951,2012-08-31 00:00:00,HF000003HH
0.994,2012-09-07 00:00:00,HF000003HH
1.01,2012-09-14 00:00:00,HF000003HH
0.984,2012-09-21 00:00:00,HF000003HH
1.003,2012-09-28 00:00:00,HF000003HH
1.002,2012-10-12 00:00:00,HF000003HH
0.999,2012-10-19 00:00:00,HF000003HH
0.952,2012-10-26 00:00:00,HF000003HH
0.973,2012-11-02 00:00:00,HF000003HH
0.939,2012-11-09 00:00:00,HF000003HH
0.901,2012-11-16 00:00:00,HF000003HH
0.904,2012-11-23 00:00:00,HF000003HH
0.893,2012-11-30 00:00:00,HF000003HH
0.921,2012-12-07 00:00:00,HF000003HH
0.975,2012-12-14 00:00:00,HF000003HH
0.999,2012-12-21 00:00:00,HF000003HH
1.067,2012-12-28 00:00:00,HF000003HH
1.088,2013-01-04 00:00:00,HF000003HH
1.043,2013-01-11 00:00:00,HF000003HH
1.075,2013-01-18 00:00:00,HF000003HH
1.061,2013-01-25 00:00:00,HF000003HH
1.076,2013-02-01 00:00:00,HF000003HH
1.149,2013-02-08 00:00:00,HF000003HH
1.043,2013-02-15 00:00:00,HF000003HH
1.076,2013-03-01 00:00:00,HF000003HH
1.013,2013-03-15 00:00:00,HF000003HH
0.981,2013-03-29 00:00:00,HF000003HH
