value,date,id
1.0,2009-10-10 00:00:00,HF000003K7
1.0129,2009-10-15 00:00:00,HF000003K7
1.0098,2009-10-30 00:00:00,HF000003K7
1.0925,2009-11-30 00:00:00,HF000003K7
1.0978,2009-12-15 00:00:00,HF000003K7
1.1166,2009-12-31 00:00:00,HF000003K7
1.1499,2010-01-15 00:00:00,HF000003K7
1.1114,2010-01-29 00:00:00,HF000003K7
1.1514,2010-02-26 00:00:00,HF000003K7
1.1348,2010-03-15 00:00:00,HF000003K7
1.1507,2010-03-26 00:00:00,HF000003K7
1.162,2010-03-31 00:00:00,HF000003K7
1.1144,2010-04-30 00:00:00,HF000003K7
1.0756,2010-05-31 00:00:00,HF000003K7
1.0316,2010-06-30 00:00:00,HF000003K7
1.0558,2010-07-30 00:00:00,HF000003K7
1.0864,2010-08-31 00:00:00,HF000003K7
1.1202,2010-09-30 00:00:00,HF000003K7
1.2024,2010-10-29 00:00:00,HF000003K7
1.2362,2010-11-30 00:00:00,HF000003K7
1.2306,2010-12-31 00:00:00,HF000003K7
1.1407,2011-01-31 00:00:00,HF000003K7
1.1615,2011-02-18 00:00:00,HF000003K7
1.1644,2011-02-25 00:00:00,HF000003K7
1.1685,2011-02-28 00:00:00,HF000003K7
1.1728,2011-03-04 00:00:00,HF000003K7
1.1732,2011-03-11 00:00:00,HF000003K7
1.165,2011-03-15 00:00:00,HF000003K7
1.1632,2011-03-18 00:00:00,HF000003K7
1.173,2011-03-25 00:00:00,HF000003K7
1.1526,2011-03-31 00:00:00,HF000003K7
1.1692,2011-04-01 00:00:00,HF000003K7
1.1818,2011-04-08 00:00:00,HF000003K7
1.1881,2011-04-15 00:00:00,HF000003K7
1.1856,2011-04-22 00:00:00,HF000003K7
1.1589,2011-04-29 00:00:00,HF000003K7
1.1485,2011-05-06 00:00:00,HF000003K7
1.1528,2011-05-13 00:00:00,HF000003K7
1.1545,2011-05-20 00:00:00,HF000003K7
1.0997,2011-05-27 00:00:00,HF000003K7
1.1037,2011-05-31 00:00:00,HF000003K7
1.1045,2011-06-03 00:00:00,HF000003K7
1.1144,2011-06-10 00:00:00,HF000003K7
1.1129,2011-06-15 00:00:00,HF000003K7
1.1045,2011-06-17 00:00:00,HF000003K7
1.1286,2011-06-24 00:00:00,HF000003K7
1.1386,2011-06-30 00:00:00,HF000003K7
1.1621,2011-07-08 00:00:00,HF000003K7
1.1741,2011-07-15 00:00:00,HF000003K7
1.1638,2011-07-22 00:00:00,HF000003K7
1.1478,2011-07-29 00:00:00,HF000003K7
1.1552,2011-08-05 00:00:00,HF000003K7
1.1689,2011-08-12 00:00:00,HF000003K7
1.1747,2011-08-15 00:00:00,HF000003K7
1.1589,2011-08-19 00:00:00,HF000003K7
1.171,2011-08-26 00:00:00,HF000003K7
1.1694,2011-08-31 00:00:00,HF000003K7
1.1596,2011-09-02 00:00:00,HF000003K7
1.1448,2011-09-09 00:00:00,HF000003K7
1.1357,2011-09-15 00:00:00,HF000003K7
1.1335,2011-09-16 00:00:00,HF000003K7
1.1129,2011-09-23 00:00:00,HF000003K7
1.0814,2011-09-30 00:00:00,HF000003K7
1.0733,2011-10-14 00:00:00,HF000003K7
1.0435,2011-10-21 00:00:00,HF000003K7
1.0778,2011-10-28 00:00:00,HF000003K7
1.0795,2011-10-31 00:00:00,HF000003K7
1.0883,2011-11-04 00:00:00,HF000003K7
1.0941,2011-11-11 00:00:00,HF000003K7
1.1025,2011-11-15 00:00:00,HF000003K7
1.0809,2011-11-18 00:00:00,HF000003K7
1.0853,2011-11-25 00:00:00,HF000003K7
1.0877,2011-11-30 00:00:00,HF000003K7
1.0877,2011-12-02 00:00:00,HF000003K7
1.0689,2011-12-09 00:00:00,HF000003K7
1.0256,2011-12-15 00:00:00,HF000003K7
1.04,2011-12-16 00:00:00,HF000003K7
1.0301,2011-12-23 00:00:00,HF000003K7
1.0077,2011-12-30 00:00:00,HF000003K7
0.9618,2012-01-06 00:00:00,HF000003K7
0.9682,2012-01-13 00:00:00,HF000003K7
0.9693,2012-01-20 00:00:00,HF000003K7
0.9697,2012-01-31 00:00:00,HF000003K7
0.9729,2012-02-03 00:00:00,HF000003K7
0.9774,2012-02-10 00:00:00,HF000003K7
0.98,2012-02-15 00:00:00,HF000003K7
0.9786,2012-02-17 00:00:00,HF000003K7
0.9823,2012-02-24 00:00:00,HF000003K7
0.9811,2012-02-29 00:00:00,HF000003K7
0.9832,2012-03-02 00:00:00,HF000003K7
0.9832,2012-03-09 00:00:00,HF000003K7
0.9795,2012-03-15 00:00:00,HF000003K7
0.9855,2012-03-16 00:00:00,HF000003K7
0.9749,2012-03-23 00:00:00,HF000003K7
0.9698,2012-03-30 00:00:00,HF000003K7
0.9817,2012-04-06 00:00:00,HF000003K7
0.9943,2012-04-13 00:00:00,HF000003K7
1.0032,2012-04-20 00:00:00,HF000003K7
0.9962,2012-04-27 00:00:00,HF000003K7
1.0114,2012-05-04 00:00:00,HF000003K7
0.9991,2012-05-11 00:00:00,HF000003K7
1.0011,2012-05-15 00:00:00,HF000003K7
0.9916,2012-05-18 00:00:00,HF000003K7
0.9952,2012-05-25 00:00:00,HF000003K7
1.0183,2012-05-31 00:00:00,HF000003K7
1.0188,2012-06-01 00:00:00,HF000003K7
0.9995,2012-06-08 00:00:00,HF000003K7
1.0213,2012-06-15 00:00:00,HF000003K7
1.0115,2012-06-21 00:00:00,HF000003K7
1.0105,2012-06-29 00:00:00,HF000003K7
1.0212,2012-07-06 00:00:00,HF000003K7
1.0187,2012-07-13 00:00:00,HF000003K7
1.0117,2012-07-20 00:00:00,HF000003K7
1.003,2012-07-27 00:00:00,HF000003K7
0.9968,2012-07-31 00:00:00,HF000003K7
1.006,2012-08-03 00:00:00,HF000003K7
1.0198,2012-08-10 00:00:00,HF000003K7
1.012,2012-08-15 00:00:00,HF000003K7
1.0059,2012-08-17 00:00:00,HF000003K7
1.0145,2012-08-24 00:00:00,HF000003K7
1.0008,2012-08-31 00:00:00,HF000003K7
1.0176,2012-09-07 00:00:00,HF000003K7
1.0184,2012-09-14 00:00:00,HF000003K7
1.0006,2012-09-21 00:00:00,HF000003K7
1.0106,2012-09-28 00:00:00,HF000003K7
1.01,2012-10-12 00:00:00,HF000003K7
1.0132,2012-10-15 00:00:00,HF000003K7
1.0181,2012-10-19 00:00:00,HF000003K7
0.9993,2012-10-26 00:00:00,HF000003K7
0.9996,2012-10-31 00:00:00,HF000003K7
1.0056,2012-11-02 00:00:00,HF000003K7
0.9848,2012-11-09 00:00:00,HF000003K7
0.9785,2012-11-15 00:00:00,HF000003K7
0.9811,2012-11-16 00:00:00,HF000003K7
0.9777,2012-11-23 00:00:00,HF000003K7
0.9586,2012-11-30 00:00:00,HF000003K7
0.9702,2012-12-07 00:00:00,HF000003K7
0.991,2012-12-14 00:00:00,HF000003K7
0.9889,2012-12-21 00:00:00,HF000003K7
1.0356,2012-12-28 00:00:00,HF000003K7
1.048,2012-12-31 00:00:00,HF000003K7
1.0312,2013-01-04 00:00:00,HF000003K7
1.0446,2013-01-11 00:00:00,HF000003K7
1.0846,2013-01-15 00:00:00,HF000003K7
1.0891,2013-01-18 00:00:00,HF000003K7
1.0939,2013-01-25 00:00:00,HF000003K7
1.1097,2013-01-31 00:00:00,HF000003K7
1.1102,2013-02-01 00:00:00,HF000003K7
1.1341,2013-02-08 00:00:00,HF000003K7
1.1175,2013-02-22 00:00:00,HF000003K7
1.1271,2013-02-28 00:00:00,HF000003K7
1.1334,2013-03-01 00:00:00,HF000003K7
1.1298,2013-03-08 00:00:00,HF000003K7
1.1353,2013-03-15 00:00:00,HF000003K7
1.1589,2013-03-22 00:00:00,HF000003K7
1.1553,2013-03-29 00:00:00,HF000003K7
1.1402,2013-04-03 00:00:00,HF000003K7
1.149,2013-04-12 00:00:00,HF000003K7
1.1469,2013-04-15 00:00:00,HF000003K7
1.1586,2013-04-19 00:00:00,HF000003K7
1.1612,2013-04-26 00:00:00,HF000003K7
1.175,2013-05-03 00:00:00,HF000003K7
1.1814,2013-05-10 00:00:00,HF000003K7
1.1866,2013-05-15 00:00:00,HF000003K7
1.195,2013-05-17 00:00:00,HF000003K7
1.2218,2013-05-24 00:00:00,HF000003K7
1.2154,2013-05-31 00:00:00,HF000003K7
1.1848,2013-06-07 00:00:00,HF000003K7
1.1839,2013-06-14 00:00:00,HF000003K7
1.1723,2013-06-21 00:00:00,HF000003K7
1.1491,2013-06-28 00:00:00,HF000003K7
1.1707,2013-07-05 00:00:00,HF000003K7
1.1853,2013-07-12 00:00:00,HF000003K7
1.1981,2013-07-15 00:00:00,HF000003K7
1.1808,2013-07-19 00:00:00,HF000003K7
1.1942,2013-07-26 00:00:00,HF000003K7
1.1873,2013-07-31 00:00:00,HF000003K7
1.2134,2013-08-02 00:00:00,HF000003K7
1.2271,2013-08-09 00:00:00,HF000003K7
1.2162,2013-08-15 00:00:00,HF000003K7
1.2066,2013-08-16 00:00:00,HF000003K7
1.2327,2013-08-23 00:00:00,HF000003K7
1.2231,2013-08-30 00:00:00,HF000003K7
1.2345,2013-09-06 00:00:00,HF000003K7
1.2378,2013-09-13 00:00:00,HF000003K7
1.2508,2013-09-18 00:00:00,HF000003K7
1.2703,2013-09-27 00:00:00,HF000003K7
1.2708,2013-09-30 00:00:00,HF000003K7
1.2776,2013-10-11 00:00:00,HF000003K7
1.292,2013-10-15 00:00:00,HF000003K7
1.2755,2013-10-18 00:00:00,HF000003K7
1.2484,2013-10-25 00:00:00,HF000003K7
1.2251,2013-10-31 00:00:00,HF000003K7
