value,date,id
1.0,2012-07-30 00:00:00,HF000003KV
0.9976,2012-07-31 00:00:00,HF000003KV
1.0069,2012-08-03 00:00:00,HF000003KV
1.0243,2012-08-10 00:00:00,HF000003KV
0.9952,2012-08-17 00:00:00,HF000003KV
0.9953,2012-08-24 00:00:00,HF000003KV
0.9747,2012-08-31 00:00:00,HF000003KV
1.0123,2012-09-07 00:00:00,HF000003KV
1.0068,2012-09-14 00:00:00,HF000003KV
0.9703,2012-09-21 00:00:00,HF000003KV
0.9992,2012-09-28 00:00:00,HF000003KV
1.0061,2012-10-12 00:00:00,HF000003KV
1.0247,2012-10-19 00:00:00,HF000003KV
0.998,2012-10-26 00:00:00,HF000003KV
1.0055,2012-10-31 00:00:00,HF000003KV
1.0197,2012-11-02 00:00:00,HF000003KV
1.0001,2012-11-09 00:00:00,HF000003KV
0.9785,2012-11-16 00:00:00,HF000003KV
0.9836,2012-11-23 00:00:00,HF000003KV
0.9659,2012-11-30 00:00:00,HF000003KV
0.9723,2012-12-07 00:00:00,HF000003KV
0.9907,2012-12-14 00:00:00,HF000003KV
0.9915,2012-12-21 00:00:00,HF000003KV
1.0324,2012-12-31 00:00:00,HF000003KV
1.0263,2013-01-04 00:00:00,HF000003KV
1.0428,2013-01-11 00:00:00,HF000003KV
1.0614,2013-01-18 00:00:00,HF000003KV
1.0259,2013-01-25 00:00:00,HF000003KV
1.0391,2013-01-31 00:00:00,HF000003KV
1.0415,2013-02-01 00:00:00,HF000003KV
1.0913,2013-02-08 00:00:00,HF000003KV
1.0431,2013-02-22 00:00:00,HF000003KV
1.0568,2013-02-28 00:00:00,HF000003KV
1.053,2013-03-01 00:00:00,HF000003KV
1.031,2013-03-08 00:00:00,HF000003KV
1.0111,2013-03-15 00:00:00,HF000003KV
1.0371,2013-03-22 00:00:00,HF000003KV
1.0216,2013-03-29 00:00:00,HF000003KV
1.0171,2013-04-03 00:00:00,HF000003KV
1.034,2013-04-12 00:00:00,HF000003KV
1.0756,2013-04-19 00:00:00,HF000003KV
1.0591,2013-04-26 00:00:00,HF000003KV
1.0844,2013-05-03 00:00:00,HF000003KV
1.1247,2013-05-10 00:00:00,HF000003KV
1.1548,2013-05-17 00:00:00,HF000003KV
1.1786,2013-05-24 00:00:00,HF000003KV
1.2385,2013-05-31 00:00:00,HF000003KV
1.1879,2013-06-07 00:00:00,HF000003KV
1.1932,2013-06-14 00:00:00,HF000003KV
1.1175,2013-06-21 00:00:00,HF000003KV
1.0971,2013-06-28 00:00:00,HF000003KV
1.1442,2013-07-05 00:00:00,HF000003KV
1.1752,2013-07-12 00:00:00,HF000003KV
1.155,2013-07-19 00:00:00,HF000003KV
1.2142,2013-07-26 00:00:00,HF000003KV
1.1865,2013-07-31 00:00:00,HF000003KV
1.2151,2013-08-02 00:00:00,HF000003KV
1.2196,2013-08-09 00:00:00,HF000003KV
1.1726,2013-08-16 00:00:00,HF000003KV
1.1958,2013-08-23 00:00:00,HF000003KV
1.1782,2013-08-30 00:00:00,HF000003KV
1.1908,2013-09-06 00:00:00,HF000003KV
1.1544,2013-09-13 00:00:00,HF000003KV
1.1646,2013-09-18 00:00:00,HF000003KV
1.1584,2013-09-27 00:00:00,HF000003KV
1.1718,2013-09-30 00:00:00,HF000003KV
1.2057,2013-10-11 00:00:00,HF000003KV
1.196,2013-10-18 00:00:00,HF000003KV
1.1374,2013-10-25 00:00:00,HF000003KV
1.1118,2013-10-31 00:00:00,HF000003KV
1.1043,2013-11-01 00:00:00,HF000003KV
1.1086,2013-11-08 00:00:00,HF000003KV
1.1498,2013-11-15 00:00:00,HF000003KV
1.1559,2013-11-22 00:00:00,HF000003KV
1.201,2013-11-29 00:00:00,HF000003KV
1.1719,2013-12-06 00:00:00,HF000003KV
1.1885,2013-12-13 00:00:00,HF000003KV
1.1981,2013-12-20 00:00:00,HF000003KV
1.2196,2013-12-27 00:00:00,HF000003KV
1.227,2013-12-31 00:00:00,HF000003KV
1.2445,2014-01-03 00:00:00,HF000003KV
1.238,2014-01-10 00:00:00,HF000003KV
1.2392,2014-01-17 00:00:00,HF000003KV
1.2792,2014-01-24 00:00:00,HF000003KV
1.2917,2014-01-30 00:00:00,HF000003KV
1.3136,2014-02-07 00:00:00,HF000003KV
1.3075,2014-02-14 00:00:00,HF000003KV
1.2941,2014-02-21 00:00:00,HF000003KV
1.2476,2014-02-28 00:00:00,HF000003KV
1.2628,2014-03-07 00:00:00,HF000003KV
1.2487,2014-03-14 00:00:00,HF000003KV
1.2356,2014-03-21 00:00:00,HF000003KV
1.1767,2014-03-28 00:00:00,HF000003KV
1.1709,2014-03-31 00:00:00,HF000003KV
1.1955,2014-04-04 00:00:00,HF000003KV
1.2265,2014-04-11 00:00:00,HF000003KV
1.2097,2014-04-18 00:00:00,HF000003KV
1.1656,2014-04-25 00:00:00,HF000003KV
1.1538,2014-04-30 00:00:00,HF000003KV
1.1313,2014-05-09 00:00:00,HF000003KV
1.127,2014-05-16 00:00:00,HF000003KV
1.1457,2014-05-23 00:00:00,HF000003KV
1.1479,2014-05-30 00:00:00,HF000003KV
1.1437,2014-06-06 00:00:00,HF000003KV
1.1603,2014-06-13 00:00:00,HF000003KV
1.153,2014-06-20 00:00:00,HF000003KV
1.1608,2014-06-27 00:00:00,HF000003KV
1.1631,2014-06-30 00:00:00,HF000003KV
1.1677,2014-07-04 00:00:00,HF000003KV
1.1681,2014-07-11 00:00:00,HF000003KV
1.1714,2014-07-18 00:00:00,HF000003KV
1.1691,2014-07-25 00:00:00,HF000003KV
