value,date,id
1.0,2012-09-27 00:00:00,HF000003RK
0.999,2012-10-12 00:00:00,HF000003RK
1.0057,2012-10-19 00:00:00,HF000003RK
0.9889,2012-10-26 00:00:00,HF000003RK
0.9946,2012-10-31 00:00:00,HF000003RK
1.0038,2012-11-02 00:00:00,HF000003RK
0.9877,2012-11-09 00:00:00,HF000003RK
0.9669,2012-11-16 00:00:00,HF000003RK
0.9705,2012-11-23 00:00:00,HF000003RK
0.9542,2012-11-30 00:00:00,HF000003RK
0.9568,2012-12-07 00:00:00,HF000003RK
0.9742,2012-12-14 00:00:00,HF000003RK
0.979,2012-12-21 00:00:00,HF000003RK
1.02,2012-12-31 00:00:00,HF000003RK
1.0133,2013-01-04 00:00:00,HF000003RK
1.028,2013-01-11 00:00:00,HF000003RK
1.046,2013-01-18 00:00:00,HF000003RK
1.0089,2013-01-25 00:00:00,HF000003RK
1.022,2013-01-31 00:00:00,HF000003RK
1.0241,2013-02-01 00:00:00,HF000003RK
1.0735,2013-02-08 00:00:00,HF000003RK
1.0462,2013-02-28 00:00:00,HF000003RK
1.0424,2013-03-01 00:00:00,HF000003RK
1.0191,2013-03-08 00:00:00,HF000003RK
0.9995,2013-03-15 00:00:00,HF000003RK
1.0243,2013-03-22 00:00:00,HF000003RK
1.0054,2013-03-29 00:00:00,HF000003RK
1.0033,2013-04-03 00:00:00,HF000003RK
1.0218,2013-04-12 00:00:00,HF000003RK
1.0672,2013-04-19 00:00:00,HF000003RK
1.0487,2013-04-26 00:00:00,HF000003RK
1.0736,2013-05-03 00:00:00,HF000003RK
1.1151,2013-05-10 00:00:00,HF000003RK
1.1477,2013-05-17 00:00:00,HF000003RK
1.1691,2013-05-24 00:00:00,HF000003RK
1.2302,2013-05-31 00:00:00,HF000003RK
1.1823,2013-06-07 00:00:00,HF000003RK
1.1884,2013-06-14 00:00:00,HF000003RK
1.1094,2013-06-21 00:00:00,HF000003RK
1.0828,2013-06-28 00:00:00,HF000003RK
1.1305,2013-07-05 00:00:00,HF000003RK
1.1596,2013-07-12 00:00:00,HF000003RK
1.1385,2013-07-19 00:00:00,HF000003RK
1.1963,2013-07-26 00:00:00,HF000003RK
1.1717,2013-07-31 00:00:00,HF000003RK
1.198,2013-08-02 00:00:00,HF000003RK
1.2041,2013-08-09 00:00:00,HF000003RK
1.1646,2013-08-16 00:00:00,HF000003RK
1.1842,2013-08-23 00:00:00,HF000003RK
1.1704,2013-08-30 00:00:00,HF000003RK
1.1807,2013-09-06 00:00:00,HF000003RK
1.1524,2013-09-13 00:00:00,HF000003RK
1.1626,2013-09-18 00:00:00,HF000003RK
1.1558,2013-09-27 00:00:00,HF000003RK
1.1672,2013-09-30 00:00:00,HF000003RK
1.2065,2013-10-11 00:00:00,HF000003RK
1.1963,2013-10-18 00:00:00,HF000003RK
1.1405,2013-10-25 00:00:00,HF000003RK
1.116,2013-10-31 00:00:00,HF000003RK
1.1075,2013-11-01 00:00:00,HF000003RK
1.1502,2013-11-15 00:00:00,HF000003RK
1.1583,2013-11-22 00:00:00,HF000003RK
1.18,2013-12-06 00:00:00,HF000003RK
1.1976,2013-12-13 00:00:00,HF000003RK
1.201,2013-12-20 00:00:00,HF000003RK
1.2235,2013-12-27 00:00:00,HF000003RK
1.2325,2013-12-31 00:00:00,HF000003RK
1.2429,2014-01-17 00:00:00,HF000003RK
1.2834,2014-01-24 00:00:00,HF000003RK
1.3036,2014-02-21 00:00:00,HF000003RK
1.2611,2014-03-07 00:00:00,HF000003RK
1.2563,2014-03-14 00:00:00,HF000003RK
1.2637,2014-03-21 00:00:00,HF000003RK
