value,date,id
1.0,2013-01-04 00:00:00,HF0000043F
0.972,2013-01-11 00:00:00,HF0000043F
0.996,2013-01-18 00:00:00,HF0000043F
0.9816,2013-01-25 00:00:00,HF0000043F
1.057,2013-02-01 00:00:00,HF0000043F
1.1026,2013-02-08 00:00:00,HF0000043F
1.021,2013-02-22 00:00:00,HF0000043F
1.0226,2013-03-01 00:00:00,HF0000043F
1.006,2013-03-08 00:00:00,HF0000043F
0.9512,2013-03-15 00:00:00,HF0000043F
0.989,2013-03-22 00:00:00,HF0000043F
0.9192,2013-03-29 00:00:00,HF0000043F
0.913,2013-04-03 00:00:00,HF0000043F
0.9118,2013-04-12 00:00:00,HF0000043F
0.9533,2013-04-19 00:00:00,HF0000043F
0.9272,2013-04-26 00:00:00,HF0000043F
0.9956,2013-05-10 00:00:00,HF0000043F
1.0556,2013-05-17 00:00:00,HF0000043F
1.1312,2013-05-24 00:00:00,HF0000043F
1.162,2013-05-31 00:00:00,HF0000043F
1.1318,2013-06-14 00:00:00,HF0000043F
1.1426,2013-06-21 00:00:00,HF0000043F
1.2448,2013-06-28 00:00:00,HF0000043F
1.2746,2013-07-05 00:00:00,HF0000043F
1.3252,2013-07-12 00:00:00,HF0000043F
1.256,2013-07-19 00:00:00,HF0000043F
1.294,2013-07-26 00:00:00,HF0000043F
1.2976,2013-08-02 00:00:00,HF0000043F
1.3126,2013-08-09 00:00:00,HF0000043F
1.3078,2013-08-16 00:00:00,HF0000043F
1.302,2013-08-23 00:00:00,HF0000043F
1.2661,2013-09-06 00:00:00,HF0000043F
1.2813,2013-09-13 00:00:00,HF0000043F
1.2629,2013-09-27 00:00:00,HF0000043F
1.3787,2013-10-11 00:00:00,HF0000043F
1.3301,2013-10-18 00:00:00,HF0000043F
1.3215,2013-10-25 00:00:00,HF0000043F
1.3181,2013-11-01 00:00:00,HF0000043F
1.3125,2013-11-08 00:00:00,HF0000043F
1.3143,2013-11-15 00:00:00,HF0000043F
1.3461,2013-11-22 00:00:00,HF0000043F
1.3569,2013-11-29 00:00:00,HF0000043F
1.3621,2013-12-06 00:00:00,HF0000043F
1.3595,2013-12-13 00:00:00,HF0000043F
1.3597,2013-12-20 00:00:00,HF0000043F
1.3549,2013-12-27 00:00:00,HF0000043F
1.3491,2014-01-03 00:00:00,HF0000043F
1.3385,2014-01-10 00:00:00,HF0000043F
1.3425,2014-01-17 00:00:00,HF0000043F
1.3785,2014-01-24 00:00:00,HF0000043F
1.3547,2014-02-07 00:00:00,HF0000043F
1.3747,2014-02-14 00:00:00,HF0000043F
1.3567,2014-02-21 00:00:00,HF0000043F
1.3095,2014-02-28 00:00:00,HF0000043F
1.3144,2014-03-07 00:00:00,HF0000043F
1.3207,2014-03-14 00:00:00,HF0000043F
1.3955,2014-03-21 00:00:00,HF0000043F
1.4478,2014-03-28 00:00:00,HF0000043F
1.492,2014-04-04 00:00:00,HF0000043F
1.4873,2014-04-11 00:00:00,HF0000043F
1.4379,2014-04-18 00:00:00,HF0000043F
1.4697,2014-04-25 00:00:00,HF0000043F
1.4843,2014-04-30 00:00:00,HF0000043F
1.4075,2014-05-09 00:00:00,HF0000043F
1.4282,2014-05-16 00:00:00,HF0000043F
1.4659,2014-05-23 00:00:00,HF0000043F
1.5058,2014-05-30 00:00:00,HF0000043F
1.4505,2014-06-06 00:00:00,HF0000043F
1.4351,2014-06-13 00:00:00,HF0000043F
1.427,2014-06-20 00:00:00,HF0000043F
1.4203,2014-06-27 00:00:00,HF0000043F
1.4371,2014-07-04 00:00:00,HF0000043F
1.4416,2014-07-11 00:00:00,HF0000043F
1.4862,2014-07-18 00:00:00,HF0000043F
1.5729,2014-07-25 00:00:00,HF0000043F
1.6104,2014-08-01 00:00:00,HF0000043F
1.5966,2014-08-08 00:00:00,HF0000043F
1.5804,2014-08-15 00:00:00,HF0000043F
1.599,2014-08-22 00:00:00,HF0000043F
1.5804,2014-08-29 00:00:00,HF0000043F
1.6173,2014-09-05 00:00:00,HF0000043F
1.5983,2014-09-12 00:00:00,HF0000043F
1.5922,2014-09-19 00:00:00,HF0000043F
1.5756,2014-09-26 00:00:00,HF0000043F
1.5768,2014-09-30 00:00:00,HF0000043F
1.5837,2014-10-10 00:00:00,HF0000043F
1.5786,2014-10-17 00:00:00,HF0000043F
1.5644,2014-10-24 00:00:00,HF0000043F
1.628,2014-10-31 00:00:00,HF0000043F
1.5966,2014-11-07 00:00:00,HF0000043F
1.5996,2014-11-14 00:00:00,HF0000043F
1.582,2014-11-21 00:00:00,HF0000043F
1.7028,2014-11-28 00:00:00,HF0000043F
1.8933,2014-12-05 00:00:00,HF0000043F
1.9271,2014-12-12 00:00:00,HF0000043F
1.9405,2014-12-19 00:00:00,HF0000043F
2.022,2014-12-26 00:00:00,HF0000043F
2.1861,2014-12-31 00:00:00,HF0000043F
2.1743,2015-01-09 00:00:00,HF0000043F
2.2168,2015-01-16 00:00:00,HF0000043F
2.184,2015-01-23 00:00:00,HF0000043F
2.1755,2015-01-30 00:00:00,HF0000043F
2.1271,2015-02-06 00:00:00,HF0000043F
2.1694,2015-02-13 00:00:00,HF0000043F
2.2284,2015-02-27 00:00:00,HF0000043F
2.2288,2015-03-06 00:00:00,HF0000043F
2.2821,2015-03-13 00:00:00,HF0000043F
2.4243,2015-03-20 00:00:00,HF0000043F
2.449,2015-03-27 00:00:00,HF0000043F
2.5505,2015-04-03 00:00:00,HF0000043F
2.7651,2015-04-10 00:00:00,HF0000043F
2.7927,2015-04-17 00:00:00,HF0000043F
2.7153,2015-04-24 00:00:00,HF0000043F
2.7745,2015-04-30 00:00:00,HF0000043F
2.7026,2015-05-08 00:00:00,HF0000043F
2.7004,2015-05-15 00:00:00,HF0000043F
2.7944,2015-05-22 00:00:00,HF0000043F
2.7737,2015-05-29 00:00:00,HF0000043F
2.858,2015-06-12 00:00:00,HF0000043F
2.7794,2015-06-19 00:00:00,HF0000043F
2.8217,2015-06-26 00:00:00,HF0000043F
2.9141,2015-07-03 00:00:00,HF0000043F
2.7929,2015-07-13 00:00:00,HF0000043F
2.8772,2015-07-17 00:00:00,HF0000043F
2.8764,2015-07-24 00:00:00,HF0000043F
2.8209,2015-07-31 00:00:00,HF0000043F
2.7994,2015-08-07 00:00:00,HF0000043F
2.7988,2015-08-14 00:00:00,HF0000043F
