value,date,id
1.0,2013-02-01 00:00:00,HF0000049M
1.0258,2013-02-08 00:00:00,HF0000049M
1.0422,2013-02-22 00:00:00,HF0000049M
1.1039,2013-03-01 00:00:00,HF0000049M
1.212,2013-03-08 00:00:00,HF0000049M
1.3231,2013-03-15 00:00:00,HF0000049M
1.3176,2013-03-22 00:00:00,HF0000049M
1.507,2013-03-29 00:00:00,HF0000049M
1.5294,2013-04-12 00:00:00,HF0000049M
1.772531,2013-11-20 00:00:00,HF0000049M
1.777017,2013-11-21 00:00:00,HF0000049M
1.741253,2013-11-22 00:00:00,HF0000049M
1.757689,2013-11-25 00:00:00,HF0000049M
1.827363,2013-11-26 00:00:00,HF0000049M
1.858627,2013-11-27 00:00:00,HF0000049M
1.875047,2013-11-28 00:00:00,HF0000049M
1.829451,2013-11-29 00:00:00,HF0000049M
1.791832,2013-12-02 00:00:00,HF0000049M
1.833067,2013-12-03 00:00:00,HF0000049M
1.864021,2013-12-04 00:00:00,HF0000049M
1.831665,2013-12-05 00:00:00,HF0000049M
1.798291,2013-12-06 00:00:00,HF0000049M
1.824336,2013-12-13 00:00:00,HF0000049M
1.828067,2013-12-20 00:00:00,HF0000049M
1.805972,2013-12-27 00:00:00,HF0000049M
1.801311,2013-12-31 00:00:00,HF0000049M
1.90743,2014-01-03 00:00:00,HF0000049M
1.975442,2014-01-10 00:00:00,HF0000049M
1.988621,2014-01-17 00:00:00,HF0000049M
1.960712,2014-01-24 00:00:00,HF0000049M
2.059651,2014-01-30 00:00:00,HF0000049M
2.038103,2014-02-07 00:00:00,HF0000049M
2.046755,2014-02-10 00:00:00,HF0000049M
2.088858,2014-02-13 00:00:00,HF0000049M
2.078315,2014-02-14 00:00:00,HF0000049M
2.0154,2014-02-17 00:00:00,HF0000049M
2.076071,2014-02-18 00:00:00,HF0000049M
2.062268,2014-02-19 00:00:00,HF0000049M
2.029091,2014-02-20 00:00:00,HF0000049M
2.023543,2014-02-21 00:00:00,HF0000049M
2.143165,2014-02-24 00:00:00,HF0000049M
2.028823,2014-02-25 00:00:00,HF0000049M
2.038492,2014-02-26 00:00:00,HF0000049M
2.063219,2014-02-27 00:00:00,HF0000049M
2.064321,2014-02-28 00:00:00,HF0000049M
1.953326,2014-03-07 00:00:00,HF0000049M
2.202138,2014-03-10 00:00:00,HF0000049M
2.18473,2014-03-11 00:00:00,HF0000049M
2.274708,2014-03-12 00:00:00,HF0000049M
2.249539,2014-03-13 00:00:00,HF0000049M
2.249539,2014-03-14 00:00:00,HF0000049M
2.234552,2014-03-17 00:00:00,HF0000049M
2.244106,2014-03-18 00:00:00,HF0000049M
2.233888,2014-03-19 00:00:00,HF0000049M
2.241298,2014-03-20 00:00:00,HF0000049M
2.108584,2014-03-21 00:00:00,HF0000049M
2.119409,2014-03-24 00:00:00,HF0000049M
2.248052,2014-03-25 00:00:00,HF0000049M
2.27669,2014-03-26 00:00:00,HF0000049M
2.286384,2014-03-27 00:00:00,HF0000049M
2.317527,2014-03-28 00:00:00,HF0000049M
2.353396,2014-03-31 00:00:00,HF0000049M
2.356516,2014-04-01 00:00:00,HF0000049M
2.351316,2014-04-02 00:00:00,HF0000049M
2.362756,2014-04-03 00:00:00,HF0000049M
2.361086,2014-04-04 00:00:00,HF0000049M
2.334482,2014-04-08 00:00:00,HF0000049M
2.329774,2014-04-09 00:00:00,HF0000049M
2.350931,2014-04-10 00:00:00,HF0000049M
2.336239,2014-04-11 00:00:00,HF0000049M
2.273875,2014-04-14 00:00:00,HF0000049M
2.213203,2014-04-15 00:00:00,HF0000049M
2.226267,2014-04-16 00:00:00,HF0000049M
2.189091,2014-04-17 00:00:00,HF0000049M
2.291046,2014-04-18 00:00:00,HF0000049M
2.32276,2014-04-21 00:00:00,HF0000049M
2.323348,2014-04-22 00:00:00,HF0000049M
2.314489,2014-04-23 00:00:00,HF0000049M
2.285038,2014-04-24 00:00:00,HF0000049M
2.291064,2014-04-25 00:00:00,HF0000049M
2.277494,2014-04-28 00:00:00,HF0000049M
2.277494,2014-04-29 00:00:00,HF0000049M
2.277494,2014-04-30 00:00:00,HF0000049M
2.277494,2014-05-05 00:00:00,HF0000049M
2.219093,2014-05-06 00:00:00,HF0000049M
2.291115,2014-05-07 00:00:00,HF0000049M
2.332934,2014-05-08 00:00:00,HF0000049M
2.3443,2014-05-09 00:00:00,HF0000049M
2.340256,2014-05-12 00:00:00,HF0000049M
2.337792,2014-05-13 00:00:00,HF0000049M
2.344793,2014-05-14 00:00:00,HF0000049M
2.323169,2014-05-15 00:00:00,HF0000049M
2.291291,2014-05-16 00:00:00,HF0000049M
2.339915,2014-05-19 00:00:00,HF0000049M
2.36418,2014-05-20 00:00:00,HF0000049M
2.376264,2014-05-21 00:00:00,HF0000049M
2.373822,2014-05-22 00:00:00,HF0000049M
2.347942,2014-05-23 00:00:00,HF0000049M
2.35034,2014-05-26 00:00:00,HF0000049M
2.292945,2014-05-27 00:00:00,HF0000049M
2.212474,2014-05-28 00:00:00,HF0000049M
2.260859,2014-05-29 00:00:00,HF0000049M
2.183959,2014-05-30 00:00:00,HF0000049M
2.213174,2014-06-03 00:00:00,HF0000049M
2.204084,2014-06-04 00:00:00,HF0000049M
2.295405,2014-06-05 00:00:00,HF0000049M
2.334442,2014-06-06 00:00:00,HF0000049M
2.303923,2014-06-09 00:00:00,HF0000049M
2.314188,2014-06-10 00:00:00,HF0000049M
2.312792,2014-06-11 00:00:00,HF0000049M
2.319394,2014-06-12 00:00:00,HF0000049M
2.414598,2014-06-13 00:00:00,HF0000049M
2.407742,2014-06-16 00:00:00,HF0000049M
2.461408,2014-06-17 00:00:00,HF0000049M
2.425943,2014-06-18 00:00:00,HF0000049M
2.46235,2014-06-19 00:00:00,HF0000049M
2.482866,2014-06-20 00:00:00,HF0000049M
2.61114,2014-06-23 00:00:00,HF0000049M
2.602378,2014-06-24 00:00:00,HF0000049M
2.582838,2014-06-25 00:00:00,HF0000049M
2.679818,2014-06-26 00:00:00,HF0000049M
2.659413,2014-06-27 00:00:00,HF0000049M
2.647827,2014-06-30 00:00:00,HF0000049M
2.612269,2014-07-01 00:00:00,HF0000049M
2.574776,2014-07-02 00:00:00,HF0000049M
2.617673,2014-07-03 00:00:00,HF0000049M
2.548513,2014-07-04 00:00:00,HF0000049M
2.530198,2014-07-07 00:00:00,HF0000049M
2.57723,2014-07-08 00:00:00,HF0000049M
2.542221,2014-07-09 00:00:00,HF0000049M
2.569642,2014-07-10 00:00:00,HF0000049M
2.566411,2014-07-11 00:00:00,HF0000049M
2.546988,2014-07-14 00:00:00,HF0000049M
2.515437,2014-07-15 00:00:00,HF0000049M
2.449367,2014-07-16 00:00:00,HF0000049M
2.45692,2014-07-17 00:00:00,HF0000049M
2.540723,2014-07-18 00:00:00,HF0000049M
2.564201,2014-07-21 00:00:00,HF0000049M
2.584623,2014-07-22 00:00:00,HF0000049M
2.575103,2014-07-23 00:00:00,HF0000049M
2.540148,2014-07-24 00:00:00,HF0000049M
2.516162,2014-07-25 00:00:00,HF0000049M
2.511766,2014-07-28 00:00:00,HF0000049M
2.564669,2014-07-29 00:00:00,HF0000049M
2.562465,2014-07-30 00:00:00,HF0000049M
2.539387,2014-07-31 00:00:00,HF0000049M
2.517437,2014-08-01 00:00:00,HF0000049M
2.559233,2014-08-04 00:00:00,HF0000049M
2.552704,2014-08-05 00:00:00,HF0000049M
2.570182,2014-08-06 00:00:00,HF0000049M
2.558364,2014-08-07 00:00:00,HF0000049M
2.552082,2014-08-08 00:00:00,HF0000049M
2.531977,2014-08-11 00:00:00,HF0000049M
2.507591,2014-08-12 00:00:00,HF0000049M
2.542182,2014-08-13 00:00:00,HF0000049M
2.581839,2014-08-14 00:00:00,HF0000049M
2.589917,2014-08-15 00:00:00,HF0000049M
2.597422,2014-08-18 00:00:00,HF0000049M
2.583929,2014-08-19 00:00:00,HF0000049M
2.593585,2014-08-20 00:00:00,HF0000049M
2.556982,2014-08-21 00:00:00,HF0000049M
2.524991,2014-08-22 00:00:00,HF0000049M
2.555016,2014-08-25 00:00:00,HF0000049M
2.566837,2014-08-26 00:00:00,HF0000049M
2.56334,2014-08-27 00:00:00,HF0000049M
2.606188,2014-08-28 00:00:00,HF0000049M
2.608997,2014-08-29 00:00:00,HF0000049M
2.620023,2014-09-01 00:00:00,HF0000049M
2.627412,2014-09-02 00:00:00,HF0000049M
2.628926,2014-09-03 00:00:00,HF0000049M
2.683303,2014-09-04 00:00:00,HF0000049M
2.700287,2014-09-05 00:00:00,HF0000049M
2.891928,2014-09-09 00:00:00,HF0000049M
2.977802,2014-09-10 00:00:00,HF0000049M
3.076514,2014-09-11 00:00:00,HF0000049M
3.081256,2014-09-12 00:00:00,HF0000049M
3.078028,2014-09-15 00:00:00,HF0000049M
2.978287,2014-09-16 00:00:00,HF0000049M
2.893087,2014-09-17 00:00:00,HF0000049M
2.981799,2014-09-18 00:00:00,HF0000049M
3.141502,2014-09-19 00:00:00,HF0000049M
3.435223,2014-09-22 00:00:00,HF0000049M
3.527429,2014-09-23 00:00:00,HF0000049M
3.527952,2014-09-24 00:00:00,HF0000049M
3.481993,2014-09-25 00:00:00,HF0000049M
3.490263,2014-09-26 00:00:00,HF0000049M
3.445247,2014-09-29 00:00:00,HF0000049M
3.425618,2014-09-30 00:00:00,HF0000049M
3.434535,2014-10-08 00:00:00,HF0000049M
3.404534,2014-10-09 00:00:00,HF0000049M
