value,date,id
1.0,2013-01-18 00:00:00,HF0000049Z
1.1205,2013-01-25 00:00:00,HF0000049Z
1.161,2013-02-01 00:00:00,HF0000049Z
1.1932,2013-02-08 00:00:00,HF0000049Z
1.1323,2013-02-22 00:00:00,HF0000049Z
1.1315,2013-03-01 00:00:00,HF0000049Z
1.0903,2013-03-08 00:00:00,HF0000049Z
1.0163,2013-03-15 00:00:00,HF0000049Z
1.0256,2013-03-22 00:00:00,HF0000049Z
0.9764,2013-03-29 00:00:00,HF0000049Z
0.9808,2013-04-07 00:00:00,HF0000049Z
0.9677,2013-04-12 00:00:00,HF0000049Z
0.9697,2013-04-19 00:00:00,HF0000049Z
0.9488,2013-04-28 00:00:00,HF0000049Z
0.9575,2013-05-03 00:00:00,HF0000049Z
0.9646,2013-05-10 00:00:00,HF0000049Z
0.9811,2013-05-17 00:00:00,HF0000049Z
0.9794,2013-05-24 00:00:00,HF0000049Z
0.991,2013-05-31 00:00:00,HF0000049Z
0.9325,2013-06-14 00:00:00,HF0000049Z
0.9172,2013-06-21 00:00:00,HF0000049Z
0.8388,2013-06-28 00:00:00,HF0000049Z
0.7834,2013-07-05 00:00:00,HF0000049Z
