value,date,id
1.0,2013-02-05 00:00:00,HF000004AQ
1.0,2013-02-06 00:00:00,HF000004AQ
1.013,2013-03-01 00:00:00,HF000004AQ
0.995,2013-03-29 00:00:00,HF000004AQ
1.114,2013-04-26 00:00:00,HF000004AQ
1.2116,2013-05-31 00:00:00,HF000004AQ
1.22,2013-06-28 00:00:00,HF000004AQ
1.275,2013-07-31 00:00:00,HF000004AQ
1.276,2013-08-30 00:00:00,HF000004AQ
1.311,2013-09-30 00:00:00,HF000004AQ
1.324,2013-10-31 00:00:00,HF000004AQ
1.365,2013-11-29 00:00:00,HF000004AQ
1.369,2013-12-06 00:00:00,HF000004AQ
1.381,2013-12-13 00:00:00,HF000004AQ
1.3431,2013-12-20 00:00:00,HF000004AQ
1.3795,2013-12-27 00:00:00,HF000004AQ
1.386,2013-12-31 00:00:00,HF000004AQ
1.3768,2014-01-03 00:00:00,HF000004AQ
1.3621,2014-01-10 00:00:00,HF000004AQ
1.3487,2014-01-17 00:00:00,HF000004AQ
1.3627,2014-01-24 00:00:00,HF000004AQ
1.365,2014-01-30 00:00:00,HF000004AQ
1.3714,2014-02-07 00:00:00,HF000004AQ
