value,date,id
1.0,2012-08-07 00:00:00,HF000004CD
0.9838,2012-08-31 00:00:00,HF000004CD
1.1398,2012-09-28 00:00:00,HF000004CD
1.1557,2012-10-31 00:00:00,HF000004CD
1.113,2012-11-30 00:00:00,HF000004CD
1.2966,2012-12-31 00:00:00,HF000004CD
1.2929,2013-01-31 00:00:00,HF000004CD
1.3076,2013-02-08 00:00:00,HF000004CD
1.3867,2013-02-22 00:00:00,HF000004CD
1.3965,2013-03-01 00:00:00,HF000004CD
1.4092,2013-03-08 00:00:00,HF000004CD
1.4454,2013-03-15 00:00:00,HF000004CD
1.4133,2013-03-22 00:00:00,HF000004CD
1.4007,2013-03-29 00:00:00,HF000004CD
