value,date,id
1.0,2013-02-06 00:00:00,HF000004HD
1.0,2013-02-07 00:00:00,HF000004HD
1.001,2013-02-08 00:00:00,HF000004HD
1.004,2013-02-22 00:00:00,HF000004HD
1.005,2013-03-01 00:00:00,HF000004HD
1.007,2013-03-08 00:00:00,HF000004HD
1.009,2013-03-15 00:00:00,HF000004HD
1.01,2013-03-22 00:00:00,HF000004HD
1.013,2013-03-29 00:00:00,HF000004HD
1.015,2013-04-03 00:00:00,HF000004HD
1.019,2013-04-12 00:00:00,HF000004HD
1.02,2013-04-19 00:00:00,HF000004HD
1.022,2013-04-26 00:00:00,HF000004HD
1.023,2013-05-03 00:00:00,HF000004HD
1.025,2013-05-10 00:00:00,HF000004HD
1.027,2013-05-17 00:00:00,HF000004HD
1.029,2013-05-24 00:00:00,HF000004HD
1.031,2013-05-31 00:00:00,HF000004HD
1.033,2013-06-07 00:00:00,HF000004HD
1.034,2013-06-14 00:00:00,HF000004HD
1.034,2013-06-21 00:00:00,HF000004HD
1.036,2013-06-28 00:00:00,HF000004HD
1.038,2013-07-05 00:00:00,HF000004HD
1.039,2013-07-12 00:00:00,HF000004HD
1.039,2013-07-19 00:00:00,HF000004HD
1.043,2013-07-26 00:00:00,HF000004HD
1.039,2013-08-02 00:00:00,HF000004HD
1.036,2013-08-09 00:00:00,HF000004HD
1.037,2013-08-16 00:00:00,HF000004HD
1.039,2013-08-23 00:00:00,HF000004HD
1.043,2013-08-30 00:00:00,HF000004HD
1.047,2013-09-06 00:00:00,HF000004HD
1.048,2013-09-13 00:00:00,HF000004HD
1.05,2013-09-18 00:00:00,HF000004HD
1.052,2013-09-27 00:00:00,HF000004HD
1.053,2013-09-30 00:00:00,HF000004HD
1.055,2013-10-11 00:00:00,HF000004HD
1.057,2013-10-18 00:00:00,HF000004HD
1.055,2013-10-25 00:00:00,HF000004HD
1.056,2013-11-01 00:00:00,HF000004HD
1.055,2013-11-08 00:00:00,HF000004HD
1.052,2013-11-15 00:00:00,HF000004HD
1.052,2013-11-22 00:00:00,HF000004HD
1.053,2013-11-29 00:00:00,HF000004HD
1.053,2013-12-06 00:00:00,HF000004HD
1.055,2013-12-13 00:00:00,HF000004HD
1.052,2013-12-20 00:00:00,HF000004HD
1.054,2013-12-27 00:00:00,HF000004HD
1.056,2013-12-31 00:00:00,HF000004HD
1.053,2014-01-03 00:00:00,HF000004HD
1.047,2014-01-10 00:00:00,HF000004HD
1.042,2014-01-17 00:00:00,HF000004HD
1.05,2014-01-24 00:00:00,HF000004HD
1.058,2014-01-30 00:00:00,HF000004HD
1.057,2014-02-07 00:00:00,HF000004HD
1.071,2014-02-14 00:00:00,HF000004HD
1.077,2014-02-21 00:00:00,HF000004HD
1.077,2014-02-28 00:00:00,HF000004HD
1.071807,2014-03-07 00:00:00,HF000004HD
1.073884,2014-03-14 00:00:00,HF000004HD
1.078038,2014-03-21 00:00:00,HF000004HD
1.076999,2014-03-28 00:00:00,HF000004HD
1.082192,2014-04-04 00:00:00,HF000004HD
1.087385,2014-04-11 00:00:00,HF000004HD
1.093616,2014-04-18 00:00:00,HF000004HD
1.09777,2014-04-25 00:00:00,HF000004HD
1.100886,2014-04-30 00:00:00,HF000004HD
1.104002,2014-05-09 00:00:00,HF000004HD
1.106079,2014-05-16 00:00:00,HF000004HD
1.108156,2014-05-23 00:00:00,HF000004HD
1.11231,2014-05-30 00:00:00,HF000004HD
1.117503,2014-06-06 00:00:00,HF000004HD
1.11958,2014-06-13 00:00:00,HF000004HD
1.11958,2014-06-20 00:00:00,HF000004HD
1.124773,2014-06-27 00:00:00,HF000004HD
1.118542,2014-07-04 00:00:00,HF000004HD
1.119581,2014-07-11 00:00:00,HF000004HD
1.119581,2014-07-18 00:00:00,HF000004HD
1.12062,2014-07-25 00:00:00,HF000004HD
1.123736,2014-08-01 00:00:00,HF000004HD
1.125813,2014-08-08 00:00:00,HF000004HD
1.128929,2014-08-15 00:00:00,HF000004HD
1.128929,2014-08-22 00:00:00,HF000004HD
1.129968,2014-08-29 00:00:00,HF000004HD
1.134122,2014-09-05 00:00:00,HF000004HD
1.135161,2014-09-12 00:00:00,HF000004HD
1.1362,2014-09-19 00:00:00,HF000004HD
1.138277,2014-09-26 00:00:00,HF000004HD
1.140354,2014-09-30 00:00:00,HF000004HD
1.14347,2014-10-10 00:00:00,HF000004HD
1.146586,2014-10-17 00:00:00,HF000004HD
1.148663,2014-10-24 00:00:00,HF000004HD
1.151779,2014-10-31 00:00:00,HF000004HD
1.153856,2014-11-07 00:00:00,HF000004HD
1.155933,2014-11-14 00:00:00,HF000004HD
1.156972,2014-11-21 00:00:00,HF000004HD
1.159049,2014-11-28 00:00:00,HF000004HD
1.160088,2014-12-05 00:00:00,HF000004HD
1.161127,2014-12-12 00:00:00,HF000004HD
1.163204,2014-12-19 00:00:00,HF000004HD
1.165281,2014-12-26 00:00:00,HF000004HD
1.167358,2014-12-31 00:00:00,HF000004HD
1.168397,2015-01-09 00:00:00,HF000004HD
1.170474,2015-01-16 00:00:00,HF000004HD
1.170474,2015-01-23 00:00:00,HF000004HD
1.174628,2015-01-30 00:00:00,HF000004HD
1.179821,2015-02-06 00:00:00,HF000004HD
1.182937,2015-02-13 00:00:00,HF000004HD
1.183976,2015-02-17 00:00:00,HF000004HD
1.183976,2015-02-27 00:00:00,HF000004HD
1.182937,2015-03-06 00:00:00,HF000004HD
1.18412,2015-03-10 00:00:00,HF000004HD
1.18412,2015-03-11 00:00:00,HF000004HD
1.185303,2015-03-12 00:00:00,HF000004HD
1.185303,2015-03-13 00:00:00,HF000004HD
1.186486,2015-03-16 00:00:00,HF000004HD
1.191218,2015-03-20 00:00:00,HF000004HD
1.187669,2015-03-27 00:00:00,HF000004HD
1.166376,2015-04-03 00:00:00,HF000004HD
1.167559,2015-04-10 00:00:00,HF000004HD
1.168742,2015-04-17 00:00:00,HF000004HD
1.168742,2015-04-24 00:00:00,HF000004HD
1.171108,2015-04-30 00:00:00,HF000004HD
1.173474,2015-05-08 00:00:00,HF000004HD
1.177023,2015-05-15 00:00:00,HF000004HD
1.179389,2015-05-22 00:00:00,HF000004HD
1.179389,2015-05-29 00:00:00,HF000004HD
1.180572,2015-06-02 00:00:00,HF000004HD
1.181755,2015-06-03 00:00:00,HF000004HD
1.181755,2015-06-04 00:00:00,HF000004HD
1.186487,2015-06-05 00:00:00,HF000004HD
1.186487,2015-06-08 00:00:00,HF000004HD
1.186487,2015-06-09 00:00:00,HF000004HD
1.182938,2015-06-10 00:00:00,HF000004HD
1.182938,2015-06-12 00:00:00,HF000004HD
1.182938,2015-06-19 00:00:00,HF000004HD
1.184121,2015-06-26 00:00:00,HF000004HD
1.186487,2015-07-03 00:00:00,HF000004HD
1.18767,2015-07-10 00:00:00,HF000004HD
1.190036,2015-07-17 00:00:00,HF000004HD
1.198317,2015-07-24 00:00:00,HF000004HD
1.201866,2015-07-31 00:00:00,HF000004HD
