value,date,id
1.0,2013-03-12 00:00:00,HF000004HP
0.9985,2013-03-15 00:00:00,HF000004HP
1.0297,2013-04-19 00:00:00,HF000004HP
1.0532,2013-05-17 00:00:00,HF000004HP
1.0473,2013-06-21 00:00:00,HF000004HP
1.1459,2013-07-19 00:00:00,HF000004HP
1.1404,2013-08-16 00:00:00,HF000004HP
1.1919,2013-09-22 00:00:00,HF000004HP
1.1604,2013-10-18 00:00:00,HF000004HP
1.1146,2013-11-15 00:00:00,HF000004HP
1.1086,2013-12-20 00:00:00,HF000004HP
1.1321,2014-01-17 00:00:00,HF000004HP
1.1838,2014-02-21 00:00:00,HF000004HP
1.2022,2014-03-21 00:00:00,HF000004HP
1.2346,2014-04-18 00:00:00,HF000004HP
1.2444,2014-05-16 00:00:00,HF000004HP
1.2569,2014-06-20 00:00:00,HF000004HP
1.3085,2014-07-18 00:00:00,HF000004HP
1.3286,2014-08-15 00:00:00,HF000004HP
1.3511,2014-09-19 00:00:00,HF000004HP
1.3655,2014-10-17 00:00:00,HF000004HP
1.3589,2014-11-21 00:00:00,HF000004HP
1.470917,2014-12-19 00:00:00,HF000004HP
1.59221,2015-01-16 00:00:00,HF000004HP
1.6502,2015-02-25 00:00:00,HF000004HP
1.6865,2015-03-20 00:00:00,HF000004HP
1.731,2015-04-17 00:00:00,HF000004HP
1.7588,2015-05-15 00:00:00,HF000004HP
1.794,2015-06-19 00:00:00,HF000004HP
1.7754,2015-07-17 00:00:00,HF000004HP
